Quarter,Time,Tm,Detail,SDG,BAL
1.0,9:54,Ravens,Justin Tucker 48 yard field goal,0,3
,5:44,Chargers,Josh Lambo 42 yard field goal,3,3
,2:36,Ravens,Justin Tucker 29 yard field goal,3,6
2.0,10:16,Chargers,Malcom Floyd 9 yard pass from Philip Rivers (Josh Lambo kick),10,6
,4:54,Ravens,Crockett Gillmore 3 yard pass from Joe Flacco (Justin Tucker kick),10,13
,0:09,Chargers,Keenan Allen 13 yard pass from Philip Rivers (Josh Lambo kick failed),16,13
3.0,11:11,Ravens,Justin Tucker 48 yard field goal,16,16
,2:54,Chargers,Malcom Floyd 70 yard pass from Philip Rivers (Josh Lambo kick),23,16
,0:00,Ravens,Justin Tucker 45 yard field goal,23,19
4.0,4:34,Ravens,Joe Flacco 1 yard rush (Justin Tucker kick),23,26
,2:27,Chargers,Josh Lambo 49 yard field goal,26,26
,0:00,Ravens,Justin Tucker 39 yard field goal,26,29
