Quarter,Time,Down,ToGo,Location,SDG,BAL,Detail,EPB,EPA
1,5:49,,,SDG 35,3,3,"Josh Lambo kicks off 65 yards, touchback",0.000,-0.280
1,5:44,1,10,BAL 20,3,3,Joe Flacco pass complete deep right to Steve Smith for 46 yards (tackle by Jahleel Addae),0.280,3.310
1,5:10,1,10,SDG 34,3,3,Joe Flacco pass complete short middle to Javorius Allen for 2 yards (tackle by Kavell Conner),3.310,3.040
1,4:43,2,8,SDG 32,3,3,Joe Flacco pass complete short left to Jeremy Ross for 7 yards (tackle by Jason Verrett and Jimmy Wilson),3.040,3.270
1,4:12,3,1,SDG 25,3,3,Justin Forsett for 8 yards (tackle by Kavell Conner),3.270,4.440
1,3:43,1,10,SDG 17,3,3,Joe Flacco pass complete short middle to Justin Forsett for 5 yards (tackle by Kavell Conner),4.440,4.690
1,3:08,2,5,SDG 12,3,3,Justin Forsett left guard for 2 yards (tackle by Melvin Ingram and Ricardo Mathews),4.690,4.340
1,2:43,3,3,SDG 10,3,3,Joe Flacco pass incomplete short middle intended for Jeremy Ross (defended by Jason Verrett),4.340,2.860
1,2:40,4,3,SDG 10,3,6,Justin Tucker 29 yard field goal good,2.860,3.000
1,2:40,,,BAL 35,3,6,"Justin Tucker kicks off 65 yards, touchback",0.000,-0.280
1,2:36,1,10,SDG 20,3,6,Philip Rivers pass complete short left to Steve Johnson for 23 yards (tackle by Lardarius Webb),0.280,1.800
1,1:55,1,10,SDG 43,3,6,Melvin Gordon right guard for 4 yards (tackle by Courtney Upshaw and Kendrick Lewis),1.800,1.790
1,1:10,2,6,SDG 47,3,6,Philip Rivers pass complete short left to Keenan Allen for no gain,1.790,1.090
1,0:28,3,6,SDG 47,3,6,Philip Rivers pass complete short left to Keenan Allen for 10 yards (tackle by Timmy Jernigan),1.090,2.720
Quarter,Time,Down,ToGo,Location,SDG,BAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,BAL 43,3,6,Melvin Gordon left guard for 3 yards (tackle by Elvis Dumervil),2.720,2.580
2,14:27,2,7,BAL 40,3,6,Melvin Gordon left end for 1 yard (tackle by C.J. Mosley and Za'Darius Smith),2.580,2.580
2,13:52,2,7,BAL 40,3,6,Timeout #1 by Los Angeles Chargers,2.580,2.010
2,13:52,3,6,BAL 39,3,6,"Philip Rivers pass incomplete short middle intended for Antonio Gates. Penalty on C.J. Mosley: Defensive Pass Interference, 4 yards (no play)",2.010,3.250
2,13:48,1,10,BAL 35,3,6,Melvin Gordon left guard for 3 yards (tackle by Elvis Dumervil),3.250,3.110
2,13:11,2,7,BAL 32,3,6,Philip Rivers pass complete short left to Melvin Gordon for 2 yards (tackle by Kendrick Lewis),3.110,2.680
2,12:27,3,5,BAL 30,3,6,Philip Rivers pass complete short right to Dontrelle Inman for 10 yards (tackle by Lardarius Webb),2.680,4.240
2,11:58,1,10,BAL 20,3,6,Melvin Gordon left guard for 5 yards (tackle by Daryl Smith),4.240,4.450
2,11:21,2,5,BAL 15,3,6,Philip Rivers pass complete short right to John Phillips for 7 yards (tackle by C.J. Mosley),4.450,5.370
2,11:07,1,8,BAL 8,3,6,Melvin Gordon left guard for -1 yards (tackle by Zach Orr),5.370,4.380
2,10:21,2,9,BAL 9,9,6,"Philip Rivers pass complete short right to Malcom Floyd for 9 yards, touchdown. Penalty on Lardarius Webb: Defensive Pass Interference (Declined)",4.380,7.000
2,10:21,,,BAL 9,10,6,Josh Lambo kicks extra point good,0.000,0.000
2,10:21,,,SDG 35,10,6,"Josh Lambo kicks off 65 yards, touchback",0.000,-0.280
2,10:16,1,10,BAL 20,10,6,Joe Flacco pass incomplete short right intended for Chris Givens,0.280,-0.270
2,10:10,2,10,BAL 20,10,6,Joe Flacco pass complete short right to Javorius Allen for 9 yards (tackle by Brandon Flowers and Kavell Conner),-0.270,0.230
2,9:24,3,1,BAL 29,10,6,Joe Flacco pass complete deep right to Chris Givens for 39 yards (tackle by Brandon Flowers),0.230,3.450
2,8:34,1,10,SDG 32,10,6,Joe Flacco pass complete short left to Chris Givens for no gain,3.450,2.900
2,8:19,2,10,SDG 32,10,6,Joe Flacco pass incomplete short left intended for Javorius Allen,2.900,2.210
2,8:15,3,10,SDG 32,10,6,Joe Flacco pass complete short left to Steve Smith for 9 yards (tackle by Jason Verrett),2.210,2.080
2,7:33,4,1,SDG 23,10,6,Joe Flacco pass complete short left to Kamar Aiken for 3 yards (tackle by Brandon Flowers),2.080,4.240
2,6:52,1,10,SDG 20,10,6,Joe Flacco pass complete short right to Javorius Allen for 19 yards (tackle by Brandon Flowers),4.240,6.970
2,6:03,1,1,SDG 1,10,6,"Joe Flacco middle for 1 yard. Penalty on Ricky Wagner: False Start, 5 yards (no play)",6.970,5.830
2,5:44,1,6,SDG 6,10,6,Javorius Allen right tackle for 3 yards (tackle by Jason Verrett),5.830,5.530
2,5:02,2,3,SDG 3,10,6,Joe Flacco pass incomplete short left intended for Jeremy Ross,5.530,4.720
2,4:58,3,3,SDG 3,10,12,"Joe Flacco pass complete short left to Crockett Gillmore for 3 yards, touchdown",4.720,7.000
2,4:58,,,SDG 3,10,13,Justin Tucker kicks extra point good,0.000,0.000
2,4:58,,,BAL 35,10,13,"Justin Tucker kicks off 65 yards, touchback",0.000,-0.280
2,4:54,1,10,SDG 20,10,13,Melvin Gordon right guard for 6 yards (tackle by Daryl Smith),0.280,0.540
2,4:27,2,4,SDG 26,10,13,Melvin Gordon right guard for 5 yards (tackle by Will Hill),0.540,1.000
2,3:56,1,10,SDG 31,10,13,Philip Rivers pass complete short right to Malcom Floyd for 11 yards,1.000,1.730
2,3:32,1,10,SDG 42,10,13,Philip Rivers pass complete short right to Melvin Gordon for -1 yards (tackle by Daryl Smith),1.730,1.050
2,2:47,2,11,SDG 41,10,13,"Philip Rivers pass incomplete short right intended for John Phillips. Penalty on Kyle Arrington: Defensive Pass Interference, 12 yards (no play)",1.050,2.460
2,2:42,1,10,BAL 47,10,13,Philip Rivers pass complete short left to John Phillips for 4 yards (tackle by Lardarius Webb),2.460,2.450
2,2:07,2,6,BAL 43,10,13,Melvin Gordon left guard for 1 yard (tackle by Daryl Smith and Carl Davis),2.450,1.880
2,2:00,3,5,BAL 42,10,13,Philip Rivers pass complete short right to Keenan Allen for 7 yards (tackle by Kyle Arrington),1.880,3.250
2,1:40,1,10,BAL 35,10,13,Danny Woodhead right guard for 5 yards (tackle by C.J. Mosley),3.250,3.380
2,1:16,2,5,BAL 30,10,13,Philip Rivers pass complete short middle to Antonio Gates for 2 yards (tackle by Lardarius Webb),3.380,2.940
2,0:44,3,3,BAL 28,10,13,Philip Rivers pass complete short left to Keenan Allen for 5 yards (tackle by Jimmy Smith),2.940,2.940
2,0:38,3,3,BAL 28,10,13,Timeout #2 by Los Angeles Chargers,2.940,4.040
2,0:38,1,10,BAL 23,10,13,Philip Rivers pass incomplete deep left intended for Malcom Floyd,4.040,3.500
2,0:32,2,10,BAL 23,10,13,Philip Rivers pass complete short left to Danny Woodhead for 10 yards (tackle by Lardarius Webb),3.500,4.710
2,0:15,1,10,BAL 13,10,13,Philip Rivers spiked the ball,4.710,4.050
2,0:15,2,10,BAL 13,16,13,"Philip Rivers pass complete short left to Keenan Allen for 13 yards, touchdown",4.050,7.000
2,0:15,,,BAL 13,16,13,"Josh Lambo kicks extra point no good, blocked by Asa Jackson",0.000,-1.000
2,0:15,,,SDG 35,16,13,"Josh Lambo kicks off 65 yards, touchback",0.000,-0.280
2,0:09,1,10,BAL 20,16,13,Joe Flacco kneels for -1 yards,0.280,-0.460
Quarter,Time,Down,ToGo,Location,SDG,BAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SDG 35,16,13,"Josh Lambo kicks off 73 yards, returned by Raheem Mostert for 33 yards (tackle by Kyle Emanuel)",0.000,0.610
3,14:55,1,10,BAL 25,16,13,Joe Flacco pass incomplete short right intended for Kyle Juszczyk,0.610,0.060
3,14:50,2,10,BAL 25,16,13,"Joe Flacco pass incomplete deep left intended for Crockett Gillmore. Penalty on Jahleel Addae: Unsportsmanlike Conduct, 15 yards (no play)",0.060,1.600
,,,,,,,"BAL challenged the incomplete pass ruling, and the play was upheld.",,
3,14:39,1,10,BAL 40,16,13,Joe Flacco pass complete deep right to Kyle Juszczyk for 39 yards (tackle by Jahleel Addae),1.600,4.170
3,13:49,1,10,SDG 21,16,13,"Joe Flacco pass complete short left to Chris Givens for 4 yards (tackle by Jason Verrett and Kendall Reyes). Penalty on Maxx Williams: Offensive Holding, 10 yards (no play)",4.170,3.510
3,13:29,1,20,SDG 31,16,13,Joe Flacco pass complete short right to Crockett Gillmore for 5 yards (tackle by Jimmy Wilson),3.510,2.950
3,12:43,2,15,SDG 26,16,13,Joe Flacco pass complete short right to Steve Smith for 8 yards (tackle by Jason Verrett and Jimmy Wilson),2.950,3.310
3,11:57,3,7,SDG 18,16,13,Joe Flacco sacked by Melvin Ingram for -12 yards,3.310,1.410
3,11:16,4,19,SDG 30,16,16,Justin Tucker 48 yard field goal good,1.410,3.000
3,11:16,,,BAL 35,16,16,"Justin Tucker kicks off 65 yards, touchback",0.000,-0.280
3,11:11,1,10,SDG 20,16,16,Melvin Gordon left tackle for 4 yards (tackle by Jimmy Smith),0.280,0.270
3,10:38,2,6,SDG 24,16,16,Philip Rivers pass complete short right to Steve Johnson for 5 yards (tackle by Daryl Smith),0.270,0.230
3,10:19,3,1,SDG 29,16,16,Melvin Gordon left guard for 4 yards (tackle by Kendrick Lewis and Daryl Smith),0.230,1.140
3,9:43,1,10,SDG 33,16,16,Philip Rivers pass complete short right to Melvin Gordon for 4 yards (tackle by Lardarius Webb),1.140,1.130
3,9:04,2,6,SDG 37,16,16,"Melvin Gordon left guard for 3 yards (tackle by Will Hill and Daryl Smith). Penalty on Will Hill: Unnecessary Roughness, 15 yards",1.130,2.590
3,8:42,1,10,BAL 45,16,16,"Philip Rivers pass complete short left to Branden Oliver for 4 yards (tackle by Kendrick Lewis and C.J. Mosley). Penalty on Joe Barksdale: Illegal Formation, 5 yards (no play)",2.590,2.260
3,8:21,1,15,,16,16,Branden Oliver left tackle for 4 yards (tackle by Daryl Smith),2.260,1.910
3,7:31,2,11,BAL 46,16,16,"Penalty on Philip Rivers: Delay of Game, 5 yards (no play)",1.910,1.230
3,7:15,2,16,SDG 49,16,16,Philip Rivers pass complete short middle to Branden Oliver for 10 yards (tackle by Daryl Smith),1.230,1.880
3,6:30,3,6,BAL 41,16,16,Philip Rivers pass incomplete short left intended for Antonio Gates (defended by Will Hill),1.880,0.530
3,6:24,4,6,BAL 41,16,16,"Mike Scifres punts 38 yards, out of bounds",0.530,0.380
3,6:15,1,10,BAL 3,16,16,Justin Forsett middle for 8 yards (tackle by Donald Butler and Ryan Carrethers),-0.380,-0.200
3,5:42,2,2,BAL 11,16,16,Justin Forsett left tackle for 1 yard (tackle by Sean Lissemore),-0.200,-0.370
3,5:03,3,1,BAL 12,16,16,Javorius Allen left guard for 4 yards (tackle by Ryan Carrethers and Sean Lissemore),-0.370,-0.140
3,4:27,1,10,BAL 16,16,16,Joe Flacco pass incomplete short middle intended for Crockett Gillmore,-0.140,-0.660
3,4:21,2,10,BAL 16,16,16,Joe Flacco sacked by Kendall Reyes for -8 yards,-0.660,-2.360
3,3:36,3,18,BAL 8,16,16,Joe Flacco pass incomplete short right intended for Nick Boyle. Penalty on Marshal Yanda: Offensive Holding (Declined),-2.360,-2.490
3,3:28,4,18,BAL 8,16,16,"Sam Koch punts 60 yards, returned by Jacoby Jones for -2 yards (tackle by Asa Jackson)",-2.490,-0.940
3,3:18,1,10,SDG 30,16,16,Philip Rivers pass incomplete short left intended for Melvin Gordon,0.940,0.390
3,3:11,2,10,SDG 30,16,16,Philip Rivers pass incomplete short right intended for Steve Johnson (defended by Kyle Arrington),0.390,-0.300
3,3:05,3,10,SDG 30,22,16,"Philip Rivers pass complete deep middle to Malcom Floyd for 70 yards, touchdown",-0.300,7.000
3,3:05,,,BAL 30,23,16,Josh Lambo kicks extra point good,0.000,0.000
3,3:05,,,SDG 35,23,16,"Josh Lambo kicks off 65 yards, touchback",0.000,-0.280
3,2:54,1,10,BAL 20,23,16,Joe Flacco pass incomplete short right intended for Steve Smith (defended by Jason Verrett),0.280,-0.270
3,2:51,2,10,BAL 20,23,16,Justin Forsett left guard for 5 yards (tackle by Jeremiah Attaochu),-0.270,-0.300
3,2:19,3,5,BAL 25,23,16,Joe Flacco pass complete short middle to Steve Smith for 17 yards (tackle by Jason Verrett),-0.300,1.730
3,1:58,1,10,BAL 42,23,16,Justin Forsett left guard for 9 yards (tackle by Melvin Ingram),1.730,2.400
3,1:31,2,1,SDG 49,23,16,Justin Forsett right guard for 3 yards (tackle by Jahleel Addae and Ryan Carrethers),2.400,2.520
3,1:10,1,10,SDG 46,23,16,Joe Flacco pass complete deep left to Kamar Aiken for 18 yards,2.520,3.710
3,0:46,1,10,SDG 28,23,16,Javorius Allen left guard for 1 yard (tackle by Ricardo Mathews and Ryan Carrethers),3.710,3.300
3,0:12,2,9,SDG 27,23,16,Joe Flacco pass incomplete deep middle intended for Crockett Gillmore,3.300,2.610
3,0:07,3,9,SDG 27,23,16,Joe Flacco pass incomplete deep left intended for Jeremy Ross,2.610,1.670
3,0:01,4,9,SDG 27,23,19,Justin Tucker 45 yard field goal good,1.670,3.000
Quarter,Time,Down,ToGo,Location,SDG,BAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,,,,BAL 35,23,19,"Justin Tucker kicks off 65 yards, touchback",0.000,0.280
4,15:00,1,10,SDG 20,23,19,Branden Oliver right guard for 5 yards (tackle by C.J. Mosley),0.280,0.410
4,14:32,2,5,SDG 25,23,19,Branden Oliver left guard for 6 yards (tackle by Will Hill),0.410,1.000
4,14:05,1,10,SDG 31,23,19,Philip Rivers pass complete short middle to Branden Oliver for 6 yards (tackle by Daryl Smith and Lardarius Webb),1.000,1.270
4,13:38,2,4,SDG 37,23,19,Branden Oliver left guard for 3 yards (tackle by Daryl Smith and Chris Canty),1.270,0.960
4,13:38,3,1,SDG 40,23,19,"Philip Rivers for no gain. Philip Rivers fumbles, recovered by Philip Rivers at SDG-38",0.960,-0.850
4,12:16,4,3,SDG 38,23,19,"Mike Scifres punts 39 yards, fair catch by Jeremy Ross",-0.850,-0.480
4,12:10,1,10,BAL 23,23,19,Justin Forsett left guard for no gain (tackle by Kyle Emanuel),0.480,-0.070
4,11:38,2,10,BAL 23,23,19,Joe Flacco pass complete short middle to Kamar Aiken for 10 yards (tackle by Adrian Phillips),-0.070,1.140
4,10:59,1,10,BAL 33,23,19,Joe Flacco pass complete short right to Kamar Aiken for 7 yards,1.140,1.540
4,10:38,2,3,BAL 40,23,19,Joe Flacco middle for 2 yards (tackle by Melvin Ingram),1.540,1.090
4,10:05,3,1,BAL 42,23,19,Javorius Allen right end for -7 yards (tackle by Donald Butler),1.090,-1.040
4,9:28,4,8,BAL 35,23,19,Sam Koch punts 62 yards,-1.040,0.380
4,9:13,1,10,SDG 3,23,19,Melvin Gordon left guard for -1 yards (tackle by Daryl Smith),-0.380,-0.850
4,8:30,2,11,SDG 2,23,19,Philip Rivers pass complete short right to Melvin Gordon for -1 yards (tackle by Will Hill),-0.850,-1.650
4,7:48,3,12,SDG 1,23,19,Philip Rivers pass incomplete deep right intended for Dontrelle Inman,-1.650,-2.490
4,7:42,4,12,SDG 1,23,19,"Mike Scifres punts 54 yards, returned by Jeremy Ross for 17 yards (tackle by Mike Windt)",-2.490,-3.050
4,7:30,1,10,SDG 38,23,19,Joe Flacco pass complete short middle to Kamar Aiken for 11 yards (tackle by Patrick Robinson),3.050,3.780
4,7:03,1,10,SDG 27,23,19,Justin Forsett left tackle for 7 yards (tackle by Patrick Robinson),3.780,4.180
4,6:25,2,3,SDG 20,23,19,Justin Forsett left tackle for 6 yards (tackle by Patrick Robinson and Ryan Carrethers),4.180,4.650
4,6:03,1,10,SDG 14,23,19,Justin Forsett right guard for 1 yard (tackle by Kyle Emanuel and Ryan Carrethers),4.650,4.160
4,5:26,2,9,SDG 13,23,19,Joe Flacco pass complete short left to Jeremy Ross for 12 yards (tackle by Jahleel Addae),4.160,6.970
4,4:37,1,1,SDG 1,23,25,"Joe Flacco middle for 1 yard, touchdown",6.970,7.000
4,4:37,,,SDG 1,23,26,Justin Tucker kicks extra point good,0.000,0.000
4,4:37,,,BAL 35,23,26,"Justin Tucker kicks off 65 yards, touchback",0.000,-0.280
4,4:34,1,10,SDG 20,23,26,Philip Rivers pass complete short right to Danny Woodhead for 26 yards (tackle by Shareece Wright),0.280,1.990
4,4:26,1,10,SDG 46,23,26,Philip Rivers pass complete short left to Antonio Gates for 9 yards (tackle by C.J. Mosley and Daryl Smith),1.990,2.670
4,4:04,2,1,BAL 45,23,26,Danny Woodhead left guard for 3 yards (tackle by Lawrence Guy),2.670,2.790
4,3:24,1,10,BAL 42,23,26,Philip Rivers pass complete short left to Antonio Gates for 15 yards (tackle by C.J. Mosley),2.790,3.780
4,3:18,1,10,BAL 27,23,26,Danny Woodhead left tackle for 1 yard (tackle by Will Hill),3.780,3.370
4,2:38,2,9,BAL 26,23,26,Philip Rivers pass incomplete short left intended for Steve Johnson,3.370,2.680
4,2:34,3,9,BAL 26,23,26,"Penalty on Joe Barksdale: False Start, 5 yards (no play)",2.680,2.020
4,2:34,3,14,BAL 31,23,26,Philip Rivers pass incomplete deep left intended for Malcom Floyd,2.020,1.320
4,2:31,4,14,BAL 31,26,26,Josh Lambo 49 yard field goal good,1.320,3.000
4,2:31,,,SDG 35,26,26,"Josh Lambo kicks off 65 yards, touchback",0.000,-0.280
4,2:27,1,10,BAL 20,26,26,Justin Forsett left tackle for 4 yards (tackle by Kyle Emanuel),0.280,0.270
4,2:00,2,6,BAL 24,26,26,Joe Flacco pass complete deep left to Chris Givens for 18 yards,0.270,1.730
4,1:55,1,10,BAL 42,26,26,Joe Flacco pass complete short right to Kamar Aiken for 13 yards (tackle by Steve Williams),1.730,2.590
4,1:34,1,10,SDG 45,26,26,Justin Forsett right tackle for 11 yards (tackle by Adrian Phillips),2.590,2.590
4,1:25,1,10,SDG 45,26,26,Timeout #1 by Los Angeles Chargers,2.590,3.310
4,1:25,1,10,SDG 34,26,26,"Joe Flacco for no gain. Joe Flacco fumbles, recovered by Joe Flacco at SDG-43",3.310,3.310
4,1:25,1,10,SDG 34,26,26,Timeout #2 by Los Angeles Chargers,3.310,1.550
4,1:15,2,19,SDG 43,26,26,Joe Flacco pass incomplete short right intended for Marlon Brown (defended by Steve Williams),1.550,0.890
4,1:11,3,19,SDG 43,26,26,"Joe Flacco pass incomplete deep right intended for Kamar Aiken. Penalty on Steve Williams: Defensive Pass Interference, 21 yards (no play)",0.890,4.110
4,1:05,1,10,SDG 22,26,26,Justin Forsett left tackle for no gain (tackle by Adrian Phillips and Ryan Carrethers),4.110,3.560
4,0:22,2,10,SDG 22,26,26,Justin Forsett right guard for 1 yard (tackle by Kendall Reyes),3.560,3.560
4,0:03,2,10,SDG 22,26,26,Timeout #2 by Baltimore Ravens,3.560,3.560
4,0:03,2,10,SDG 22,26,26,Timeout #3 by Los Angeles Chargers,3.560,3.010
4,0:03,3,9,SDG 21,26,29,Justin Tucker 39 yard field goal good,3.010,3.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
