Unnamed: 0,SDG,BAL
First Downs,22,23
Rush-Yds-TDs,26-81-0,25-72-1
Cmp-Att-Yd-TD-INT,28-37-301-3-0,25-37-319-1-0
Sacked-Yards,1-11,3-26
Net Pass Yards,290,293
Total Yards,371,365
Fumbles-Lost,1-0,1-0
Turnovers,0,0
Penalties-Yards,6-66,5-46
Third Down Conv.,7-13,5-12
Fourth Down Conv.,0-0,1-1
Time of Possession,30:06,29:54
