Quarter,Time,Tm,Detail,KAN,DET
1.0,9:22,Lions,Matt Prater 25 yard field goal,0,3
,3:05,Lions,T.J. Hockenson 5 yard pass from Matthew Stafford (Matt Prater kick),0,10
2.0,14:12,Chiefs,Harrison Butker 23 yard field goal,3,10
,4:13,Chiefs,LeSean McCoy 1 yard rush (Harrison Butker kick),10,10
,1:03,Lions,Matt Prater 48 yard field goal,10,13
,0:02,Chiefs,Harrison Butker 44 yard field goal,13,13
3.0,9:08,Chiefs,Bashaud Breeland 100 yard fumble return (Harrison Butker kick),20,13
,6:19,Lions,Matt Prater 53 yard field goal,20,16
,1:10,Lions,Kenny Golladay 9 yard pass from Matthew Stafford (Matt Prater kick),20,23
4.0,12:09,Chiefs,Darrel Williams 1 yard rush (Harrison Butker kick),27,23
,2:26,Lions,Kenny Golladay 6 yard pass from Matthew Stafford (Matt Prater kick),27,30
,0:20,Chiefs,Darrel Williams 1 yard rush (Harrison Butker kick),34,30
