Unnamed: 0,KAN,DET
First Downs,29,29
Rush-Yds-TDs,25-123-3,35-186-0
Cmp-Att-Yd-TD-INT,24-42-315-0-0,21-34-291-3-0
Sacked-Yards,0-0,4-30
Net Pass Yards,315,261
Total Yards,438,447
Fumbles-Lost,4-3,2-2
Turnovers,3,2
Penalties-Yards,7-51,8-48
Third Down Conv.,4-9,5-13
Fourth Down Conv.,1-1,0-0
Time of Possession,26:05,33:55
