Unnamed: 0,CIN,TAM
First Downs,14,21
Rush-Yds-TDs,20-53-0,25-126-0
Cmp-Att-Yd-TD-INT,24-37-261-1-0,25-44-184-2-1
Sacked-Yards,2-9,2-10
Net Pass Yards,252,174
Total Yards,305,300
Fumbles-Lost,2-0,0-0
Turnovers,0,1
Penalties-Yards,10-84,9-75
Third Down Conv.,3-14,6-16
Fourth Down Conv.,0-1,1-1
Time of Possession,24:53,35:07
