Quarter,Time,Tm,Detail,CIN,TAM
2.0,9:08,Bengals,T.J. Houshmandzadeh 33 yard pass from Carson Palmer (Shayne Graham kick),7,0
3.0,6:37,Buccaneers,Alex Smith 2 yard pass from Bruce Gradkowski (Matt Bryant kick),7,7
,2:29,Bengals,Shayne Graham 37 yard field goal,10,7
4.0,10:34,Bengals,Shayne Graham 47 yard field goal,13,7
,0:35,Buccaneers,Michael Clayton 8 yard pass from Bruce Gradkowski (Matt Bryant kick),13,14
