Unnamed: 0,SFO,ARI
First Downs,15,16
Rush-Yds-TDs,29-113-0,9-7-0
Cmp-Att-Yd-TD-INT,18-19-232-3-0,32-52-290-0-1
Sacked-Yards,4-28,4-32
Net Pass Yards,204,258
Total Yards,317,265
Fumbles-Lost,0-0,0-0
Turnovers,0,1
Penalties-Yards,10-80,7-51
Third Down Conv.,6-12,2-14
Fourth Down Conv.,0-0,2-4
Time of Possession,31:16,28:44
