Unnamed: 0,TAM,GNB
First Downs,19,23
Rush-Yds-TDs,24-76-1,16-67-0
Cmp-Att-Yd-TD-INT,20-36-280-3-3,33-48-346-3-1
Sacked-Yards,1-5,5-32
Net Pass Yards,275,314
Total Yards,351,381
Fumbles-Lost,0-0,2-1
Turnovers,3,2
Penalties-Yards,2-8,4-30
Third Down Conv.,9-14,8-14
Fourth Down Conv.,1-1,0-0
Time of Possession,25:23,34:37
