Quarter,Time,Tm,Detail,TAM,GNB
1.0,10:59,Buccaneers,Mike Evans 15 yard pass from Tom Brady (Ryan Succop kick),7,0
2.0,14:07,Packers,Marquez Valdes-Scantling 50 yard pass from Aaron Rodgers (Mason Crosby kick),7,7
,12:24,Buccaneers,Leonard Fournette 20 yard rush (Ryan Succop kick),14,7
,4:59,Packers,Mason Crosby 24 yard field goal,14,10
,0:01,Buccaneers,Scott Miller 39 yard pass from Tom Brady (Ryan Succop kick),21,10
3.0,13:54,Buccaneers,Cameron Brate 8 yard pass from Tom Brady (Ryan Succop kick),28,10
,9:28,Packers,Robert Tonyan 8 yard pass from Aaron Rodgers (Mason Crosby kick),28,17
,0:24,Packers,Davante Adams 2 yard pass from Aaron Rodgers (pass failed),28,23
4.0,4:42,Buccaneers,Ryan Succop 46 yard field goal,31,23
,2:05,Packers,Mason Crosby 26 yard field goal,31,26
