Unnamed: 0,TAM,DET
First Downs,10,25
Rush-Yds-TDs,24-22-0,24-104-0
Cmp-Att-Yd-TD-INT,14-21-247-2-0,26-46-297-3-4
Sacked-Yards,4-40,2-11
Net Pass Yards,207,286
Total Yards,229,390
Fumbles-Lost,1-0,3-1
Turnovers,0,5
Penalties-Yards,9-67,5-39
Third Down Conv.,4-14,8-15
Fourth Down Conv.,0-0,1-1
Time of Possession,26:38,33:22
