Quarter,Time,Down,ToGo,Location,TAM,DET,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Buccaneers won the coin toss and deferred, Lions to receive the opening kickoff.",,
1,15:00,,,TAM 35,0,0,"Michael Koenen kicks off 71 yards, returned by Jeremy Ross for 23 yards (tackle by Kelcie McCray)",0.000,0.060
1,14:56,1,10,DET 17,0,0,Matthew Stafford pass incomplete short middle intended for Reggie Bush,-0.060,-0.580
1,14:51,2,10,DET 17,0,0,Reggie Bush right tackle for -2 yards (tackle by Adrian Clayborn),-0.580,-1.570
1,14:13,3,12,DET 15,0,0,Matthew Stafford pass incomplete short right intended for Joique Bell,-1.570,-2.440
1,14:04,4,12,DET 15,0,0,"Sam Martin punts 52 yards, fair catch by Eric Page",-2.440,-1.140
1,13:56,1,10,TAM 33,0,0,Bobby Rainey right tackle for 2 yards (tackle by Ndamukong Suh and Stephen Tulloch),1.140,0.860
1,13:25,2,8,TAM 35,0,0,Mike Glennon pass incomplete short left intended for Tiquan Underwood (defended by Chris Houston),0.860,0.170
1,13:19,3,8,TAM 35,0,0,Mike Glennon pass incomplete short left intended for Tiquan Underwood,0.170,-1.040
1,13:14,4,8,TAM 35,0,0,"Michael Koenen punts 47 yards, returned by Jeremy Ross for 42 yards (tackle by Russell Shepard)",-1.040,-2.920
1,13:00,1,10,TAM 40,0,0,Matthew Stafford pass complete short middle to Nate Burleson for 8 yards (tackle by Leonard Johnson),2.920,3.450
1,12:33,2,2,TAM 32,0,0,Reggie Bush left tackle for 1 yard (tackle by Mark Barron),3.450,2.870
1,11:56,3,1,TAM 31,0,0,"Penalty on Akeem Spence: Encroachment, 6 yards (no play)",2.870,3.910
1,11:43,1,10,TAM 25,0,0,Matthew Stafford pass complete short right to Reggie Bush for 3 yards (tackle by Adam Hayward),3.910,3.770
1,11:24,2,7,TAM 22,0,0,Matthew Stafford pass incomplete short middle intended for Nate Burleson is intercepted by Lavonte David at TAM-15 and returned for 7 yards (tackle by Larry Warford),3.770,-0.410
1,11:14,1,10,TAM 22,0,0,Bobby Rainey left tackle for 3 yards (tackle by Stephen Tulloch),0.410,0.270
1,10:38,2,7,TAM 25,0,0,"Bobby Rainey left end for 13 yards (tackle by Rashean Mathis). Penalty on Jamon Meredith: Offensive Holding, 10 yards (no play)",0.270,-1.210
1,10:06,2,17,TAM 15,0,0,Bobby Rainey up the middle for 2 yards (tackle by DeAndre Levy),-1.210,-1.680
1,9:24,3,15,TAM 17,0,0,"Mike Glennon pass complete to Tim Wright for 11 yards (tackle by Rashean Mathis). Penalty on Nick Fairley: Roughing the Passer, 15 yards",-1.680,1.800
1,8:56,1,10,TAM 43,0,0,Bobby Rainey left tackle for no gain (tackle by Ashlee Palmer),1.800,1.250
1,8:22,2,10,TAM 43,0,0,Mike Glennon pass complete short right to Tim Wright for 5 yards (tackle by Stephen Tulloch),1.250,1.220
1,7:43,3,5,TAM 48,0,0,Mike Glennon pass complete short middle to Tim Wright for 7 yards (tackle by Don Carey),1.220,2.590
1,7:05,1,10,DET 45,0,0,Skye Dawson left end for 1 yard (tackle by Louis Delmas),2.590,2.180
1,6:43,2,9,DET 44,0,0,Bobby Rainey up the middle for 3 yards (tackle by Stephen Tulloch),2.180,1.880
1,6:04,3,6,DET 41,0,0,Mike Glennon pass complete short middle to Tim Wright for 16 yards (tackle by Stephen Tulloch),1.880,1.880
1,5:21,3,6,DET 41,0,0,Timeout #1 by Tampa Bay Buccaneers,1.880,3.910
1,5:21,1,10,DET 25,0,0,Mike Glennon sacked by Ezekiel Ansah for -10 yards,3.910,2.010
1,4:51,2,20,DET 35,0,0,Bobby Rainey left tackle for 1 yard (tackle by Stephen Tulloch),2.010,1.490
1,4:09,3,19,DET 34,0,0,Mike Glennon pass complete short middle to Vincent Jackson for 14 yards (tackle by DeAndre Levy),1.490,2.170
1,3:27,4,5,DET 20,3,0,Rian Lindell 38 yard field goal good,2.170,3.000
1,3:27,,,TAM 35,3,0,"Michael Koenen kicks off 73 yards, touchback",0.000,-0.280
1,3:23,1,10,DET 20,3,0,Matthew Stafford pass complete short right to Brandon Pettigrew for 5 yards (tackle by Darrelle Revis),0.280,0.410
1,2:48,2,5,DET 25,3,0,Reggie Bush up the middle for -1 yards (tackle by Adrian Clayborn),0.410,-0.430
1,2:05,3,6,DET 24,3,0,Matthew Stafford pass complete short left to Nate Burleson for 8 yards (tackle by Leonard Johnson),-0.430,1.070
1,1:19,1,10,DET 32,3,0,Reggie Bush right tackle for 4 yards (tackle by Lavonte David),1.070,1.070
1,0:39,2,6,DET 36,3,0,Matthew Stafford pass incomplete deep right intended for Calvin Johnson,1.070,0.370
1,0:34,3,6,DET 36,3,0,"Matthew Stafford pass complete short left to Nate Burleson for 28 yards (tackle by Lavonte David). Nate Burleson fumbles (forced by Lavonte David), ball out of bounds at TAM-36",0.370,3.180
Quarter,Time,Down,ToGo,Location,TAM,DET,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,TAM 36,3,0,Matthew Stafford pass complete short left to Nate Burleson for 18 yards (tackle by Leonard Johnson),3.180,4.370
2,14:15,1,10,TAM 18,3,0,"Reggie Bush up the middle for 3 yards (tackle by Adam Hayward). Penalty on LaAdrian Waddle: Offensive Holding, 10 yards (no play)",4.370,3.710
2,13:44,1,20,TAM 28,3,0,Matthew Stafford pass complete short left to Calvin Johnson for 19 yards (tackle by Mark Barron),3.710,5.420
