Quarter,Time,Tm,Detail,TAM,DET
1.0,3:23,Buccaneers,Rian Lindell 38 yard field goal,3,0
2.0,11:50,Lions,Nate Burleson 5 yard pass from Matthew Stafford (David Akers kick),3,7
,8:42,Buccaneers,Tiquan Underwood 7 yard pass from Mike Glennon (Rian Lindell kick),10,7
,4:33,Lions,Joseph Fauria 10 yard pass from Matthew Stafford (David Akers kick),10,14
,0:50,Buccaneers,Leonard Johnson 48 yard interception return (Rian Lindell kick),17,14
3.0,9:36,Lions,Brandon Pettigrew 18 yard pass from Matthew Stafford (David Akers kick),17,21
4.0,14:05,Buccaneers,Tiquan Underwood 85 yard pass from Mike Glennon (Rian Lindell kick),24,21
