Quarter,Time,Tm,Detail,NYG,DEN
1.0,2:28,Broncos,Matt Prater 26 yard field goal,0,3
2.0,10:46,Broncos,Matt Prater 32 yard field goal,0,6
,7:17,Broncos,Knowshon Moreno 1 yard rush (Matt Prater kick),0,13
,3:28,Broncos,Matt Prater 47 yard field goal,0,16
3.0,7:55,Giants,Lawrence Tynes 39 yard field goal,3,16
,0:31,Giants,Lawrence Tynes 52 yard field goal,6,16
4.0,10:15,Broncos,Brandon Stokley 17 yard pass from Kyle Orton (Matt Prater kick),6,23
,5:02,Broncos,Matt Prater 24 yard field goal,6,26
