Unnamed: 0,NYG,DEN
First Downs,15,23
Rush-Yds-TDs,16-57-0,40-138-1
Cmp-Att-Yd-TD-INT,24-40-230-0-1,18-28-245-1-1
Sacked-Yards,3-20,1-10
Net Pass Yards,210,235
Total Yards,267,373
Fumbles-Lost,3-2,0-0
Turnovers,3,1
Penalties-Yards,4-45,8-61
Third Down Conv.,3-12,4-13
Fourth Down Conv.,1-1,1-1
Time of Possession,24:30,35:30
