Unnamed: 0,KAN,PIT
First Downs,14,23
Rush-Yds-TDs,19-38-1,42-219-3
Cmp-Att-Yd-TD-INT,19-39-185-0-3,17-20-244-2-0
Sacked-Yards,1-10,1-6
Net Pass Yards,175,238
Total Yards,213,457
Fumbles-Lost,0-0,4-1
Turnovers,3,1
Penalties-Yards,6-50,5-41
Third Down Conv.,5-14,8-13
Fourth Down Conv.,0-1,1-1
Time of Possession,25:29,34:31
