Quarter,Time,Down,ToGo,Location,KAN,PIT,Detail,EPB,EPA
1,8:49,1,10,KAN 36,0,7,Larry Johnson left guard for 1 yard (tackle by Troy Polamalu and Arnold Harrison),1.330,0.930
1,8:07,2,9,KAN 37,0,7,Damon Huard pass complete short right to Tony Gonzalez for 5 yards (tackle by Troy Polamalu),0.930,0.890
1,7:30,3,4,KAN 42,0,7,Damon Huard pass complete short right to Samie Parker for 8 yards (tackle by Deshea Townsend),0.890,2.260
1,6:47,1,10,KAN 50,0,7,Ronnie Cruz middle for 4 yards (tackle by Casey Hampton and James Farrior),2.260,2.250
1,6:05,2,6,PIT 46,0,7,Damon Huard pass incomplete short right intended for Ronnie Cruz (defended by Clark Haggans),2.250,1.550
1,6:03,3,6,PIT 46,0,7,Damon Huard pass incomplete short right intended for Tony Gonzalez (defended by Deshea Townsend),1.550,0.200
1,5:59,4,6,PIT 46,0,7,"Dustin Colquitt punts 31 yards, fair catch by Santonio Holmes",0.200,0.220
1,5:51,1,10,PIT 15,0,7,Ben Roethlisberger pass complete deep left to Cedrick Wilson for 19 yards (tackle by Patrick Surtain),-0.220,1.200
1,5:13,1,10,PIT 34,0,7,Willie Parker middle for 2 yards (tackle by Kendrell Bell and Eric Hicks),1.200,0.930
1,4:38,2,8,PIT 36,0,7,"Nate Washington left end for 4 yards (tackle by Derrick Johnson). Penalty on Willie Parker: Illegal Motion, 5 yards (no play)",0.930,0.250
1,4:14,2,13,PIT 31,0,7,Willie Parker middle for 4 yards (tackle by Tamba Hali and Kawika Mitchell),0.250,0.100
1,3:34,3,9,PIT 35,0,7,Ben Roethlisberger pass incomplete intended for Nate Washington,0.100,-1.040
1,3:26,4,9,PIT 35,0,7,"Chris Gardocki punts 43 yards, returned by Eddie Kennison for 11 yards (tackle by Mike Logan)",-1.040,-1.140
1,3:15,1,10,KAN 33,0,7,Larry Johnson left end for -1 yards (tackle by Arnold Harrison),1.140,0.460
1,2:33,2,11,KAN 32,0,7,Damon Huard pass complete short left to Larry Johnson for 5 yards (tackle by Troy Polamalu),0.460,0.430
1,1:52,3,6,KAN 37,0,7,Damon Huard pass incomplete short middle intended for Eddie Kennison,0.430,-0.910
1,1:48,4,6,KAN 37,0,7,"Dustin Colquitt punts 45 yards, returned by Santonio Holmes for 24 yards (tackle by Kendall Gammon)",-0.910,-1.730
1,1:35,1,10,PIT 42,0,7,Willie Parker right tackle for 11 yards (tackle by Tamba Hali),1.730,2.460
1,0:58,1,10,KAN 47,0,13,"Ben Roethlisberger pass complete deep left to Nate Washington for 47 yards, touchdown",2.460,7.000
1,,,,KAN 2,0,14,Jeff Reed kicks extra point good,0.000,0.000
1,,,,PIT 30,0,14,"Jeff Reed kicks off 66 yards, returned by Jeff Webb for 30 yards (tackle by Mike Logan)",0.000,1.200
1,0:43,1,10,KAN 34,0,14,Larry Johnson left tackle for 1 yard (tackle by Brett Keisel and Larry Foote),1.200,0.790
1,0:11,2,9,KAN 35,0,14,Larry Johnson middle for 2 yards (tackle by Brett Keisel),0.790,0.370
Quarter,Time,Down,ToGo,Location,KAN,PIT,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,7,KAN 37,0,14,Damon Huard pass incomplete short right intended for Tony Gonzalez,0.370,-0.910
2,14:56,4,7,KAN 37,0,14,"Dustin Colquitt punts 36 yards, muffed catch by Santonio Holmes, recovered by Ike Taylor and returned for no gain",-0.910,-0.280
2,14:46,1,10,PIT 20,0,14,Willie Parker left end for 25 yards (tackle by Greg Wesley),0.280,1.930
2,14:02,1,10,PIT 45,0,14,Willie Parker left guard for 1 yard (tackle by Jared Allen),1.930,1.520
2,13:26,2,9,PIT 46,0,14,Ben Roethlisberger sacked by Ty Law for -6 yards,1.520,0.040
2,12:49,3,15,PIT 40,0,14,Ben Roethlisberger pass complete short middle to Hines Ward for 28 yards (tackle by Patrick Surtain),0.040,3.450
2,12:08,1,10,KAN 32,0,14,Willie Parker middle for 7 yards (tackle by Sammy Knight),3.450,3.850
2,11:35,2,3,KAN 25,0,14,Willie Parker right tackle for 1 yard (tackle by Jimmy Wilkerson),3.850,3.270
2,10:53,3,2,KAN 24,0,14,Ben Roethlisberger pass complete short right to Hines Ward for 7 yards (tackle by Sammy Knight),3.270,4.440
2,10:13,1,10,KAN 17,0,14,Willie Parker left tackle for 9 yards (tackle by Greg Wesley),4.440,5.480
2,9:38,2,1,KAN 8,0,20,"Willie Parker left tackle for 8 yards, touchdown",5.480,7.000
2,,,,KAN 2,0,21,Jeff Reed kicks extra point good,0.000,0.000
2,,,,PIT 30,0,21,"Jeff Reed kicks off 66 yards, returned by Jeff Webb for 30 yards (tackle by Ike Taylor)",0.000,1.200
2,9:25,1,10,KAN 34,0,21,Damon Huard pass incomplete deep middle intended for Tony Gonzalez (defended by James Farrior),1.200,0.660
2,9:20,2,10,KAN 34,0,21,Damon Huard pass complete short left to Larry Johnson for -3 yards (tackle by Arnold Harrison and Brett Keisel),0.660,-0.430
2,8:46,3,13,KAN 31,0,21,Damon Huard pass complete short left to Larry Johnson for 4 yards (tackle by Deshea Townsend),-0.430,-1.040
2,8:07,4,9,KAN 35,0,21,"Dustin Colquitt punts 55 yards, returned by Santonio Holmes for 20 yards (tackle by Bernard Pollard). Penalty on Derrick Johnson: Illegal Formation, 5 yards",-1.040,-1.270
2,7:52,1,10,PIT 35,0,21,Najeh Davenport middle for 48 yards (tackle by Jared Allen),1.270,4.440
2,7:06,1,10,KAN 17,0,21,Willie Parker left end for 4 yards (tackle by Kawika Mitchell),4.440,4.500
2,6:27,2,6,KAN 13,0,27,"Ben Roethlisberger pass complete short right to Hines Ward for 13 yards, touchdown",4.500,7.000
2,,,,KAN 2,0,28,Jeff Reed kicks extra point good,0.000,0.000
2,,,,PIT 30,0,28,"Jeff Reed kicks off 44 yards, returned by Ronnie Cruz for 7 yards (tackle by Clint Kriewaldt)",0.000,1.140
2,6:17,1,10,KAN 33,0,28,Larry Johnson right tackle for 8 yards (tackle by Troy Polamalu),1.140,1.670
2,5:41,2,2,KAN 41,0,28,Larry Johnson middle for 1 yard (tackle by Troy Polamalu and Larry Foote),1.670,1.090
2,4:58,3,1,KAN 42,0,28,Larry Johnson left guard for -2 yards (tackle by Troy Polamalu),1.090,-0.720
2,4:25,4,3,KAN 40,0,28,Dustin Colquitt punts 50 yards,-0.720,0.380
2,4:12,1,10,PIT 10,0,28,Najeh Davenport left tackle for 3 yards (tackle by Kawika Mitchell and Patrick Surtain),-0.380,-0.560
2,3:28,2,7,PIT 13,0,28,Ben Roethlisberger pass complete short middle to Cedrick Wilson for 14 yards (tackle by Patrick Surtain),-0.560,0.740
2,2:44,1,10,PIT 27,0,28,Najeh Davenport middle for 2 yards (tackle by Kawika Mitchell and Derrick Johnson),0.740,0.470
2,2:00,2,8,PIT 29,0,28,Verron Haynes middle for 4 yards (tackle by James Reed),0.470,0.300
2,1:18,3,4,PIT 33,0,28,Santonio Holmes right end for 13 yards (tackle by Jarrad Page),0.300,1.990
2,1:11,,,,0,28,Timeout #1 by Kansas City Chiefs,0.000,1.990
2,1:11,1,10,PIT 46,0,28,Ben Roethlisberger pass complete short middle to Nate Washington for 14 yards (tackle by Sammy Knight),1.990,2.920
2,1:11,1,10,KAN 40,0,28,Verron Haynes right end for 5 yards (tackle by Kawika Mitchell and Derrick Johnson),2.920,3.050
2,0:46,,,,0,28,Timeout #1 by Pittsburgh Steelers,0.000,3.050
2,0:46,2,5,KAN 35,0,28,Ben Roethlisberger pass complete short left to Santonio Holmes for 8 yards (tackle by Lenny Walls),3.050,3.780
2,0:29,1,10,KAN 27,0,28,Ben Roethlisberger pass complete short right to Verron Haynes for 6 yards (tackle by Patrick Surtain),3.780,4.040
2,0:22,,,,0,28,Timeout #2 by Pittsburgh Steelers,0.000,4.040
2,0:22,2,4,KAN 21,0,28,Ben Roethlisberger pass incomplete short left intended for Santonio Holmes (defended by Lenny Walls),4.040,3.340
2,0:16,3,4,KAN 21,0,28,Ben Roethlisberger pass complete short right to Nate Washington for 7 yards (tackle by Kawika Mitchell and Patrick Surtain),3.340,4.650
2,0:02,,,,0,28,Timeout #3 by Pittsburgh Steelers,0.000,4.650
2,0:02,1,10,KAN 14,0,31,Jeff Reed 32 yard field goal good,4.650,3.000
Quarter,Time,Down,ToGo,Location,KAN,PIT,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PIT 30,0,31,"Jeff Reed kicks off 66 yards, returned by Jeff Webb for 11 yards (tackle by Anthony Smith)",0.000,-0.220
3,14:55,1,10,KAN 15,0,31,Larry Johnson middle for -2 yards (tackle by Brett Keisel),-0.220,-0.920
3,14:19,2,12,KAN 13,0,31,Damon Huard pass incomplete deep middle intended for Samie Parker (defended by James Farrior),-0.920,-1.640
3,14:13,3,12,KAN 13,0,31,Damon Huard pass incomplete short right intended for Tony Gonzalez (defended by Deshea Townsend),-1.640,-2.490
3,14:06,4,12,KAN 13,0,31,"Dustin Colquitt punts 59 yards, returned by Santonio Holmes for no gain. Santonio Holmes fumbles, recovered by Bryant McFadden at PIT-28 (tackle by Kris Griffin). Penalty on Tyrone Carter: Offensive Holding, 10 yards",-2.490,-0.040
3,13:52,1,10,PIT 18,0,31,Ben Roethlisberger pass complete short right to Heath Miller for 16 yards (tackle by Derrick Johnson),0.040,1.200
3,13:12,1,10,PIT 34,0,31,Willie Parker left end for -1 yards (tackle by Patrick Surtain),1.200,0.520
3,12:27,2,11,PIT 33,0,31,"Ben Roethlisberger pass complete short right to Willie Parker for -11 yards (tackle by Tamba Hali). Willie Parker fumbles (forced by Tamba Hali), recovered by Kawika Mitchell at PIT-22 (tackle by Heath Miller)",0.520,-4.110
3,12:16,1,10,PIT 22,0,31,Damon Huard pass incomplete deep middle intended for Eddie Kennison,4.110,3.560
3,12:10,2,10,PIT 22,0,31,Damon Huard pass incomplete deep middle intended for Jason Dunn (defended by Arnold Harrison),3.560,2.870
3,12:07,3,10,PIT 22,0,31,"Damon Huard pass incomplete short middle intended for Rod Gardner is intercepted by Troy Polamalu at PIT-18 and returned for 49 yards. Penalty on Larry Johnson: Unnecessary Roughness, 15 yards, Penalty on Jared Allen: Unnecessary Roughness (Declined), Penalty on Jordan Black: Illegal Touch Pass (Declined)",2.870,-4.370
3,11:52,1,10,KAN 18,0,31,Willie Parker left end for 7 yards (tackle by Sammy Knight),4.370,5.010
3,11:09,2,3,KAN 11,0,31,Willie Parker right tackle for 1 yard (tackle by Kawika Mitchell and Tamba Hali),5.010,4.510
3,11:09,3,2,KAN 10,0,31,Ben Roethlisberger pass incomplete short left intended for Dan Kreider,4.510,2.890
3,10:26,4,2,KAN 10,0,31,Jeff Reed 28 yard field goal no good,2.890,-0.280
3,10:21,1,10,KAN 20,0,31,Damon Huard pass incomplete intended for Larry Johnson,0.280,-0.270
3,10:15,2,10,KAN 20,0,31,Damon Huard pass complete to Samie Parker for 17 yards,-0.270,1.400
3,9:52,1,10,KAN 37,0,31,Larry Johnson left end for 6 yards (tackle by Ryan Clark),1.400,1.670
3,9:12,2,4,KAN 43,0,31,Damon Huard pass complete to Samie Parker for 15 yards (tackle by Bryant McFadden),1.670,2.790
3,8:32,1,10,PIT 42,0,31,Damon Huard pass complete deep left to Eddie Kennison for 25 yards (tackle by Bryant McFadden),2.790,4.440
3,8:03,1,10,PIT 17,0,31,Damon Huard pass incomplete deep right intended for Eddie Kennison,4.440,3.850
3,7:58,2,10,PIT 17,0,31,Damon Huard pass complete short right to Eddie Kennison for 8 yards (tackle by Clark Haggans and Troy Polamalu),3.850,4.570
3,7:30,3,2,PIT 9,0,31,Damon Huard pass complete short right to Kris Wilson for 6 yards (tackle by James Farrior and Ike Taylor),4.570,6.510
3,6:51,1,3,PIT 3,0,31,Damon Huard pass incomplete short right intended for Rod Gardner (defended by Troy Polamalu),6.510,5.530
3,6:49,2,3,PIT 3,0,31,"Penalty on Tony Gonzalez: False Start, 5 yards (no play)",5.530,4.570
3,6:49,2,8,PIT 8,0,31,Damon Huard pass complete short right to Jason Dunn for 6 yards (tackle by Ike Taylor and James Farrior),4.570,4.950
3,6:05,3,2,PIT 2,6,31,"Larry Johnson left guard for 2 yards, touchdown",4.950,7.000
,,,,,,,"PIT challenged the ruling, and the play was upheld.",,
3,,,,PIT 2,7,31,Lawrence Tynes kicks extra point good,0.000,0.000
3,,,,KAN 30,7,31,"Lawrence Tynes kicks off 60 yards, returned by Santonio Holmes for 28 yards (tackle by Dee Brown)",0.000,1.470
3,5:54,1,10,PIT 38,7,31,"Willie Parker middle for 5 yards (tackle by Tamba Hali). Willie Parker fumbles (forced by Tamba Hali), recovered by Chris Kemoeatu at PIT-43",1.470,1.600
3,5:02,2,5,PIT 43,7,31,Verron Haynes right tackle for 4 yards (tackle by Tamba Hali),1.600,1.420
3,4:49,3,1,PIT 47,7,31,Verron Haynes middle for 3 yards (tackle by James Reed and Kawika Mitchell),1.420,2.260
3,4:07,1,10,PIT 50,7,31,Willie Parker middle for 11 yards (tackle by Derrick Johnson),2.260,2.980
3,3:25,1,10,KAN 39,7,31,Willie Parker left end for 5 yards (tackle by Kawika Mitchell and Tamba Hali),2.980,3.120
3,2:42,2,5,KAN 34,7,31,Najeh Davenport right end for 18 yards (tackle by Greg Wesley),3.120,4.510
3,1:54,1,10,KAN 16,7,31,Willie Parker middle for 2 yards (tackle by Jared Allen and Sammy Knight),4.510,4.210
3,1:12,2,8,KAN 14,7,31,Najeh Davenport middle for 3 yards (tackle by Ryan Sims and Jimmy Wilkerson),4.210,3.940
3,0:29,3,5,KAN 11,7,31,Ben Roethlisberger pass complete short left to Hines Ward for 9 yards (tackle by Greg Wesley and Lenny Walls),3.940,6.740
Quarter,Time,Down,ToGo,Location,KAN,PIT,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,2,KAN 2,7,31,Najeh Davenport middle for no gain (tackle by Stephen Williams and Derrick Johnson),6.740,5.720
4,14:22,2,2,KAN 2,7,31,Najeh Davenport middle for 1 yard (tackle by Tamba Hali),5.720,5.170
4,13:31,3,1,KAN 1,7,31,Ben Roethlisberger middle for no gain (tackle by James Reed and Jared Allen),5.170,3.550
4,12:46,4,1,KAN 1,7,37,"Najeh Davenport middle for 1 yard, touchdown",3.550,7.000
,,,,,,,"PIT challenged the ruling, and the original play was overturned.",,
4,,,,KAN 2,7,38,Jeff Reed kicks extra point good,0.000,0.000
4,,,,PIT 30,7,38,"Jeff Reed kicks off 60 yards, returned by Jeff Webb for 17 yards (tackle by Clint Kriewaldt)",0.000,0.740
4,12:35,1,10,KAN 27,7,38,Larry Johnson left end for 2 yards (tackle by James Farrior),0.740,0.470
4,12:06,2,8,KAN 29,7,38,Damon Huard pass complete short right to Samie Parker for 11 yards (tackle by Deshea Townsend),0.470,1.600
4,11:40,1,10,KAN 40,7,38,Damon Huard pass complete short left to Tony Gonzalez for 2 yards (tackle by Troy Polamalu),1.600,1.320
4,11:14,2,8,KAN 42,7,38,Damon Huard pass complete deep right to Samie Parker for 21 yards (tackle by Ike Taylor),1.320,3.120
4,10:47,1,10,PIT 37,7,38,Damon Huard pass complete deep right to Eddie Kennison for 24 yards (tackle by Ryan Clark),3.120,4.710
4,10:12,1,10,PIT 13,7,38,"Damon Huard pass incomplete short left intended for Rod Gardner. Penalty on Bryant McFadden: Defensive Pass Interfere, 10 yards (no play)",4.710,6.510
4,10:06,1,3,PIT 3,7,38,Larry Johnson right tackle for -4 yards (tackle by Troy Polamalu and Ryan Clark),6.510,4.760
4,9:32,2,7,PIT 7,7,38,"Damon Huard pass incomplete short right intended for Eddie Kennison. Penalty on Bryant McFadden: Defensive Pass Interfere, 6 yards (no play)",4.760,6.970
4,9:27,1,1,PIT 1,7,38,"Damon Huard pass complete to Tony Gonzalez for 1 yard. Penalty on Jordan Black: Offensive Holding, 10 yards (no play)",6.970,4.770
4,9:23,1,11,PIT 11,7,38,Damon Huard pass incomplete short left intended for Ronnie Cruz (defended by Larry Foote),4.770,4.020
4,9:19,2,11,PIT 11,7,38,Larry Johnson left guard for 6 yards (tackle by Clark Haggans and Ryan Clark),4.020,4.260
4,8:42,3,5,PIT 5,7,38,Damon Huard pass incomplete short left intended for Rod Gardner (defended by Bryant McFadden),4.260,3.010
4,8:34,4,5,PIT 5,7,38,Damon Huard pass incomplete short middle intended for Jason Dunn (defended by Troy Polamalu),3.010,0.380
4,8:29,1,10,PIT 5,7,38,Najeh Davenport right guard for 1 yard (tackle by Ron Edwards),-0.380,-0.710
4,7:45,2,9,PIT 6,7,38,Najeh Davenport left end for 2 yards (tackle by Lenny Walls),-0.710,-1.070
4,7:07,3,7,PIT 8,7,38,Verron Haynes middle for 5 yards (tackle by Tamba Hali and Ron Edwards),-1.070,-2.490
4,6:56,,,,7,38,Timeout #1 by Kansas City Chiefs,0.000,-2.490
4,6:56,4,2,PIT 13,7,38,"Chris Gardocki punts 50 yards, fair catch by Eddie Kennison",-2.490,-1.400
4,6:49,1,10,KAN 37,7,38,Derrick Ross left tackle for 2 yards (tackle by Chad Brown),1.400,1.130
4,6:13,2,8,KAN 39,7,38,Brodie Croyle pass incomplete short right intended for Jeff Webb,1.130,0.430
4,6:09,3,8,KAN 39,7,38,Brodie Croyle sacked by Chad Brown for -10 yards,0.430,-1.440
4,5:44,4,18,KAN 29,7,38,"Dustin Colquitt punts 58 yards (tackle by Boomer Grigsby). Penalty on Clint Kriewaldt: Illegal Block Above the , 10 yards",-1.440,0.280
4,5:34,1,10,PIT 14,7,38,Najeh Davenport left end for -3 yards (tackle by Kendrell Bell),-0.280,-1.000
4,4:50,2,13,PIT 11,7,38,Najeh Davenport middle for 2 yards (tackle by Eric Hicks and Derrick Johnson),-1.000,-1.530
4,4:05,3,11,PIT 13,7,38,Charlie Batch pass complete short right to Verron Haynes for 6 yards (tackle by Patrick Surtain and Jarrad Page),-1.530,-2.140
4,3:54,,,,7,38,Timeout #2 by Kansas City Chiefs,0.000,-2.140
4,3:54,4,5,PIT 19,7,38,"Chris Gardocki punts 44 yards, returned by Eddie Kennison for 5 yards (tackle by Anthony Smith). Penalty on Bernard Pollard: Illegal Block Above the , 10 yards",-2.140,-0.810
4,3:44,1,10,KAN 28,7,38,Brodie Croyle pass incomplete short middle intended for Eddie Kennison,0.810,0.260
4,3:44,2,10,KAN 28,7,44,"Brodie Croyle pass incomplete short right intended for Kris Wilson is intercepted by Rian Wallace at KAN-30 and returned for 30 yards, touchdown",0.260,-7.000
4,,,,KAN 2,7,45,Jeff Reed kicks extra point good,0.000,0.000
4,,,,PIT 30,7,45,"Jeff Reed kicks off 55 yards, returned by Jeff Webb for 17 yards (tackle by Anthony Madison)",0.000,1.070
4,3:26,1,10,KAN 32,7,45,Brodie Croyle pass complete short right to Jeff Webb for 6 yards (tackle by Chad Brown and Bryant McFadden),1.070,1.340
4,2:51,2,4,KAN 38,7,45,Derrick Ross right guard for 2 yards (tackle by Chris Hoke and Rodney Bailey),1.340,0.890
4,2:14,3,2,KAN 40,7,45,Brodie Croyle pass complete short right to Jeff Webb for 6 yards (tackle by Ike Taylor),0.890,1.990
4,2:00,1,10,KAN 46,7,45,Brodie Croyle pass complete short right to Jeff Webb for 11 yards (tackle by Ike Taylor),1.990,2.720
4,1:31,1,10,PIT 43,7,45,Derrick Ross right guard for 4 yards (tackle by Travis Kirschke and Tyrone Carter),2.720,2.720
4,1:12,,,,7,45,Timeout #3 by Kansas City Chiefs,0.000,2.720
4,1:12,2,6,PIT 39,7,45,Brodie Croyle pass incomplete deep left intended for Rod Gardner is intercepted by Bryant McFadden at PIT-31 and returned for 39 yards,2.720,-1.000
4,0:59,1,10,PIT 31,7,45,Charlie Batch kneels for -1 yards,1.000,0.320
4,0:31,2,11,PIT 30,7,45,Charlie Batch kneels for -1 yards,0.320,-0.490
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
