Unnamed: 0,KAN,SFO
First Downs,24,25
Rush-Yds-TDs,21-112-3,21-101-0
Cmp-Att-Yd-TD-INT,25-36-423-3-1,29-46-369-2-2
Sacked-Yards,1-6,5-26
Net Pass Yards,417,343
Total Yards,529,444
Fumbles-Lost,2-1,1-1
Turnovers,2,3
Penalties-Yards,8-84,10-80
Third Down Conv.,6-9,8-14
Fourth Down Conv.,0-0,0-0
Time of Possession,26:15,33:45
