Unnamed: 0,SFO,LAR
First Downs,21,13
Rush-Yds-TDs,29-70-1,29-99-2
Cmp-Att-Yd-TD-INT,28-37-266-2-1,11-24-90-1-2
Sacked-Yards,4-13,4-12
Net Pass Yards,253,78
Total Yards,323,177
Fumbles-Lost,2-1,2-0
Turnovers,2,2
Penalties-Yards,11-100,5-45
Third Down Conv.,6-16,4-13
Fourth Down Conv.,1-1,1-1
Time of Possession,31:03,28:57
