Quarter,Time,Tm,Detail,SFO,LAR
1.0,9:01,49ers,Carlos Hyde 19 yard pass from Colin Kaepernick (Phil Dawson kick),7,0
,4:07,Rams,Todd Gurley 1 yard rush (Greg Zuerlein kick),7,7
,2:33,Rams,Tavon Austin 30 yard rush (Greg Zuerlein kick),7,14
4.0,10:32,Rams,Tyler Higbee 2 yard pass from Jared Goff (Greg Zuerlein kick),7,21
,5:06,49ers,Colin Kaepernick 13 yard rush (Phil Dawson kick),14,21
,0:31,49ers,Rod Streater 10 yard pass from Colin Kaepernick (Colin Kaepernick run),22,21
