Unnamed: 0,STL,ARI
First Downs,14,26
Rush-Yds-TDs,21-88-0,32-110-2
Cmp-Att-Yd-TD-INT,20-32-171-1-3,24-38-313-2-0
Sacked-Yards,4-21,2-16
Net Pass Yards,150,297
Total Yards,238,407
Fumbles-Lost,2-1,2-1
Turnovers,4,1
Penalties-Yards,4-20,3-15
Third Down Conv.,6-14,5-14
Fourth Down Conv.,0-1,0-0
Time of Possession,25:49,34:11
