Quarter,Time,Down,ToGo,Location,STL,ARI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss, Rams to receive the opening kickoff.",,
1,15:00,,,ARI 30,0,0,"Mike Nugent kicks off 62 yards, returned by Danny Amendola for 20 yards (tackle by Jason Wright)",0.000,0.810
1,14:54,1,10,STL 28,0,0,Kenneth Darby middle for 10 yards (tackle by Darnell Dockett),0.810,1.470
1,14:16,1,10,STL 38,0,0,"Penalty on Alex Barron: False Start, 5 yards (no play)",1.470,1.140
1,13:59,1,15,STL 33,0,0,Kenneth Darby left tackle for 10 yards (tackle by Karlos Dansby),1.140,1.600
1,13:23,2,5,STL 43,0,0,Kenneth Darby left tackle for 4 yards (tackle by Karlos Dansby and Antrel Rolle),1.600,1.420
1,12:44,3,1,STL 47,0,0,Kenneth Darby middle for 3 yards (tackle by Rashad Johnson),1.420,2.260
1,12:08,1,10,,0,0,Kenneth Darby right tackle for 2 yards (tackle by Karlos Dansby),2.260,1.980
1,11:28,2,8,ARI 48,0,0,Keith Null pass incomplete short left intended for Chris Ogbonnaya,1.980,1.290
1,11:23,3,8,ARI 48,0,0,Keith Null pass incomplete short right intended for Ruvell Martin (defended by Dominique Rodgers-Cromartie),1.290,0.070
1,11:19,4,8,ARI 48,0,0,"Donnie Jones punts 38 yards, returned by Steve Breaston for 5 yards (tackle by Cord Parks)",0.070,0.220
1,11:07,1,10,ARI 15,0,0,Tim Hightower right tackle for 3 yards (tackle by Darell Scott and Craig Dahl),-0.220,-0.280
1,10:34,2,7,ARI 18,0,0,Kurt Warner pass incomplete short right intended for Larry Fitzgerald (defended by Ronald Bartell),-0.280,-1.000
1,10:30,3,7,ARI 18,0,0,Kurt Warner pass incomplete short left intended for LaRod Stephens-Howling,-1.000,-2.240
1,10:25,4,7,ARI 18,0,0,Ben Graham punts 38 yards,-2.240,-1.860
1,10:16,1,10,STL 44,0,0,Keith Null pass incomplete short right intended for Randy McMichael,1.860,1.320
1,10:11,2,10,STL 44,0,0,Keith Null pass complete short right to Danny Amendola for 12 yards (tackle by Karlos Dansby),1.320,2.650
1,9:37,1,10,ARI 44,0,0,Keith Null sacked by Calais Campbell for -6 yards,2.650,1.300
1,8:59,2,16,,0,0,Kenneth Darby right tackle for 2 yards (tackle by Karlos Dansby),1.300,0.890
1,8:15,3,14,ARI 48,0,0,Keith Null pass incomplete short right intended for Danny Amendola is intercepted by Greg Toler at ARI-33,0.890,-1.140
1,8:08,1,10,ARI 33,0,0,Kurt Warner pass complete short left to Larry Fitzgerald for 11 yards (tackle by Danny Gorrer),1.140,1.860
1,7:50,1,10,ARI 44,0,0,Beanie Wells right tackle for no gain (tackle by Victor Adeyanju),1.860,1.320
1,7:07,2,10,ARI 44,0,0,Kurt Warner pass complete short left to Anquan Boldin for 9 yards (tackle by Justin King),1.320,1.820
1,6:41,3,1,STL 47,0,0,Tim Hightower right tackle for 1 yard (tackle by Justin King),1.820,2.520
1,5:54,,,,0,0,Timeout #1 by Arizona Cardinals,0.000,2.520
1,5:54,1,10,STL 46,0,0,Beanie Wells right tackle for 2 yards (tackle by James Laurinaitis),2.520,2.250
1,5:14,2,8,STL 44,0,0,Tim Hightower left tackle for 4 yards (tackle by Craig Dahl),2.250,2.080
1,4:33,3,4,STL 40,0,0,Kurt Warner pass incomplete short left intended for Tim Hightower,2.080,0.590
1,4:29,4,4,STL 40,0,0,"Ben Graham punts 32 yards, fair catch by Danny Amendola",0.590,0.380
1,4:22,1,10,STL 8,0,0,Chris Ogbonnaya left tackle for 4 yards (tackle by Clark Haggans),-0.380,-0.490
1,3:47,2,6,STL 12,0,0,Chris Ogbonnaya middle for 1 yard (tackle by Clark Haggans),-0.490,-0.840
1,3:05,3,5,STL 13,0,0,"Keith Null pass complete short right to Danny Amendola for 7 yards (tackle by Dominique Rodgers-Cromartie). Danny Amendola fumbles (forced by Dominique Rodgers-Cromartie), ball out of bounds at STL-23",-0.840,0.280
1,2:43,1,10,STL 20,0,0,Chris Ogbonnaya right tackle for 2 yards (tackle by Clark Haggans),0.280,0.000
1,2:08,2,8,STL 22,0,0,Keith Null pass complete short middle to Billy Bajema for 7 yards (tackle by Gerald Hayes),0.000,0.230
1,1:30,3,1,STL 29,0,0,Chris Ogbonnaya right tackle for 8 yards (tackle by Antrel Rolle),0.230,1.400
1,0:54,1,10,STL 37,0,0,Keith Null pass complete short middle to Randy McMichael for 7 yards (tackle by Gerald Hayes),1.400,1.800
1,0:13,2,3,STL 44,0,0,Keith Null pass incomplete deep right intended for Randy McMichael,1.800,1.090
1,0:08,3,3,STL 44,0,0,Keith Null pass incomplete deep left intended for Brandon Gibson,1.090,-0.460
1,0:03,4,3,STL 44,0,0,"Donnie Jones punts 56 yards, touchback",-0.460,-0.280
Quarter,Time,Down,ToGo,Location,STL,ARI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,ARI 20,0,0,Kurt Warner pass complete short right to Anquan Boldin for 15 yards (tackle by James Butler and Justin King),0.280,1.270
2,14:21,1,10,ARI 35,0,0,Beanie Wells middle for 6 yards (tackle by Paris Lenon),1.270,1.530
2,13:46,2,4,ARI 41,0,0,Kurt Warner pass complete deep left to Steve Breaston for 45 yards (tackle by Danny Gorrer),1.530,4.650
2,13:02,1,10,STL 14,0,0,Beanie Wells right end for 4 yards (tackle by James Butler),4.650,4.710
2,12:19,2,6,STL 10,0,6,"Kurt Warner pass complete short middle to Larry Fitzgerald for 10 yards, touchdown",4.710,7.000
2,,,,STL 2,0,7,Mike Nugent kicks extra point good,0.000,0.000
2,,,,ARI 30,0,7,"Mike Nugent kicks off 63 yards, returned by Danny Amendola for 21 yards (tackle by Jason Wright)",0.000,0.810
2,12:08,1,10,STL 28,0,7,Keith Null pass complete short right to Brandon Gibson for 13 yards (tackle by Dominique Rodgers-Cromartie),0.810,1.660
2,11:39,1,10,STL 41,0,7,Kyle Boller pass incomplete short left intended for Kenneth Darby,1.660,1.120
2,11:33,2,10,STL 41,0,7,Kenneth Darby left tackle for 3 yards (tackle by Bryan Robinson and Clark Haggans),1.120,0.830
2,10:57,3,7,STL 44,0,7,Keith Null sacked by Chike Okeafor for -6 yards,0.830,-0.850
2,10:30,4,13,STL 38,0,7,"Donnie Jones punts 53 yards, returned by Steve Breaston for 8 yards (tackle by K.C. Asiodu)",-0.850,0.060
2,10:20,1,10,ARI 17,0,7,Kurt Warner pass complete deep right to Anquan Boldin for 23 yards (tackle by Craig Dahl and James Butler),-0.060,1.600
2,9:53,1,10,ARI 40,0,7,Tim Hightower left tackle for 4 yards (tackle by James Butler),1.600,1.590
2,9:15,2,6,ARI 44,0,7,Kurt Warner pass incomplete deep left intended for Larry Fitzgerald,1.590,0.890
2,9:09,3,6,ARI 44,0,7,Kurt Warner pass complete deep right to Anquan Boldin for 22 yards (tackle by James Butler),0.890,3.310
2,8:27,1,10,STL 34,0,7,Kurt Warner pass incomplete short right intended for Stephen Spach,3.310,2.770
2,8:20,2,10,STL 34,0,7,Tim Hightower right tackle for 16 yards (tackle by David Roach),2.770,4.370
2,7:36,1,10,STL 18,0,7,Tim Hightower left tackle for no gain (tackle by Paris Lenon),4.370,3.800
2,6:53,2,10,STL 18,0,13,"Kurt Warner pass complete short middle to Early Doucet for 18 yards, touchdown",3.800,7.000
2,,,,STL 2,0,14,Mike Nugent kicks extra point good,0.000,0.000
2,,,,ARI 30,0,14,"Mike Nugent kicks off 61 yards, returned by Danny Amendola for 25 yards (tackle by Michael Adams)",0.000,1.200
2,6:41,1,10,STL 34,0,14,Kenneth Darby right tackle for 4 yards (tackle by Gabe Watson),1.200,1.200
