Quarter,Time,Tm,Detail,CLE,NYG
1.0,4:12,Giants,Graham Gano 37 yard field goal,0,3
2.0,12:31,Browns,Austin Hooper 2 yard pass from Baker Mayfield (Cody Parkey kick),7,3
,0:21,Browns,Jarvis Landry 2 yard pass from Baker Mayfield (Cody Parkey kick failed),13,3
4.0,12:53,Browns,Nick Chubb 1 yard rush (Cody Parkey kick),20,3
,4:07,Giants,Graham Gano 39 yard field goal,20,6
