Quarter,Time,Down,ToGo,Location,CLE,NYG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Browns won the coin toss and deferred, Giants to receive the opening kickoff.",,
1,15:00,,,CLE 35,0,0,"Cody Parkey kicks off 61 yards, returned by Dion Lewis for 48 yards (tackle by Elijah Lee)",0.000,2.390
1,14:50,1,10,CLE 48,0,0,Wayne Gallman right guard for 9 yards (tackle by Sheldrick Redwine and Terrance Mitchell),2.390,3.060
1,14:11,2,1,CLE 39,0,0,Colt McCoy pass incomplete short left intended for Darius Slayton,3.060,2.340
1,14:07,3,1,CLE 39,0,0,Elijhaa Penny up the middle for 2 yards (tackle by Karl Joseph),2.340,3.120
1,13:34,1,10,CLE 37,0,0,Wayne Gallman up the middle for 2 yards (tackle by Olivier Vernon and Jacob Phillips),3.120,2.840
1,13:01,2,8,CLE 35,0,0,Colt McCoy pass complete deep left to Sterling Shepard for 22 yards (tackle by Denzel Ward and Sheldrick Redwine). Penalty on Myles Garrett: Defensive Offside (Declined),2.840,4.710
1,12:37,1,10,CLE 13,0,0,Colt McCoy pass incomplete short left intended for Sterling Shepard (defended by Denzel Ward),4.710,4.050
1,12:33,2,10,CLE 13,0,0,Wayne Gallman right tackle for 5 yards (tackle by Karl Joseph),4.050,4.100
1,11:46,3,5,CLE 8,0,0,Colt McCoy pass incomplete short right intended for Evan Engram,4.100,2.970
1,11:41,4,5,CLE 8,0,0,Riley Dixon pass incomplete short middle intended for Nick Gates,2.970,0.380
1,11:36,1,10,CLE 8,0,0,Nick Chubb left tackle for 4 yards (tackle by Carter Coughlin and Dalvin Tomlinson),-0.380,-0.490
1,11:15,2,6,CLE 12,0,0,Baker Mayfield pass complete short middle to Jarvis Landry for 3 yards (tackle by Devante Downs),-0.490,-0.600
1,10:48,3,3,CLE 15,0,0,Baker Mayfield pass complete short middle to Kareem Hunt for 5 yards (tackle by Tae Crowder),-0.600,0.280
1,10:18,1,10,CLE 20,0,0,Nick Chubb left tackle for 4 yards (tackle by Dexter Lawrence and Blake Martinez),0.280,0.270
1,9:42,2,6,CLE 24,0,0,Baker Mayfield pass complete short right to Jarvis Landry for 8 yards (tackle by Julian Love),0.270,1.070
1,9:18,1,10,CLE 32,0,0,Baker Mayfield pass complete deep right to Rashard Higgins for 17 yards (tackle by Isaac Yiadom),1.070,2.190
1,8:47,1,10,CLE 49,0,0,Nick Chubb right tackle for 3 yards (tackle by Leonard Williams),2.190,2.050
1,8:25,2,7,NYG 48,0,0,Baker Mayfield pass complete short left to Austin Hooper for 4 yards (tackle by Blake Martinez),2.050,1.880
1,7:49,3,3,NYG 44,0,0,Kareem Hunt right guard for 1 yard (tackle by Dexter Lawrence and B.J. Hill),1.880,0.400
1,7:08,4,2,NYG 43,0,0,Baker Mayfield pass incomplete short left intended for Austin Hooper (defended by Dexter Lawrence),0.400,-1.800
1,7:05,1,10,NYG 43,0,0,Sterling Shepard right end for -3 yards (tackle by Larry Ogunjobi),1.800,0.850
1,6:23,2,13,NYG 40,0,0,Wayne Gallman up the middle for 7 yards (tackle by Myles Garrett and Jacob Phillips),0.850,1.090
1,5:37,3,6,NYG 47,0,0,Colt McCoy pass complete deep left to Darius Slayton for 35 yards (tackle by Sheldrick Redwine),1.090,4.370
1,5:11,1,10,CLE 18,0,0,Colt McCoy pass complete short right to Golden Tate for -1 yards (tackle by Karl Joseph),4.370,3.670
1,4:29,2,11,CLE 19,0,0,Colt McCoy pass incomplete deep left intended for Evan Engram (defended by Karl Joseph),3.670,2.970
1,4:22,3,11,CLE 19,0,0,Colt McCoy pass incomplete deep right intended for Darius Slayton,2.970,2.180
1,4:17,4,11,CLE 19,0,3,Graham Gano 37 yard field goal good,2.180,3.000
1,4:12,,,NYG 35,0,3,"Graham Gano kicks off 51 yards, returned by Donovan Peoples-Jones for 11 yards (tackle by Elijhaa Penny and Jabrill Peppers)",0.000,0.610
1,4:08,1,10,CLE 25,0,3,Baker Mayfield pass complete short left to Jarvis Landry for 6 yards (tackle by Devante Downs),0.610,0.870
1,3:36,2,4,CLE 31,0,3,Nick Chubb left tackle for 5 yards (tackle by Blake Martinez and Xavier McKinney),0.870,1.330
1,3:03,1,10,CLE 36,0,3,Nick Chubb left end for -2 yards (tackle by Leonard Williams and Dalvin Tomlinson),1.330,0.520
1,2:24,2,12,CLE 34,0,3,Baker Mayfield pass complete short left to Austin Hooper for 17 yards (tackle by Xavier McKinney),0.520,2.320
1,1:47,1,10,NYG 49,0,3,Baker Mayfield pass complete short left to Harrison Bryant for 10 yards (tackle by Austin Johnson),2.320,2.980
1,1:08,1,10,NYG 39,0,3,Nick Chubb left end for 1 yard (tackle by Dexter Lawrence),2.980,2.580
1,0:29,2,9,NYG 38,0,3,Baker Mayfield pass complete deep left to Rashard Higgins for 22 yards (tackle by Isaac Yiadom),2.580,4.510
Quarter,Time,Down,ToGo,Location,CLE,NYG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,NYG 16,0,3,Baker Mayfield pass incomplete deep right intended for Rashard Higgins,4.510,3.900
2,14:55,2,10,NYG 16,0,3,Baker Mayfield pass complete short right to Harrison Bryant for 9 yards (tackle by Logan Ryan and Julian Love),3.900,4.850
2,14:21,3,1,NYG 7,0,3,Baker Mayfield up the middle for 2 yards (tackle by Leonard Williams),4.850,6.060
2,13:46,1,5,NYG 5,0,3,Nick Chubb left guard for -1 yards (tackle by Blake Martinez and Dexter Lawrence),6.060,4.950
2,13:07,2,6,NYG 6,0,3,Baker Mayfield up the middle for 4 yards (tackle by Carter Coughlin),4.950,4.950
2,12:36,,,,,,Timeout #1 by New York Giants,,
2,12:36,3,2,NYG 2,6,3,"Baker Mayfield pass complete short left to Austin Hooper for 2 yards, touchdown",4.950,7.000
2,12:31,,,NYG 15,7,3,Cody Parkey kicks extra point good,0.000,0.000
2,12:31,,,CLE 35,7,3,"Cody Parkey kicks off 59 yards, returned by Dion Lewis for 19 yards (tackle by Tavierre Thomas and Sione Takitaki). Dion Lewis fumbles (forced by Tavierre Thomas), recovered by Levine Toilolo at NYG-27",0.000,0.740
2,12:23,1,10,NYG 27,7,3,Alfred Morris up the middle for 8 yards (tackle by Karl Joseph),0.740,1.280
2,11:44,2,2,NYG 35,7,3,Alfred Morris right tackle for 2 yards (tackle by Olivier Vernon and Larry Ogunjobi),1.280,1.400
2,10:56,1,10,NYG 37,7,3,Alfred Morris left tackle for no gain (tackle by Sione Takitaki and B.J. Goodson),1.400,0.860
2,10:16,2,10,NYG 37,7,3,Colt McCoy pass complete short middle to Sterling Shepard for 12 yards (tackle by Sheldrick Redwine),0.860,2.190
2,9:34,1,10,NYG 49,7,3,Alfred Morris right end for 2 yards (tackle by Denzel Ward and B.J. Goodson),2.190,1.920
2,8:57,2,8,CLE 49,7,3,Alfred Morris up the middle for 12 yards (tackle by Karl Joseph),1.920,3.120
2,8:18,1,10,CLE 37,7,3,Colt McCoy pass complete short right to Elijhaa Penny for 9 yards (tackle by Karl Joseph),3.120,3.790
2,7:30,2,1,CLE 28,7,3,Colt McCoy pass complete short right to Levine Toilolo for 14 yards (tackle by Sheldrick Redwine and Porter Gustin),3.790,4.650
2,6:48,1,10,CLE 14,7,3,Colt McCoy right end for 4 yards (tackle by Karl Joseph),4.650,4.710
2,6:14,2,6,CLE 10,7,3,Colt McCoy pass incomplete short right intended for Darius Slayton,4.710,3.820
2,6:07,3,6,CLE 10,7,3,Dion Lewis up the middle for 4 yards (tackle by Adrian Clayborn and Sheldon Richardson),3.820,3.010
2,5:22,4,2,CLE 6,7,3,Wayne Gallman left guard for 1 yard (tackle by Sheldrick Redwine and Karl Joseph),3.010,0.380
2,5:16,1,10,CLE 5,7,3,Kareem Hunt left end for 14 yards (tackle by Logan Ryan),-0.380,0.150
2,4:35,1,10,CLE 19,7,3,Baker Mayfield pass complete short middle to Kareem Hunt for 7 yards (tackle by Blake Martinez),0.150,0.610
