Unnamed: 0,CLE,NYG
First Downs,24,14
Rush-Yds-TDs,30-106-1,21-74-0
Cmp-Att-Yd-TD-INT,27-32-297-2-0,19-32-221-0-0
Sacked-Yards,1-11,1-7
Net Pass Yards,286,214
Total Yards,392,288
Fumbles-Lost,1-0,1-0
Turnovers,0,0
Penalties-Yards,6-60,2-25
Third Down Conv.,9-13,5-11
Fourth Down Conv.,0-1,0-2
Time of Possession,34:03,25:57
