Quarter,Time,Tm,Detail,NWE,HOU
1.0,4:54,Texans,Antony Auclair 11 yard pass from Davis Mills (Ka'imi Fairbairn kick failed),0,6
2.0,14:17,Patriots,Damien Harris 1 yard rush (Nick Folk kick failed),6,6
,12:56,Texans,Chris Moore 67 yard pass from Davis Mills (Ka'imi Fairbairn kick failed),6,12
,1:37,Texans,Ka'imi Fairbairn 33 yard field goal,6,15
,0:02,Patriots,Nick Folk 52 yard field goal,9,15
3.0,13:31,Texans,Chris Conley 37 yard pass from Davis Mills (Ka'imi Fairbairn kick),9,22
,8:25,Patriots,Nick Folk 52 yard field goal,12,22
,1:50,Patriots,Nick Folk 32 yard field goal,15,22
4.0,9:31,Patriots,Hunter Henry 13 yard pass from Mac Jones (Nick Folk kick),22,22
,0:15,Patriots,Nick Folk 21 yard field goal,25,22
