Quarter,Time,Down,ToGo,Location,NWE,HOU,Detail,EPB,EPA
2,13:48,2,3,HOU 32,6,6,Phillip Lindsay left guard for 1 yard (tackle by Dont'a Hightower),,
2,13:09,3,2,HOU 33,6,12,"Davis Mills pass complete deep right to Chris Moore for 67 yards, touchdown",,
2,12:56,,,NWE 15,6,12,Ka'imi Fairbairn kicks extra point no good,,
2,12:56,,,HOU 35,6,12,"Ka'imi Fairbairn kicks off 61 yards, returned by Gunner Olszewski for 18 yards (tackle by Joe Thomas and Terrence Brooks)",,
2,12:51,1,10,NWE 22,6,12,Damien Harris left end for 7 yards (tackle by Terrance Mitchell),,
2,12:22,2,3,NWE 29,6,12,Rhamondre Stevenson up the middle for 4 yards (tackle by Jordan Jenkins and Zach Cunningham),,
2,11:47,1,10,NWE 33,6,12,Mac Jones pass complete short right to N'Keal Harry for 9 yards (tackle by Desmond King),,
2,11:07,2,1,NWE 42,6,12,Rhamondre Stevenson up the middle for -1 yards (tackle by Jacob Martin),,
2,10:30,3,2,NWE 41,6,12,Mac Jones pass complete short middle to Jakobi Meyers for 17 yards (tackle by Justin Reid),,
2,9:53,1,10,HOU 42,6,12,"Mac Jones pass complete deep middle to Jonnu Smith for 23 yards (tackle by Lonnie Johnson). Penalty on Lonnie Johnson: Unnecessary Roughness / Defense, 10 yards (accepted)",,
2,9:27,1,9,HOU 9,6,12,Mac Jones pass complete short right to Jonnu Smith for 4 yards (tackle by Desmond King),,
2,8:54,2,5,HOU 5,6,12,"Damien Harris up the middle for no gain, touchdown Replay Assistant challenged the runner broke the plane ruling, and the original play was overturned. Damien Harris up the middle for 4 yards. Damien Harris fumbles (forced by Terrance Mitchell), recovered by Jaleel Johnson in end zone, touchback.",,
2,8:48,1,10,HOU 20,6,12,Mark Ingram left guard for 3 yards (tackle by Dont'a Hightower),,
2,8:13,2,7,HOU 23,6,12,Mark Ingram up the middle for 1 yard (tackle by Dont'a Hightower and Carl Davis),,
2,7:27,3,6,HOU 24,6,12,Davis Mills pass complete short left to Jordan Akins for 9 yards (tackle by Kyle Dugger),,
2,6:59,1,10,HOU 33,6,12,Phillip Lindsay right tackle for 2 yards (tackle by Davon Godchaux and Matt Judon),,
2,6:15,2,8,HOU 35,6,12,Phillip Lindsay left tackle for 1 yard (tackle by Adrian Phillips and Deatrich Wise),,
2,5:32,3,7,HOU 36,6,12,"Davis Mills scrambles right end for no gain (tackle by Adrian Phillips). Penalty on Justin Britt: Offensive Holding, 10 yards (accepted) (no play)",,
2,4:59,3,17,HOU 26,6,12,Davis Mills pass complete short right to David Johnson for 16 yards (tackle by Kyle Dugger and Joejuan Williams),,
2,4:19,,,,,,Timeout #2 by Houston Texans,,
2,4:19,4,1,HOU 42,6,12,Davis Mills pass complete short left to Brandin Cooks for 6 yards (tackle by J.C. Jackson),,
2,3:40,1,10,HOU 48,6,12,Davis Mills pass incomplete short left intended for Pharaoh Brown,,
2,3:34,2,10,HOU 48,6,12,"Penalty on Pharaoh Brown: False Start, 5 yards (accepted) (no play)",,
2,3:34,2,15,HOU 43,6,12,Davis Mills pass incomplete deep right intended for David Johnson,,
2,3:29,3,15,HOU 43,6,12,Davis Mills pass complete short middle to Chris Moore for 13 yards (tackle by Adrian Phillips and Jonathan Jones),,
2,2:50,4,2,NWE 44,6,12,Davis Mills pass complete deep right to Chris Conley for 40 yards (tackle by Joejuan Williams),,
2,2:00,1,4,NWE 4,6,12,"Davis Mills pass incomplete short right intended for Chris Moore. Penalty on J.C. Jackson: Defensive Holding, 2 yards (accepted) (no play)",,
2,1:56,1,2,NWE 2,6,12,"Penalty on Tytus Howard: False Start, 5 yards (accepted) (no play)",,
2,1:56,1,7,NWE 7,6,12,Davis Mills sacked by Matt Judon for -2 yards,,
2,1:51,,,,,,Timeout #1 by New England Patriots,,
2,1:51,2,9,NWE 9,6,12,Mark Ingram right tackle for 3 yards (tackle by Christian Barmore and Kyle Dugger),,
2,1:46,,,,,,Timeout #2 by New England Patriots,,
2,1:46,3,6,NWE 6,6,12,Davis Mills sacked by Matt Judon for -9 yards,,
2,1:40,,,,,,Timeout #3 by New England Patriots,,
2,1:40,4,15,NWE 15,6,15,Ka'imi Fairbairn 33 yard field goal good,,
2,1:37,,,HOU 35,6,15,"Ka'imi Fairbairn kicks off 62 yards, returned by Gunner Olszewski for 21 yards (tackle by Desmond King and Neville Hewitt)",,
2,1:31,1,10,NWE 24,6,15,Mac Jones pass complete short right to Hunter Henry for 5 yards (tackle by Christian Kirksey and Maliek Collins),,
2,1:07,2,5,NWE 29,6,15,Mac Jones pass complete short right to Kendrick Bourne for 7 yards,,
2,1:01,1,10,NWE 36,6,15,Mac Jones pass incomplete short right intended for Hunter Henry (defended by Christian Kirksey),,
2,0:57,2,10,NWE 36,6,15,"Mac Jones pass incomplete deep right intended for Jakobi Meyers. Penalty on Terrance Mitchell: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",,
2,0:51,1,10,NWE 41,6,15,Mac Jones pass incomplete deep middle intended for Hunter Henry (defended by Justin Reid),,
2,0:46,2,10,NWE 41,6,15,Mac Jones pass complete short left to Hunter Henry for 16 yards (tackle by Christian Kirksey),,
2,0:26,1,10,HOU 43,6,15,Mac Jones pass complete short right to Jakobi Meyers for 9 yards (tackle by Tavierre Thomas),,
2,0:11,2,1,HOU 34,6,15,Mac Jones spiked the ball,,
2,0:10,3,1,HOU 34,6,15,Mac Jones pass incomplete short right,,
2,0:06,4,1,HOU 34,9,15,Nick Folk 52 yard field goal good,,
2,0:02,,,NWE 35,9,15,"Jake Bailey kicks off 26 yards, out of bounds",,
Quarter,Time,Down,ToGo,Location,NWE,HOU,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,HOU 35,9,15,"Ka'imi Fairbairn kicks off 64 yards, returned by Gunner Olszewski for 26 yards (tackle by Eric Murray)",,
3,14:56,1,10,NWE 27,9,15,Rhamondre Stevenson right guard for no gain (tackle by Zach Cunningham and Christian Kirksey),,
3,14:19,2,10,NWE 27,9,15,Mac Jones pass deep middle intended for Nelson Agholor is intercepted by Lonnie Johnson at NE-44 and returned for no gain,,
3,14:13,1,10,NWE 44,9,15,Mark Ingram up the middle for 7 yards (tackle by Lawrence Guy and Davon Godchaux),,
3,13:39,2,3,NWE 37,9,21,"Davis Mills pass complete deep right to Chris Conley for 37 yards, touchdown",,
3,13:31,,,NWE 15,9,22,Ka'imi Fairbairn kicks extra point good,,
3,13:31,,,HOU 35,9,22,"Ka'imi Fairbairn kicks off 65 yards, touchback.",,
3,13:31,1,10,NWE 25,9,22,Rhamondre Stevenson right guard for -3 yards (tackle by Jordan Jenkins),,
3,12:46,2,13,NWE 22,9,22,Mac Jones pass complete short middle to Brandon Bolden for 3 yards (tackle by Kamu Grugier-Hill),,
3,12:03,3,10,NWE 25,9,22,Mac Jones pass incomplete deep left intended for Jakobi Meyers (defended by Terrance Mitchell),,
3,11:55,4,10,NWE 25,9,22,"Jake Bailey punts 58 yards, returned by Andre Roberts for 11 yards (tackle by Matthew Slater)",,
3,11:43,1,10,HOU 28,9,22,Davis Mills pass complete short right to Pharaoh Brown for 7 yards (tackle by Devin McCourty),,
3,11:09,2,3,HOU 35,9,22,Mark Ingram up the middle for 1 yard (tackle by Adrian Phillips),,
3,10:29,3,2,HOU 36,9,22,Davis Mills pass incomplete short left intended for Brandin Cooks (defended by J.C. Jackson),,
3,10:26,4,2,HOU 36,9,22,Cameron Johnston punts,,
3,10:22,1,10,HOU 36,9,22,Damien Harris right tackle for 3 yards (tackle by Roy Lopez),,
3,9:49,2,7,HOU 33,9,22,Damien Harris up the middle for -3 yards (tackle by Jonathan Greenard),,
3,9:13,3,10,HOU 36,9,22,Mac Jones pass complete short left to Brandon Bolden for 3 yards (tackle by Tavierre Thomas and Christian Kirksey),,
3,8:29,4,7,HOU 33,12,22,Nick Folk 52 yard field goal good,,
3,8:25,,,NWE 35,12,22,"Jake Bailey kicks off 64 yards, returned by Andre Roberts for 22 yards (tackle by Adrian Phillips)",,
3,8:21,1,10,HOU 23,12,22,Davis Mills pass complete short middle to Pharaoh Brown for 15 yards (tackle by Devin McCourty),,
3,7:46,1,10,HOU 38,12,22,"Mark Ingram right guard for 1 yard (tackle by J.C. Jackson). Penalty on Max Scharping: Offensive Holding, 10 yards (accepted)",,
3,7:15,1,19,HOU 29,12,22,Davis Mills pass complete short right to David Johnson for 5 yards (tackle by Adrian Phillips),,
3,6:38,2,14,HOU 34,12,22,Davis Mills pass incomplete short right,,
3,6:32,3,14,HOU 34,12,22,Davis Mills pass complete short left to Chris Moore for -5 yards (tackle by Myles Bryant),,
3,5:59,4,19,HOU 29,12,22,"Cameron Johnston punts 45 yards, returned by Gunner Olszewski for 13 yards (tackle by Kamu Grugier-Hill)",,
3,5:48,1,10,NWE 39,12,22,Mac Jones pass complete short left to Hunter Henry for 21 yards (tackle by Terrance Mitchell and Tavierre Thomas),,
3,5:14,1,10,HOU 40,12,22,Rhamondre Stevenson left guard for 4 yards (tackle by Jaleel Johnson),,
3,4:35,2,6,HOU 36,12,22,Mac Jones pass complete short middle to Nelson Agholor for 20 yards (tackle by Justin Reid),,
3,3:54,1,10,HOU 16,12,22,Mac Jones pass complete short left to Nelson Agholor for 1 yard (tackle by Tavierre Thomas),,
3,3:14,2,9,HOU 15,12,22,Mac Jones pass complete short right to Brandon Bolden for -3 yards (tackle by Kamu Grugier-Hill),,
3,2:32,3,12,HOU 18,12,22,Mac Jones pass complete short left to Kendrick Bourne for 4 yards (tackle by Christian Kirksey),,
3,1:53,4,8,HOU 14,15,22,Nick Folk 32 yard field goal good,,
3,1:50,,,NWE 35,15,22,"Jake Bailey kicks off 67 yards, returned by Andre Roberts for 24 yards (tackle by Chase Winovich and Brandon King)",,
3,1:45,1,10,HOU 22,15,22,Mark Ingram up the middle for 3 yards (tackle by Lawrence Guy and Davon Godchaux),,
3,1:06,2,7,HOU 25,15,22,Mark Ingram left end for 4 yards (tackle by Kyle Van Noy),,
3,0:24,3,3,HOU 29,15,22,Davis Mills pass complete short middle to Chris Moore for 27 yards (tackle by Myles Bryant),,
Quarter,Time,Down,ToGo,Location,NWE,HOU,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,NWE 44,15,22,Mark Ingram right guard for 3 yards (tackle by Carl Davis and Deatrich Wise),,
4,14:22,2,7,NWE 41,15,22,Davis Mills pass incomplete deep left intended for Chris Conley,,
4,14:17,3,7,NWE 41,15,22,Davis Mills pass complete short right to Brandin Cooks for 3 yards (tackle by J.C. Jackson),,
4,13:29,,,,,,Timeout #1 by Houston Texans,,
4,13:29,4,4,NWE 38,15,22,Ka'imi Fairbairn 56 yard field goal no good,,
4,13:25,1,10,NWE 46,15,22,Damien Harris right guard for 7 yards (tackle by Desmond King and Justin Reid),,
4,12:43,2,3,HOU 47,15,22,Mac Jones pass complete short right to Hunter Henry for 10 yards (tackle by Christian Kirksey and Desmond King),,
4,12:08,1,10,HOU 37,15,22,Damien Harris left tackle for 5 yards (tackle by Maliek Collins),,
4,11:29,2,5,HOU 32,15,22,Damien Harris right guard for 15 yards (tackle by Terrance Mitchell and Maliek Collins),,
4,10:50,1,10,HOU 17,15,22,Rhamondre Stevenson right guard for 4 yards (tackle by Jaleel Johnson),,
4,10:13,2,6,HOU 13,15,22,Rhamondre Stevenson up the middle for no gain (tackle by Zach Cunningham and Justin Reid),,
4,9:36,3,6,HOU 13,21,22,"Mac Jones pass complete short left to Hunter Henry for 13 yards, touchdown",,
4,9:31,,,HOU 15,22,22,Nick Folk kicks extra point good,,
4,9:31,,,NWE 35,22,22,"Jake Bailey kicks off 65 yards, touchback.",,
4,9:31,1,10,HOU 25,22,22,David Johnson up the middle for 2 yards (tackle by Davon Godchaux),,
4,8:51,2,8,HOU 27,22,22,Davis Mills sacked by Jamie Collins for -8 yards,,
4,8:09,3,16,HOU 19,22,22,Davis Mills pass complete short right to Brandin Cooks for 14 yards (tackle by J.C. Jackson),,
4,7:23,4,2,HOU 33,22,22,"Cameron Johnston punts 54 yards, fair catch by Gunner Olszewski at NE-13",,
4,7:15,1,10,NWE 13,22,22,Mac Jones pass complete short middle to Jakobi Meyers for 24 yards (tackle by Christian Kirksey),,
4,6:45,1,10,NWE 37,22,22,"Damien Harris right tackle for 4 yards (tackle by Roy Lopez). Penalty on Kendrick Bourne: Offensive Holding, 10 yards (accepted)",,
4,6:30,1,16,NWE 31,22,22,Mac Jones sacked by Jonathan Greenard for -5 yards,,
4,5:49,2,21,NWE 26,22,22,Mac Jones pass complete short right to Brandon Bolden for 3 yards (tackle by Desmond King),,
4,5:18,3,18,NWE 29,22,22,"Mac Jones pass incomplete deep middle intended for N'Keal Harry. Penalty on Maliek Collins: Roughing the Passer, 15 yards (accepted) (no play)",,
4,5:11,1,10,NWE 44,22,22,Rhamondre Stevenson up the middle for 3 yards (tackle by Christian Kirksey and Whitney Mercilus),,
4,4:34,2,7,NWE 47,22,22,Rhamondre Stevenson left tackle for 1 yard (tackle by DeMarcus Walker),,
4,3:58,3,6,NWE 48,22,22,Mac Jones pass complete short middle to Hunter Henry for 10 yards (tackle by Lonnie Johnson and Terrance Mitchell),,
4,3:18,1,10,HOU 42,22,22,Mac Jones pass incomplete short left intended for N'Keal Harry (defended by Zach Cunningham),,
4,3:14,2,10,HOU 42,22,22,Brandon Bolden left end for 24 yards (tackle by Justin Reid),,
4,2:32,1,10,HOU 18,22,22,Rhamondre Stevenson left end for 9 yards (tackle by Christian Kirksey and Lonnie Johnson),,
4,2:23,,,,,,Timeout #2 by Houston Texans,,
4,2:23,2,1,HOU 9,22,22,Mac Jones up the middle for 3 yards (tackle by DeMarcus Walker),,
4,2:00,1,6,HOU 6,22,22,Rhamondre Stevenson right tackle for 2 yards (tackle by Jordan Jenkins and Desmond King),,
4,1:56,,,,,,Timeout #3 by Houston Texans,,
4,1:56,2,4,HOU 4,22,22,"Rhamondre Stevenson for no gain, touchdown (no play)",,
4,1:52,2,9,HOU 9,22,22,Jonnu Smith right end for 5 yards (tackle by Kamu Grugier-Hill and Christian Kirksey),,
4,1:07,,,,,,Timeout #1 by New England Patriots,,
4,1:07,3,4,HOU 4,22,22,Brandon Bolden up the middle for 1 yard (tackle by Joe Thomas and Jordan Jenkins),,
4,0:17,,,,,,Timeout #2 by New England Patriots,,
4,0:17,4,3,HOU 3,25,22,Nick Folk 21 yard field goal good,,
4,0:15,,,NWE 35,25,22,"Jake Bailey kicks off 65 yards, touchback.",,
4,0:15,1,10,HOU 25,25,22,Davis Mills pass incomplete short left,,
4,0:08,2,10,HOU 25,25,22,"Davis Mills pass complete short right to Chris Conley for 7 yards. Chris Conley fumbles, recovered by Matt Judon at HOU-47 and returned for -6 yards. Penalty on J.C. Jackson: Defensive Illegal Blindside Block (accepted)",,
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
