Unnamed: 0,ATL,CLE
First Downs,16,17
Rush-Yds-TDs,27-105-0,34-189-2
Cmp-Att-Yd-TD-INT,17-40-240-1-1,14-25-154-1-3
Sacked-Yards,2-14,3-25
Net Pass Yards,226,129
Total Yards,331,318
Fumbles-Lost,4-2,1-1
Turnovers,3,4
Penalties-Yards,4-27,4-25
Third Down Conv.,8-17,6-12
Fourth Down Conv.,0-1,0-0
Time of Possession,29:15,30:45
