Quarter,Time,Down,ToGo,Location,ATL,CLE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Falcons won the coin toss, Falcons to receive the opening kickoff.",,
1,15:00,,,CLE 30,0,0,"Phil Dawson kicks off 54 yards, returned by Allen Rossum for 17 yards (tackle by Lewis Sanders)",0.000,1.140
1,14:54,1,10,ATL 33,0,0,Warrick Dunn left guard for 5 yards (tackle by Darren Hambrick),1.140,1.270
1,14:20,2,5,ATL 38,0,0,Warrick Dunn left guard for -2 yards (tackle by Earl Little and Orpheus Roye),1.270,0.300
1,13:38,3,7,ATL 36,0,0,Michael Vick pass incomplete intended for Trevor Gaylor,0.300,-0.980
1,13:33,4,7,ATL 36,0,0,Chris Mohr punts 39 yards,-0.980,-0.610
1,13:21,1,10,CLE 25,0,0,Tim Couch pass complete to Steve Heiden for 7 yards (tackle by Keith Brooking),0.610,1.010
1,12:46,2,3,CLE 32,0,0,William Green right guard for 2 yards (tackle by Chris Draft),1.010,0.560
1,12:07,3,1,CLE 34,0,0,Dennis Northcutt left end for 5 yards (tackle by Keith Brooking),0.560,1.530
1,11:45,1,10,CLE 39,0,0,Tim Couch pass incomplete intended for William Green,1.530,0.990
1,11:40,2,10,CLE 39,0,0,William Green right tackle for 12 yards (tackle by Gerald McBurrows and Keith Brooking),0.990,2.320
1,11:12,1,10,ATL 49,0,0,Tim Couch pass complete to Quincy Morgan for 8 yards (tackle by Ray Buchanan),2.320,2.860
1,10:34,2,2,ATL 41,0,0,William Green left end for -4 yards (tackle by Matt Stewart and Keith Brooking),2.860,1.620
1,9:49,3,6,ATL 45,0,0,Tim Couch pass complete to Dennis Northcutt for 22 yards (tackle by Patrick Kerney and Brady Smith),1.620,4.040
1,9:22,1,10,ATL 23,0,0,William Green right guard for -1 yards. Penalty on Quincy Morgan: Illegal Motion (Declined),4.040,3.360
1,9:00,2,11,ATL 24,0,0,Tim Couch pass incomplete intended for Dennis Northcutt (defended by Ray Buchanan),3.360,2.680
1,8:56,3,11,ATL 24,0,0,Tim Couch pass complete to Jamel White for 2 yards (tackle by Patrick Kerney and Travis Hall),2.680,1.990
1,8:24,4,9,ATL 22,0,3,Phil Dawson 40 yard field goal good,1.990,3.000
1,8:24,,,CLE 30,0,3,"Phil Dawson kicks off 62 yards, returned by Allen Rossum for 22 yards (tackle by Andra Davis). Penalty on James Jackson: Offside on Free Kick, 5 yards (no play)",0.000,0.000
1,8:24,,,CLE 25,0,3,"Phil Dawson kicks off 60 yards, returned by Allen Rossum for 15 yards (tackle by Michael Jameson). Allen Rossum fumbles, recovered by Lewis Sanders at ATL-30",0.000,-3.580
1,7:56,1,10,ATL 30,0,3,William Green left guard for 4 yards (tackle by Chris Draft),3.580,3.570
1,7:24,2,6,ATL 26,0,3,Tim Couch pass incomplete intended for Kevin Johnson is intercepted by Keith Brooking at ATL-12 and returned for 2 yards,3.570,0.280
1,7:13,1,10,ATL 14,0,3,Michael Vick pass complete to Reggie Kelly for 9 yards (tackle by Earl Holmes and Robert Griffith),-0.280,0.550
1,6:35,2,1,ATL 23,0,3,Michael Vick pass incomplete intended for Brian Finneran (defended by Corey Fuller),0.550,-0.320
1,6:25,3,1,ATL 23,0,3,Warrick Dunn right guard for 9 yards (tackle by Earl Little),-0.320,1.070
1,5:49,1,10,ATL 32,0,3,Warrick Dunn right tackle for 9 yards (tackle by Darren Hambrick),1.070,1.740
1,5:12,2,1,ATL 41,0,3,Warrick Dunn right guard for 3 yards (tackle by Earl Holmes and Dwayne Rudd),1.740,1.860
1,4:34,1,10,ATL 44,0,3,Michael Vick pass incomplete intended for Alge Crumpler is intercepted by Robert Griffith at CLE-34,1.860,-1.200
1,4:25,1,10,CLE 34,0,3,William Green right tackle for 5 yards (tackle by Matt Stewart and Travis Hall),1.200,1.330
1,3:49,2,5,CLE 39,0,3,William Green middle for 13 yards (tackle by Keion Carpenter),1.330,2.390
1,3:14,1,10,ATL 48,0,3,Tim Couch pass complete to William Green for -2 yards (tackle by Chris Draft),2.390,1.580
1,2:33,2,12,,0,3,"Penalty on Quincy Morgan: False Start, 5 yards (no play)",1.580,0.900
1,2:14,2,17,CLE 45,0,3,Tim Couch pass complete to Andre' Davis for 22 yards (tackle by Keith Brooking),0.900,3.380
1,1:34,1,10,ATL 33,0,3,William Green left tackle for 3 yards (tackle by Matt Stewart and Patrick Kerney),3.380,3.240
1,0:54,2,7,ATL 30,0,3,William Green right tackle for no gain (tackle by Matt Stewart and Ray Buchanan),3.240,2.540
1,0:14,3,7,ATL 30,0,3,"Tim Couch pass complete to Kevin Johnson for 9 yards. Penalty on Quincy Morgan: Illegal Block Above the Waist, 10 yards",2.540,2.410
Quarter,Time,Down,ToGo,Location,ATL,CLE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,8,ATL 31,0,3,"Tim Couch pass incomplete intended for Quincy Morgan. Penalty on Juran Bolden: Defensive Pass Interference, 2 yards (no play)",2.410,3.640
2,15:00,1,10,ATL 29,0,3,Tim Couch pass incomplete intended for William Green,3.640,3.100
2,14:50,2,10,ATL 29,0,3,William Green left tackle for no gain (tackle by Brady Smith),3.100,2.410
2,14:10,3,10,ATL 29,0,3,Dennis Northcutt left guard for 5 yards (tackle by Brady Smith and Ed Jasper),2.410,1.920
2,14:10,4,5,ATL 24,0,3,"Penalty on Andre' Davis: False Start, 5 yards (no play)",1.920,1.500
2,14:10,4,10,ATL 29,0,3,Phil Dawson punts 20 yards,1.500,0.380
2,13:15,1,10,ATL 9,0,3,Michael Vick pass incomplete intended for Trevor Gaylor,-0.380,-0.780
2,13:10,2,10,ATL 9,0,3,Michael Vick for 8 yards (tackle by Darren Hambrick),-0.780,-0.480
2,12:27,3,2,ATL 17,0,3,Michael Vick pass incomplete intended for Brian Finneran,-0.480,-2.320
,,,,,,,"ATL challenged the ruling, and the play was upheld.",,
2,12:17,4,2,ATL 17,0,3,"Chris Mohr punts 44 yards, returned by Dennis Northcutt for 8 yards (tackle by George Layne)",-2.320,-2.060
2,12:04,1,10,CLE 47,0,3,William Green right guard for 21 yards (tackle by Keion Carpenter),2.060,3.450
2,11:27,1,10,ATL 32,0,3,William Green middle for 4 yards (tackle by Ashley Ambrose),3.450,3.440
