Quarter,Time,Tm,Detail,ATL,NOR
1.0,8:29,Saints,Reggie Bush 5 yard pass from Drew Brees (Garrett Hartley kick),0,7
2.0,12:05,Saints,Garrett Hartley 26 yard field goal,0,10
,9:55,Falcons,Michael Turner 5 yard rush (Jason Elam kick),7,10
,6:10,Saints,Garrett Hartley 46 yard field goal,7,13
,2:13,Falcons,Brian Finneran 2 yard pass from Matt Ryan (Jason Elam kick),14,13
,0:00,Saints,Garrett Hartley 25 yard field goal,14,16
3.0,3:06,Falcons,Jason Elam 23 yard field goal,17,16
4.0,12:55,Saints,Pierre Thomas 7 yard pass from Drew Brees (run failed),17,22
,7:51,Falcons,Matt Ryan 12 yard rush (Michael Jenkins pass from Matt Ryan),25,22
,5:47,Saints,Pierre Thomas 5 yard rush (Garrett Hartley kick),25,29
