Quarter,Time,Down,ToGo,Location,ATL,NOR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Saints won the coin toss, Saints to receive the opening kickoff.",,
1,15:00,,,ATL 30,0,0,"Michael Koenen kicks off 63 yards, returned by Courtney Roby for 20 yards (tackle by Ovie Mughelli)",0.000,0.740
1,14:56,1,10,NOR 27,0,0,Pierre Thomas right tackle for 7 yards (tackle by Keith Brooking),0.740,1.140
1,14:20,2,3,NOR 34,0,0,Pierre Thomas right tackle for 2 yards (tackle by Jonathan Babineaux),1.140,0.700
1,13:42,3,1,NOR 36,0,0,Pierre Thomas right guard for -1 yards (tackle by Jonathan Babineaux and Keith Brooking),0.700,-1.040
1,13:07,4,2,NOR 35,0,0,"Glenn Pakulak punts 45 yards, returned by Harry Douglas for 2 yards (tackle by Usama Young)",-1.040,-0.410
1,12:57,1,10,ATL 22,0,0,Matt Ryan pass incomplete short left intended for Michael Turner,0.410,-0.130
1,12:52,2,10,ATL 22,0,0,Michael Turner left tackle for 26 yards (tackle by Scott Shanle),-0.130,2.130
1,12:23,1,10,ATL 48,0,0,Matt Ryan pass complete short right to Michael Jenkins for 14 yards (tackle by Roman Harper),2.130,3.050
1,12:00,1,10,NOR 38,0,0,Michael Turner right guard for 9 yards (tackle by Scott Fujita),3.050,3.720
1,11:22,2,1,NOR 29,0,0,Ovie Mughelli right guard for 2 yards (tackle by Will Smith and Jonathan Vilma),3.720,3.780
1,10:44,1,10,NOR 27,0,0,Michael Turner right end for 1 yard (tackle by Usama Young and Jonathan Vilma),3.780,3.370
1,10:03,2,9,NOR 26,0,0,Matt Ryan pass incomplete short left intended for Roddy White is intercepted by Jason David at NOR-25 and returned for 23 yards (tackle by Roddy White),3.370,-2.130
1,9:56,1,10,NOR 48,0,0,Reggie Bush right guard for 43 yards (tackle by Chris Houston),2.130,5.140
1,9:13,1,9,ATL 9,0,0,Pierre Thomas right guard for 4 yards (tackle by Curtis Lofton),5.140,5.150
1,8:34,2,5,ATL 5,0,6,"Drew Brees pass complete short right to Reggie Bush for 5 yards, touchdown",5.150,7.000
1,,,,ATL 2,0,7,Garrett Hartley kicks extra point good,0.000,0.000
