Quarter,Time,Down,ToGo,Location,CIN,CHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bengals won the coin toss and deferred, Bears to receive the opening kickoff.",,
1,15:00,,,CIN 35,0,0,"Mike Nugent kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,CHI 20,0,0,Jay Cutler pass incomplete short middle intended for Martellus Bennett,0.280,-0.270
1,14:55,2,10,CHI 20,0,0,Matt Forte left tackle for 8 yards (tackle by Leon Hall),-0.270,-0.270
1,14:09,2,10,CHI 20,0,0,Timeout #1 by Chicago Bears,-0.270,0.100
1,14:09,3,2,CHI 28,0,0,Jay Cutler pass incomplete short right intended for Alshon Jeffery,0.100,-1.500
1,14:03,4,2,CHI 28,0,0,"Adam Podlesh punts 49 yards (tackle by Khaseem Greene). Penalty on Cedric Peerman: Illegal Block Above the Waist, 10 yards",-1.500,-0.670
1,13:45,1,10,CIN 26,0,0,Andy Dalton pass complete short right to Tyler Eifert for 3 yards (tackle by James Anderson),0.670,0.540
1,13:07,2,7,CIN 29,0,0,Andy Dalton pass incomplete short right intended for A.J. Green is intercepted by Charles Tillman at CIN-36,0.540,-3.180
1,13:02,1,10,CIN 36,0,0,Matt Forte left tackle for 9 yards (tackle by Vontaze Burfict),3.180,3.850
1,12:35,2,1,CIN 27,0,0,Jay Cutler pass complete short right to Alshon Jeffery for 4 yards (tackle by Terence Newman),3.850,4.040
1,11:59,1,10,CIN 23,0,0,"Jay Cutler pass incomplete short middle intended for Matt Forte. Penalty on Matt Slauson: Ineligible Downfield Pass, 5 yards (no play)",4.040,3.710
1,11:55,1,15,CIN 28,0,0,Matt Forte left guard for -2 yards (tackle by Domata Peko and George Iloka),3.710,2.550
1,11:11,2,17,CIN 30,0,0,Jay Cutler pass incomplete short left intended for Matt Forte (defended by Leon Hall),2.550,1.880
1,11:08,3,17,CIN 30,0,0,Jay Cutler pass complete short middle to Brandon Marshall for 18 yards (tackle by George Iloka),1.880,1.880
1,10:38,3,17,CIN 30,0,0,Timeout #1 by Cincinnati Bengals,1.880,4.780
1,10:38,1,10,CIN 12,0,0,Matt Forte left end for 4 yards (tackle by Leon Hall),4.780,4.830
1,9:59,2,6,CIN 8,0,6,"Jay Cutler pass complete short middle to Martellus Bennett for 8 yards, touchdown",4.830,7.000
,,,,,,,"Replay Assistant challenged the ruling, and the play was upheld.",,
1,9:59,,,CIN 2,0,7,Robbie Gould kicks extra point good,0.000,0.000
1,9:59,,,CHI 35,0,7,"Robbie Gould kicks off 65 yards, touchback",0.000,-0.280
1,9:52,1,10,CIN 20,0,7,BenJarvus Green-Ellis left end for 1 yard (tackle by Stephen Paea),0.280,-0.130
1,9:16,2,9,CIN 21,0,7,BenJarvus Green-Ellis right guard for 4 yards (tackle by Lance Briggs and Corey Wootton),-0.130,-0.300
1,8:40,3,5,CIN 25,0,7,Andy Dalton pass incomplete short left intended for Mohamed Sanu (defended by James Anderson),-0.300,-1.700
1,8:37,4,5,CIN 25,0,7,"Kevin Huber punts 53 yards, returned by Devin Hester for 3 yards (tackle by Jeromy Miles). Penalty on Shawn Williams: Face Mask (15 Yards), 15 yards",-1.700,-1.600
1,8:24,1,10,CHI 40,0,7,Jay Cutler pass complete short left to Brandon Marshall for -4 yards (tackle by Vontaze Burfict),1.600,0.510
1,7:54,2,14,CHI 36,0,7,Jay Cutler pass incomplete short middle intended for Martellus Bennett (defended by Devon Still),0.510,0.510
1,7:50,2,14,CHI 36,0,7,Timeout #2 by Chicago Bears,0.510,-0.160
1,7:50,3,14,CHI 36,0,7,Jay Cutler pass complete short middle to Matt Forte for 10 yards (tackle by Taylor Mays and Vontaze Burfict),-0.160,-0.320
1,7:03,4,4,CHI 46,0,7,Adam Podlesh punts 51 yards,-0.320,0.380
1,6:51,1,10,CIN 3,0,7,BenJarvus Green-Ellis left end for 6 yards (tackle by Major Wright and D.J. Williams),-0.380,-0.340
1,6:30,2,4,CIN 9,0,7,Andy Dalton pass complete short right to Tyler Eifert for 17 yards (tackle by Chris Conte),-0.340,0.670
1,5:59,1,10,CIN 26,0,7,Andy Dalton pass complete short middle to Giovani Bernard for 8 yards (tackle by James Anderson),0.670,1.210
1,5:25,2,2,CIN 34,0,7,Marvin Jones right end for 14 yards (tackle by Charles Tillman),1.210,2.130
1,4:46,1,10,CIN 48,0,7,Giovani Bernard right guard for 6 yards (tackle by Major Wright),2.130,2.390
1,4:09,2,4,CHI 46,0,7,Andy Dalton pass complete deep right to A.J. Green for 42 yards (tackle by Charles Tillman),2.390,6.280
1,3:22,1,4,CHI 4,0,7,BenJarvus Green-Ellis right tackle for 2 yards (tackle by D.J. Williams),6.280,5.720
1,2:42,2,2,CHI 2,0,7,Andy Dalton pass incomplete short left intended for A.J. Green,5.720,4.950
1,2:38,3,2,CHI 2,6,7,"Andy Dalton pass complete short right to A.J. Green for 2 yards, touchdown",4.950,7.000
1,2:38,,,CHI 2,7,7,Mike Nugent kicks extra point good,0.000,0.000
1,2:38,,,CIN 35,7,7,"Mike Nugent kicks off 65 yards, touchback",0.000,-0.280
1,2:34,1,10,CHI 20,7,7,Matt Forte right guard for no gain (tackle by Carlos Dunlap),0.280,-0.270
1,1:54,2,10,CHI 20,7,7,Matt Forte left end for 1 yard (tackle by Rey Maualuga),-0.270,-0.820
1,1:14,3,9,CHI 21,7,7,Jay Cutler pass complete short middle to Brandon Marshall for 13 yards,-0.820,1.200
1,0:27,1,10,CHI 34,7,7,Jay Cutler pass complete short left to Brandon Marshall for 6 yards (tackle by Leon Hall),1.200,1.470
Quarter,Time,Down,ToGo,Location,CIN,CHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,4,CHI 40,7,7,Matt Forte right guard for 5 yards (tackle by Rey Maualuga),1.470,1.930
2,14:18,1,10,CHI 45,7,7,Matt Forte right guard for no gain (tackle by Brandon Thompson),1.930,1.380
2,13:40,2,10,CHI 45,7,7,Jay Cutler pass complete short right to Brandon Marshall for 8 yards (tackle by Terence Newman),1.380,1.750
2,13:13,3,2,CIN 47,7,7,Matt Forte left end for -2 yards (tackle by Leon Hall),1.750,0.000
2,12:44,4,4,CIN 49,7,7,"Adam Podlesh punts 49 yards, touchback",0.000,-0.280
2,12:37,1,10,CIN 20,7,7,"Andy Dalton pass complete short left to A.J. Green for 19 yards (tackle by Tim Jennings). A.J. Green fumbles (forced by Tim Jennings), ball out of bounds at CIN-39",0.280,1.530
2,12:19,1,10,CIN 39,7,7,BenJarvus Green-Ellis right tackle for 4 yards (tackle by Charles Tillman),1.530,1.530
2,11:43,2,6,CIN 43,7,7,Andy Dalton pass complete short right to Jermaine Gresham for 5 yards (tackle by Henry Melton and Tim Jennings),1.530,1.490
2,11:16,3,1,CIN 48,7,7,Andy Dalton left guard for 3 yards (tackle by Stephen Paea),1.490,2.320
2,10:38,1,10,CHI 49,7,7,"Penalty on Kyle Cook: False Start, 5 yards (no play)",2.320,1.990
2,10:10,1,15,CIN 46,7,7,Andy Dalton pass complete short right to Mohamed Sanu for 6 yards (tackle by Tim Jennings),1.990,1.920
2,9:37,2,9,CHI 48,7,7,Andy Dalton pass complete short left to Mohamed Sanu for 8 yards (tackle by Major Wright),1.920,2.280
2,9:08,3,1,CHI 40,7,7,BenJarvus Green-Ellis right tackle for 2 yards (tackle by Nate Collins and Major Wright),2.280,3.050
2,8:28,1,10,CHI 38,7,7,Andy Dalton pass incomplete deep middle intended for A.J. Green is intercepted by Charles Tillman at CHI-17 and returned for 41 yards (tackle by Tyler Eifert),3.050,-2.790
2,8:11,1,10,CIN 42,7,7,Matt Forte right guard for 3 yards (tackle by Michael Johnson),2.790,2.650
2,7:48,2,7,CIN 39,7,7,Matt Forte left tackle for 1 yard (tackle by Rey Maualuga),2.650,2.080
2,7:13,3,6,CIN 38,7,7,Jay Cutler pass incomplete short middle intended for Matt Forte,2.080,0.720
2,7:09,4,6,CIN 38,7,7,"Adam Podlesh punts 29 yards, fair catch by Brandon Tate",0.720,0.380
2,7:02,1,10,CIN 9,7,7,BenJarvus Green-Ellis left guard for 3 yards (tackle by Stephen Paea and Shea McClellin),-0.380,-0.560
2,6:29,2,7,CIN 12,7,7,Andy Dalton pass complete short middle to Mohamed Sanu for -3 yards (tackle by Shea McClellin and James Anderson),-0.560,-1.420
2,5:49,3,10,CIN 9,7,7,Andy Dalton pass complete deep left to A.J. Green for 21 yards (tackle by Major Wright),-1.420,0.940
2,5:24,1,10,CIN 30,7,7,Giovani Bernard left guard for 7 yards (tackle by Shea McClellin),0.940,1.340
2,4:53,2,3,CIN 37,7,7,Giovani Bernard left tackle for 2 yards (tackle by Lance Briggs),1.340,0.890
2,4:17,3,1,CIN 39,7,7,Andy Dalton pass complete short right to Jermaine Gresham for 2 yards (tackle by Tim Jennings),0.890,1.660
2,3:34,1,10,CIN 41,7,7,Andy Dalton pass complete short middle to Tyler Eifert for 14 yards (tackle by Lance Briggs),1.660,2.590
2,3:01,1,10,CHI 45,13,7,"Andy Dalton pass complete deep right to A.J. Green for 45 yards, touchdown",2.590,7.000
2,3:01,,,CHI 2,14,7,Mike Nugent kicks extra point good,0.000,0.000
2,3:01,,,CIN 35,14,7,"Mike Nugent kicks off 65 yards, returned by Devin Hester for 31 yards (tackle by Reggie Nelson)",0.000,-1.000
2,2:47,1,10,CHI 31,14,7,Jay Cutler pass incomplete short middle intended for Brandon Marshall,1.000,0.460
2,2:43,2,10,CHI 31,14,7,Jay Cutler pass complete short left to Alshon Jeffery for 3 yards (tackle by Rey Maualuga),0.460,0.170
2,2:00,3,7,CHI 34,14,7,Jay Cutler pass incomplete short right intended for Alshon Jeffery (defended by Carlos Dunlap),0.170,-1.110
2,1:55,4,7,CHI 34,14,7,Adam Podlesh punts 54 yards,-1.110,0.350
2,1:43,1,10,CIN 12,14,7,BenJarvus Green-Ellis left end for -4 yards (tackle by Lance Briggs),-0.350,-1.070
2,0:59,2,14,CIN 8,14,7,Andy Dalton pass incomplete short right intended for A.J. Green (defended by Lance Briggs),-1.070,-1.890
2,0:56,3,14,CIN 8,14,7,Giovani Bernard left guard for 7 yards (tackle by Lance Briggs),-1.890,-1.890
2,0:50,3,14,CIN 8,14,7,Timeout #3 by Chicago Bears,-1.890,-2.440
2,0:49,4,7,CIN 15,14,7,"Kevin Huber punts 44 yards, out of bounds. Penalty on Dre Kirkpatrick: Unnecessary Roughness, 15 yards",-2.440,-2.650
2,0:42,1,10,CIN 44,14,7,Jay Cutler pass complete short middle to Matt Forte for 4 yards (tackle by Taylor Mays),2.650,2.650
2,0:26,2,6,CIN 40,14,7,Jay Cutler spiked the ball,2.650,1.950
2,0:17,3,6,CIN 40,14,7,Jay Cutler pass incomplete short right intended for Brandon Marshall (defended by Leon Hall),1.950,0.590
2,0:13,4,6,CIN 40,14,10,Robbie Gould 58 yard field goal good,0.590,3.000
2,0:13,,,CHI 35,14,10,"Robbie Gould kicks off 65 yards, touchback",0.000,-0.280
2,0:11,1,10,CIN 20,14,10,Andy Dalton kneels for -1 yards,0.280,-0.460
Quarter,Time,Down,ToGo,Location,CIN,CHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CHI 35,14,10,"Robbie Gould kicks off no gain, touchback",0.000,0.280
3,15:00,1,10,CIN 20,14,10,BenJarvus Green-Ellis right guard for 10 yards (tackle by Tim Jennings),0.280,0.940
3,14:27,1,10,CIN 30,14,10,Andy Dalton pass complete short right to Jermaine Gresham for 12 yards (tackle by Charles Tillman and Major Wright),0.940,1.730
3,13:44,1,10,CIN 42,14,10,BenJarvus Green-Ellis right tackle for -2 yards (tackle by Isaiah Frey and Stephen Paea),1.730,0.920
3,13:10,2,12,CIN 40,14,10,Andy Dalton pass complete short middle to BenJarvus Green-Ellis for 4 yards (tackle by Isaiah Frey),0.920,0.760
3,12:29,3,8,CIN 44,14,10,Andy Dalton pass complete short right to Jermaine Gresham for 11 yards (tackle by Isaiah Frey),0.760,2.590
3,11:52,1,10,CHI 45,14,10,"Andy Dalton pass complete short left to Giovani Bernard for 8 yards (tackle by Charles Tillman). Penalty on Andre Smith: Offensive Holding, 10 yards (no play)",2.590,1.930
3,11:20,1,20,CIN 45,14,10,Andy Dalton pass complete short left to A.J. Green for 3 yards (tackle by Charles Tillman),1.930,1.100
3,10:38,2,17,CIN 48,14,10,Andy Dalton pass complete short left to Marvin Jones for 7 yards (tackle by Tim Jennings),1.100,1.360
3,10:10,3,10,CHI 45,14,10,Andy Dalton pass complete short right to A.J. Green for 13 yards (tackle by Charles Tillman),1.360,3.450
3,9:24,1,10,CHI 32,14,10,BenJarvus Green-Ellis left end for -3 yards (tackle by Corey Wootton and Stephen Paea),3.450,2.500
3,8:46,2,13,CHI 35,14,10,Andy Dalton pass incomplete short left intended for Giovani Bernard,2.500,1.820
3,8:40,3,13,CHI 35,14,10,"Andy Dalton pass incomplete deep right intended for A.J. Green. Penalty on Charles Tillman: Defensive Pass Interference, 34 yards (no play)",1.820,6.970
3,8:34,1,1,CHI 1,14,10,BenJarvus Green-Ellis left end for -4 yards (tackle by Lance Briggs and Charles Tillman),6.970,5.150
3,7:56,2,5,CHI 5,20,10,"BenJarvus Green-Ellis left guard for 5 yards, touchdown",5.150,7.000
3,7:56,,,CHI 2,21,10,Mike Nugent kicks extra point good,0.000,0.000
3,7:56,,,CIN 35,21,10,"Mike Nugent kicks off 65 yards, touchback",0.000,-0.280
3,7:52,1,10,CHI 20,21,10,Jay Cutler pass complete short left to Alshon Jeffery for 12 yards (tackle by Leon Hall),0.280,1.070
3,7:14,1,10,CHI 32,21,10,Matt Forte left guard for 3 yards (tackle by Rey Maualuga),1.070,0.930
3,6:35,2,7,CHI 35,21,10,Jay Cutler pass incomplete short left intended for Martellus Bennett,0.930,0.230
3,6:30,3,7,CHI 35,21,10,Jay Cutler pass complete short right to Martellus Bennett for 30 yards (tackle by George Iloka),0.230,0.230
3,6:08,3,7,CHI 35,21,10,Timeout #1 by Cincinnati Bengals,0.230,3.250
3,6:08,1,10,CIN 35,21,10,Matt Forte left guard for 6 yards (tackle by George Iloka),3.250,3.510
