Unnamed: 0,CIN,CHI
First Downs,18,17
Rush-Yds-TDs,21-63-1,28-81-1
Cmp-Att-Yd-TD-INT,26-33-282-2-2,21-33-242-2-1
Sacked-Yards,1-5,0-0
Net Pass Yards,277,242
Total Yards,340,323
Fumbles-Lost,2-1,0-0
Turnovers,3,1
Penalties-Yards,8-84,4-59
Third Down Conv.,7-11,6-14
Fourth Down Conv.,0-0,1-1
Time of Possession,28:30,31:30
