Quarter,Time,Down,ToGo,Location,SDG,ARI,Detail,EPB,EPA
2,12:08,1,10,ARI 41,7,7,David Boston left end for 7 yards (tackle by Rogers Beckett),1.660,2.070
2,11:35,2,3,ARI 48,7,7,Thomas Jones middle for 2 yards (tackle by Leonardo Carson and Junior Seau),2.070,1.620
2,10:51,3,1,,7,7,"Thomas Jones right tackle for 7 yards (tackle by Ben Leber). Thomas Jones fumbles (forced by Ben Leber), recovered by Ryan McNeil at SDG-38 (tackle by Thomas Jones)",1.620,-1.470
2,10:44,1,10,SDG 38,7,7,LaDainian Tomlinson right end for 1 yard (tackle by Renaldo Hill),1.470,1.060
2,10:04,2,9,SDG 39,7,7,Drew Brees pass complete to LaDainian Tomlinson for 9 yards (tackle by Ronald McKinnon and Barron Tanner),1.060,2.130
2,9:24,1,10,SDG 48,7,7,Drew Brees pass complete to Curtis Conway for 15 yards (tackle by Kwamie Lassiter),2.130,3.120
2,8:45,1,10,ARI 37,7,7,LaDainian Tomlinson middle for 9 yards (tackle by Adrian Wilson),3.120,3.790
2,8:08,2,1,ARI 28,7,7,LaDainian Tomlinson right guard for 2 yards (tackle by Ronald McKinnon),3.790,3.840
2,7:22,1,10,ARI 26,7,7,Drew Brees pass complete to Terrell Fletcher for 4 yards (tackle by Rob Fredrickson),3.840,3.840
2,6:41,2,6,ARI 22,7,7,Drew Brees pass incomplete intended for Stephen Alexander,3.840,3.140
,,,,,,,"SDG challenged the ruling, and the play was upheld.",,
2,6:34,3,6,ARI 22,7,7,Drew Brees pass complete to Stephen Alexander for 19 yards (tackle by LeVar Woods and Kwamie Lassiter),3.140,6.510
2,6:05,1,3,ARI 3,7,7,LaDainian Tomlinson left tackle for 1 yard (tackle by Ronald McKinnon),6.510,5.720
2,5:08,2,2,ARI 2,13,7,"LaDainian Tomlinson right guard for 2 yards, touchdown",5.720,7.000
2,5:08,,,ARI 2,14,7,Steve Christie kicks extra point good,0.000,0.000
2,5:08,,,SDG 30,14,7,"Wade Richey kicks off 70 yards, touchback",0.000,0.280
2,5:03,1,10,ARI 20,14,7,Jake Plummer pass complete to Freddie Jones for 8 yards (tackle by Junior Seau),0.280,0.810
2,4:23,2,2,ARI 28,14,7,Thomas Jones middle for -2 yards (tackle by Adrian Dingle and Raylee Johnson),0.810,-0.160
2,3:43,3,4,ARI 26,14,7,"Jake Plummer pass complete to Freddie Jones for 12 yards (tackle by Vernon Fox). Penalty on Leonardo Carson: Roughing the Passer, 15 yards",-0.160,2.460
2,3:17,1,10,SDG 47,14,7,Jake Plummer pass complete to Steve Bush for 13 yards (tackle by Ryan McNeil),2.460,3.310
2,2:34,1,10,SDG 34,14,7,Thomas Jones right tackle for 2 yards (tackle by Donnie Edwards and Junior Seau),3.310,3.040
2,2:00,2,8,SDG 32,14,7,Jake Plummer pass incomplete intended for David Boston (defended by Ryan McNeil),3.040,2.350
2,1:53,3,8,SDG 32,14,7,Jake Plummer sacked by Marcellus Wiley for -8 yards,2.350,0.590
2,1:14,3,8,SDG 32,,,Timeout #2 by Los Angeles Chargers,2.350,0.590
2,1:14,4,16,SDG 40,14,7,"Scott Player punts 40 yards, touchback",0.590,-0.280
2,1:05,1,10,SDG 20,14,7,LaDainian Tomlinson middle for 12 yards (tackle by Kwamie Lassiter and David Barrett),0.280,1.070
2,0:23,1,10,SDG 32,14,7,LaDainian Tomlinson right tackle for 3 yards (tackle by Fred Wakefield),1.070,0.930
Quarter,Time,Down,ToGo,Location,SDG,ARI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,1,10,SDG 32,14,7,--,1.070,0.000
3,15:00,,,SDG 30,14,7,"Wade Richey kicks off 70 yards, touchback",0.000,0.280
3,14:58,1,10,ARI 20,14,7,Jake Plummer pass incomplete intended for Thomas Jones,0.280,-0.270
3,14:54,2,10,ARI 20,14,7,Jake Plummer pass incomplete intended for MarTay Jenkins,-0.270,-0.960
3,14:50,3,10,ARI 20,14,7,Jake Plummer pass incomplete intended for Frank Sanders,-0.960,-2.030
3,14:46,4,10,ARI 20,14,7,"Scott Player punts 56 yards, returned by Tamarick Vanover for 6 yards (tackle by Joel Makovicka)",-2.030,-0.940
3,14:32,1,10,SDG 30,14,7,LaDainian Tomlinson left guard for 4 yards (tackle by Rob Fredrickson),0.940,0.930
3,13:54,2,6,SDG 34,14,7,LaDainian Tomlinson middle for 17 yards (tackle by Adrian Wilson),0.930,2.320
3,13:29,1,10,ARI 49,14,7,LaDainian Tomlinson middle for 2 yards (tackle by Barron Tanner),2.320,2.050
3,12:45,2,8,ARI 47,14,7,Drew Brees pass complete to Stephen Alexander for 14 yards (tackle by Adrian Wilson),2.050,3.380
3,12:21,1,10,ARI 33,14,7,Drew Brees pass complete to LaDainian Tomlinson for -3 yards (tackle by Ronald McKinnon),3.380,2.430
3,11:38,2,13,ARI 36,14,7,Drew Brees pass incomplete intended for Reche Caldwell,2.430,1.750
3,11:33,3,13,ARI 36,14,7,Drew Brees pass incomplete intended for Terrell Fletcher,1.750,0.880
3,11:27,4,13,ARI 36,14,7,"Darren Bennett punts 35 yards, returned by Kwamie Lassiter for 10 yards (tackle by Carlos Polk)",0.880,0.370
3,11:19,1,10,ARI 11,14,7,Thomas Jones right guard for 3 yards (tackle by Junior Seau),-0.370,-0.530
3,10:41,2,7,ARI 14,14,7,Jake Plummer pass incomplete intended for Frank Sanders,-0.530,-1.070
3,10:37,3,7,ARI 14,14,7,Jake Plummer pass complete to David Boston for 19 yards (tackle by Ryan McNeil),-1.070,1.140
3,10:08,1,10,ARI 33,14,7,"Thomas Jones left tackle for 2 yards (tackle by Adrian Dingle). Penalty on Junior Seau: Unnecessary Roughness, 15 yards",1.140,2.260
3,9:39,1,10,,14,7,"Jake Plummer right end for no gain (tackle by Donnie Edwards). Penalty on Leonard Davis: Illegal Block Above the Waist, 10 yards",2.260,1.600
3,9:09,1,20,ARI 40,14,7,Thomas Jones middle for 6 yards (tackle by Junior Seau),1.600,1.170
3,8:32,2,14,ARI 46,14,7,"Thomas Jones left guard for 1 yard (tackle by Alex Molden and Junior Seau). Penalty on Junior Seau: Taunting, 15 yards",1.170,3.050
3,8:05,1,10,SDG 38,14,7,Thomas Jones left end for -3 yards (tackle by Donnie Edwards and Raylee Johnson),3.050,2.100
3,7:20,2,13,SDG 41,14,7,Jake Plummer pass complete to Frank Sanders for 5 yards (tackle by Rogers Beckett),2.100,2.080
3,6:34,3,8,SDG 36,14,7,Jake Plummer sacked by Adrian Dingle for -13 yards,2.080,0.000
3,6:04,4,21,SDG 49,14,7,"Scott Player punts 49 yards, touchback",0.000,-0.280
3,5:54,1,10,SDG 20,14,7,Tim Dwight right end for 2 yards (tackle by Rob Fredrickson and Raynoch Thompson),0.280,0.000
3,5:12,2,8,SDG 22,14,7,Drew Brees pass incomplete intended for Curtis Conway,0.000,-0.690
3,5:06,3,8,SDG 22,14,7,Drew Brees pass complete to LaDainian Tomlinson for 9 yards (tackle by Renaldo Hill),-0.690,1.000
3,4:20,1,10,SDG 31,14,7,Drew Brees pass complete to Curtis Conway for 15 yards (tackle by Renaldo Hill and Raynoch Thompson),1.000,1.990
3,3:33,1,10,SDG 46,14,7,Drew Brees pass complete to LaDainian Tomlinson for 1 yard (tackle by Rob Fredrickson),1.990,1.590
3,2:48,2,9,SDG 47,14,7,LaDainian Tomlinson right guard for 3 yards (tackle by Justin Lucas and Ronald McKinnon),1.590,1.290
3,2:02,3,6,,14,7,Drew Brees pass complete to Curtis Conway for 12 yards (tackle by Coby Rhinehart),1.290,3.050
3,1:31,1,10,ARI 38,14,7,Drew Brees pass incomplete intended for Reche Caldwell,3.050,2.510
3,1:24,2,10,ARI 38,14,7,Drew Brees right end for -3 yards (tackle by Barron Tanner),2.510,1.420
3,0:46,3,13,ARI 41,14,7,Drew Brees pass complete to Curtis Conway for 2 yards (tackle by Renaldo Hill),1.420,0.660
3,0:43,4,11,ARI 39,14,7,"Darren Bennett punts 29 yards, fair catch by Arnold Jackson",0.660,0.380
3,0:29,1,10,ARI 10,14,7,Jake Plummer pass complete to Joel Makovicka for 2 yards (tackle by Alex Molden and Jamal Williams),-0.380,-0.630
Quarter,Time,Down,ToGo,Location,SDG,ARI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,8,ARI 12,14,7,Jake Plummer pass incomplete intended for Steve Bush,-0.630,-1.190
4,14:56,3,8,ARI 12,14,7,Jake Plummer pass incomplete intended for MarTay Jenkins,-1.190,-2.490
4,14:50,4,8,ARI 12,16,7,"Scott Player punts, blocked by Carlos Polk, safety",-2.490,-2.000
4,14:50,4,8,ARI 12,16,7,--,-2.490,0.000
4,14:50,,,ARI 20,16,7,"Scott Player kicks off 68 yards, returned by Ronney Jenkins for 16 yards (tackle by Coby Rhinehart)",0.000,0.810
4,14:39,1,10,SDG 28,16,7,LaDainian Tomlinson right guard for -1 yards (tackle by Marcus Bell and Wendell Bryant),0.810,0.130
4,14:03,2,11,SDG 27,16,7,Drew Brees pass complete to Curtis Conway for 18 yards (tackle by Renaldo Hill and Kwamie Lassiter),0.130,1.930
4,13:23,1,10,SDG 45,16,7,LaDainian Tomlinson middle for 4 yards (tackle by Wendell Bryant and Adrian Wilson),1.930,1.920
4,12:42,2,6,SDG 49,16,7,Drew Brees pass incomplete intended for Tim Dwight,1.920,1.220
4,12:36,3,6,SDG 49,16,7,Drew Brees pass incomplete intended for Curtis Conway (defended by Coby Rhinehart),1.220,-0.130
4,12:32,4,6,SDG 49,16,7,"Darren Bennett punts 38 yards, fair catch by Arnold Jackson",-0.130,0.320
4,12:24,1,10,ARI 13,16,7,Jake Plummer pass incomplete intended for David Boston (defended by Alex Molden),-0.320,-0.770
,,,,,,,"ARI challenged the ruling, and the original play was overturned.",,
4,12:14,2,10,ARI 13,16,7,Jake Plummer pass complete to Frank Sanders for 6 yards (tackle by Jason Fisk and Jamal Williams),-0.770,-0.710
4,11:29,3,4,ARI 19,22,7,"Jake Plummer pass incomplete intended for Freddie Jones is intercepted by Donnie Edwards at ARI-20 and returned for 20 yards, touchdown",-0.710,-7.000
4,11:23,,,ARI 19,23,7,Steve Christie kicks extra point good,0.000,0.000
4,11:23,,,SDG 30,23,7,"Wade Richey kicks off 70 yards, touchback",0.000,0.280
4,11:23,1,10,ARI 20,23,7,Jake Plummer pass complete to David Boston for 24 yards (tackle by Rogers Beckett),0.280,1.860
4,10:41,1,10,ARI 44,23,7,"Thomas Jones left guard for 14 yards (tackle by Rogers Beckett). Penalty on Quentin Jammer: Illegal Use of Hands, 5 yards",1.860,3.120
4,10:09,1,10,SDG 37,23,7,Jake Plummer pass complete to Freddie Jones for 6 yards (tackle by Donnie Edwards),3.120,3.380
4,9:42,2,4,SDG 31,23,7,Jake Plummer pass incomplete intended for Freddie Jones,3.380,2.680
4,9:37,3,4,SDG 31,23,13,"Jake Plummer pass complete to Marcel Shipp for 31 yards, touchdown",2.680,7.000
4,9:37,3,,SDG 31,23,15,"Two Point Attempt: Jake Plummer pass complete to Frank Sanders, conversion succeeds",1.000,1.000
4,9:37,,,ARI 30,23,15,"Bill Gramatica kicks off 64 yards, returned by Tamarick Vanover for 27 yards (tackle by Kwamie Lassiter)",0.000,1.140
4,9:25,1,10,SDG 33,23,15,LaDainian Tomlinson right end for 1 yard (tackle by Adrian Wilson and Renaldo Hill),1.140,0.730
4,8:46,2,9,SDG 34,23,15,Drew Brees pass incomplete intended for Curtis Conway (defended by Renaldo Hill),0.730,0.040
4,8:41,3,9,SDG 34,23,15,"Drew Brees pass incomplete intended for Tamarick Vanover. Penalty on Russell Davis: Roughing the Passer, 15 yards (no play)",0.040,2.190
4,8:37,1,10,SDG 49,23,15,LaDainian Tomlinson right guard for 4 yards (tackle by Raynoch Thompson and Marcus Bell),2.190,2.190
4,7:55,2,6,ARI 47,23,15,"LaDainian Tomlinson left end for 9 yards (tackle by Adrian Wilson). Penalty on Curtis Conway: Offensive Holding, 10 yards",2.190,2.050
4,7:55,2,7,ARI 48,23,15,Terrell Fletcher middle for 1 yard (tackle by Fred Wakefield and Barron Tanner),2.050,1.490
4,7:55,3,6,ARI 47,23,15,Drew Brees pass complete to Curtis Conway for 9 yards (tackle by Adrian Wilson),1.490,3.050
4,7:55,1,10,ARI 38,23,15,LaDainian Tomlinson left tackle for 3 yards (tackle by Ronald McKinnon),3.050,2.910
4,7:55,2,7,ARI 35,23,15,LaDainian Tomlinson right guard for 2 yards (tackle by Marcus Bell and Dennis Johnson),2.910,2.480
4,5:05,2,7,ARI 35,,,Timeout #1 by Arizona Cardinals,2.910,2.480
4,5:05,3,5,ARI 33,23,15,Drew Brees pass incomplete intended for Curtis Conway is intercepted by Justin Lucas at ARI-31 and returned for 7 yards,2.480,-1.470
4,4:59,1,10,ARI 38,23,15,Jake Plummer right end for 5 yards (tackle by Leonardo Carson),1.470,1.600
4,4:50,2,5,ARI 43,23,15,Jake Plummer middle for 12 yards,1.600,2.590
4,4:05,1,10,SDG 45,23,15,Jake Plummer pass complete to Freddie Jones for 9 yards (tackle by Marcellus Wiley and Rogers Beckett),2.590,3.260
4,3:22,2,1,SDG 36,23,15,Thomas Jones left guard for no gain (tackle by Jamal Williams),3.260,2.540
4,2:43,3,1,SDG 36,23,15,Thomas Jones middle for 27 yards (tackle by Ryan McNeil and Vernon Fox),2.540,5.140
4,2:00,1,9,SDG 9,23,15,Jake Plummer pass incomplete (defended by Leonardo Carson),5.140,4.380
4,1:57,2,9,SDG 9,23,15,Jake Plummer pass incomplete intended for Freddie Jones (defended by Donnie Edwards),4.380,3.360
4,1:49,2,9,SDG 9,,,Timeout #2 by Arizona Cardinals,4.380,3.360
4,1:49,3,9,SDG 9,23,15,Jake Plummer pass incomplete intended for MarTay Jenkins,3.360,2.830
4,1:44,4,9,SDG 9,23,15,Jake Plummer pass incomplete intended for Marcel Shipp,2.830,0.380
4,1:39,4,9,SDG 9,,,Timeout #1 by Los Angeles Chargers,2.830,0.380
4,1:39,1,10,SDG 10,23,15,LaDainian Tomlinson left end for no gain (tackle by Rob Fredrickson),-0.380,-0.780
4,1:34,1,10,SDG 10,,,Timeout #3 by Arizona Cardinals,-0.380,-0.780
4,1:34,2,10,SDG 10,23,15,LaDainian Tomlinson middle for 1 yard (tackle by Rob Fredrickson and Adrian Wilson),-0.780,-1.300
4,1:34,2,10,SDG 10,,,Timeout #4 by Arizona Cardinals,-0.780,-1.300
4,1:34,3,9,SDG 11,23,15,Terrell Fletcher right tackle for 3 yards (tackle by Rob Fredrickson and Ronald McKinnon),-1.300,-2.470
4,0:46,3,9,SDG 11,,,Timeout #2 by Los Angeles Chargers,-1.300,-2.470
4,0:46,4,6,SDG 14,23,15,"Darren Bennett punts 46 yards, returned by Arnold Jackson for 6 yards (tackle by Terrell Fletcher)",-2.470,-1.990
4,0:35,1,10,ARI 46,23,15,Jake Plummer pass incomplete intended for MarTay Jenkins,1.990,1.450
4,0:30,2,10,ARI 46,23,15,Jake Plummer sacked by Raylee Johnson for -8 yards,1.450,-0.300
4,0:06,3,18,ARI 38,23,15,Jake Plummer pass incomplete intended for David Boston,-0.300,-0.850
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
