Unnamed: 0,SEA,DEN
First Downs,17,23
Rush-Yds-TDs,20-109-1,38-65-2
Cmp-Att-Yd-TD-INT,20-35-233-1-3,25-35-307-2-0
Sacked-Yards,1-3,1-3
Net Pass Yards,230,304
Total Yards,339,369
Fumbles-Lost,1-1,1-0
Turnovers,4,0
Penalties-Yards,7-64,3-35
Third Down Conv.,7-11,14-20
Fourth Down Conv.,1-2,0-0
Time of Possession,22:33,37:27
