Quarter,Time,Tm,Detail,SEA,DEN
1.0,3:48,Broncos,Eddie Royal 13 yard pass from Kyle Orton (Matt Prater kick),0,7
2.0,10:30,Broncos,Correll Buckhalter 1 yard rush (Matt Prater kick),0,14
,0:11,Broncos,Matt Prater 20 yard field goal,0,17
3.0,9:47,Seahawks,Ben Obomanu 11 yard pass from Matt Hasselbeck (Olindo Mare kick),7,17
,3:31,Broncos,Knowshon Moreno 1 yard rush (Matt Prater kick),7,24
4.0,9:11,Broncos,Demaryius Thomas 21 yard pass from Kyle Orton (Matt Prater kick),7,31
,5:59,Seahawks,Matt Hasselbeck 20 yard rush (Olindo Mare kick),14,31
