Quarter,Time,Tm,Detail,NYG,SFO
1.0,6:27,Giants,Lawrence Tynes 23 yard field goal,3,0
,0:25,49ers,David Akers 36 yard field goal,3,3
2.0,9:05,Giants,Lawrence Tynes 25 yard field goal,6,3
,5:00,49ers,David Akers 52 yard field goal,6,6
,1:49,49ers,David Akers 39 yard field goal,6,9
3.0,11:14,49ers,David Akers 28 yard field goal,6,12
,2:25,Giants,Mario Manningham 13 yard pass from Eli Manning (Lawrence Tynes kick),13,12
4.0,13:22,49ers,Vernon Davis 31 yard pass from Alex Smith (Michael Crabtree pass from Alex Smith),13,20
,12:21,49ers,Kendall Hunter 17 yard rush (David Akers kick),13,27
,8:37,Giants,Hakeem Nicks 32 yard pass from Eli Manning (Lawrence Tynes kick),20,27
