Quarter,Time,Tm,Detail,DET,NOR
1.0,5:45,Saints,John Kasay 39 yard field goal,0,3
2.0,11:44,Saints,Mark Ingram 14 yard rush (John Kasay kick),0,10
,8:03,Saints,Robert Meachem 67 yard pass from Drew Brees (John Kasay kick),0,17
,2:28,Lions,Kevin Smith 2 yard rush (Jason Hanson kick),7,17
,0:22,Saints,Lance Moore 20 yard pass from Drew Brees (John Kasay kick),7,24
3.0,9:11,Lions,Jason Hanson 31 yard field goal,10,24
,0:43,Lions,Maurice Morris 9 yard pass from Matthew Stafford (Jason Hanson kick),17,24
4.0,9:44,Saints,Darren Sproles 6 yard pass from Drew Brees (John Kasay kick),17,31
