Unnamed: 0,DET,NOR
First Downs,25,21
Rush-Yds-TDs,22-87-1,23-100-1
Cmp-Att-Yd-TD-INT,31-44-408-1-1,26-36-342-3-0
Sacked-Yards,3-29,2-4
Net Pass Yards,379,338
Total Yards,466,438
Fumbles-Lost,0-0,0-0
Turnovers,1,0
Penalties-Yards,11-107,3-30
Third Down Conv.,2-11,6-12
Fourth Down Conv.,0-1,0-1
Time of Possession,35:06,24:54
