Quarter,Time,Tm,Detail,PIT,CIN
1.0,7:39,Bengals,Randy Bullock 23 yard field goal,0,3
,3:42,Steelers,Chris Boswell 45 yard field goal,3,3
,0:00,Bengals,Andy Dalton 1 yard rush (Randy Bullock kick),3,10
2.0,9:02,Bengals,Jeremy Hill 4 yard rush (Randy Bullock kick),3,17
,5:25,Steelers,Chris Boswell 49 yard field goal,6,17
,2:51,Bengals,Randy Bullock 22 yard field goal,6,20
,0:06,Steelers,Chris Boswell 49 yard field goal,9,20
3.0,10:38,Steelers,Chris Boswell 40 yard field goal,12,20
,2:05,Steelers,Chris Boswell 49 yard field goal,15,20
4.0,12:25,Steelers,Chris Boswell 30 yard field goal,18,20
,7:29,Steelers,Eli Rogers 24 yard pass from Ben Roethlisberger (pass failed),24,20
