Quarter,Time,Down,ToGo,Location,PIT,CIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Steelers won the coin toss and deferred, Bengals to receive the opening kickoff.",,
1,15:00,,,PIT 35,0,0,"Chris Boswell kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,CIN 25,0,0,Jeremy Hill right tackle for 2 yards (tackle by James Harrison and Javon Hargrave),0.610,0.330
1,14:19,2,8,CIN 27,0,0,Jeremy Hill right guard for 1 yard (tackle by Stephon Tuitt),0.330,-0.230
1,13:39,3,7,CIN 28,0,0,"Andy Dalton sacked by William Gay for -8 yards. Penalty on Stephon Tuitt: Face Mask (15 Yards), 15 yards (no play)",-0.230,1.800
1,13:18,1,10,CIN 43,0,0,Andy Dalton pass complete short middle to Brandon LaFell for 11 yards (tackle by James Harrison and Lawrence Timmons),1.800,2.520
1,12:48,1,10,PIT 46,0,0,Jeremy Hill left guard for 4 yards (tackle by Mike Mitchell),2.520,2.520
1,12:20,2,6,PIT 42,0,0,Jeremy Hill right tackle for 7 yards (tackle by Sean Davis),2.520,3.250
1,11:43,1,10,PIT 35,0,0,Andy Dalton pass incomplete,3.250,2.700
1,11:37,2,10,PIT 35,0,0,Andy Dalton pass complete deep left to Brandon LaFell for 18 yards (tackle by Artie Burns),2.700,4.440
1,11:11,1,10,PIT 17,0,0,Jeremy Hill right guard for 1 yard (tackle by Mike Mitchell),4.440,4.000
1,10:33,2,9,PIT 16,0,0,Andy Dalton pass complete short left to Jeremy Hill for 8 yards (tackle by Ryan Shazier),4.000,4.800
1,9:50,3,1,PIT 8,0,0,Rex Burkhead right tackle for 1 yard (tackle by Lawrence Timmons),4.800,5.600
1,9:14,1,7,PIT 7,0,0,Jeremy Hill right guard for 1 yard (tackle by Daniel McCullers),5.600,4.950
1,8:31,2,6,PIT 6,0,0,Jeremy Hill left guard for 1 yard (tackle by Ricardo Mathews and Daniel McCullers),4.950,4.260
1,7:46,3,5,PIT 5,0,0,Andy Dalton pass incomplete short right intended for Tyler Eifert,4.260,3.010
1,7:42,4,5,PIT 5,0,3,Randy Bullock 23 yard field goal good,3.010,3.000
1,7:39,,,CIN 35,0,3,"Randy Bullock kicks off 64 yards, returned by Sammie Coates for 44 yards (tackle by Randy Bullock)",0.000,-1.930
1,7:30,1,10,PIT 45,0,3,Ben Roethlisberger pass complete short middle to Le'Veon Bell for 10 yards (tackle by Vincent Rey),1.930,2.590
1,6:49,1,10,CIN 45,0,3,Ben Roethlisberger pass complete short left to Ladarius Green for 6 yards (tackle by Adam Jones),2.590,2.850
1,6:08,2,4,CIN 39,0,3,Ben Roethlisberger pass complete short middle to Antonio Brown for 13 yards (tackle by George Iloka and Vontaze Burfict),2.850,3.840
1,5:21,1,10,CIN 26,0,3,Le'Veon Bell right guard for 1 yard (tackle by Domata Peko and Margus Hunt),3.840,3.430
1,4:36,2,9,CIN 25,0,3,Le'Veon Bell left tackle for -2 yards (tackle by Margus Hunt and Rey Maualuga),3.430,2.480
1,3:50,3,11,CIN 27,0,3,Ben Roethlisberger pass incomplete short right intended for Ladarius Green,2.480,1.670
1,3:47,4,11,CIN 27,3,3,Chris Boswell 45 yard field goal good,1.670,3.000
1,3:42,,,PIT 35,3,3,"Chris Boswell kicks off 60 yards, muffed catch by Alex Erickson, recovered by Alex Erickson at CIN-12, and returned for 24 yards",0.000,-1.330
1,3:34,1,10,CIN 36,3,3,Jeremy Hill right guard for 12 yards (tackle by James Harrison),1.330,2.130
1,3:06,1,10,CIN 48,3,3,Jeremy Hill left guard for 7 yards (tackle by James Harrison and Lawrence Timmons),2.130,2.530
1,2:38,2,3,PIT 45,3,3,Andy Dalton pass incomplete short left intended for Cody Core,2.530,1.820
1,2:35,3,3,PIT 45,3,3,Andy Dalton pass complete short left to Brandon LaFell for 5 yards (tackle by Artie Burns),1.820,2.920
1,2:06,1,10,PIT 40,3,3,"Andy Dalton pass incomplete deep left intended for Brandon LaFell (defended by Mike Mitchell). Penalty on Artie Burns: Defensive Pass Interference, 39 yards (no play)",2.920,6.970
1,1:58,1,1,PIT 1,3,3,Jeremy Hill right guard for no gain (tackle by Lawrence Timmons),6.970,5.910
1,1:28,2,1,PIT 1,3,3,Jeremy Hill right guard for no gain (tackle by Daniel McCullers),5.910,5.170
1,0:45,3,1,PIT 1,3,3,Jeremy Hill right guard for no gain (tackle by Lawrence Timmons),5.170,3.550
,,,,,,,"CIN challenged the runner broke the plane ruling, and the play was upheld.",,
1,0:04,4,1,PIT 1,3,9,"Andy Dalton right guard for 1 yard, touchdown",3.550,7.000
1,0:00,,,PIT 15,3,10,Randy Bullock kicks extra point good,0.000,0.000
Quarter,Time,Down,ToGo,Location,PIT,CIN,Detail,EPB,EPA
