Unnamed: 0,PIT,CIN
First Downs,26,19
Rush-Yds-TDs,29-97-0,28-76-2
Cmp-Att-Yd-TD-INT,21-36-286-1-0,16-27-157-0-1
Sacked-Yards,1-1,1-11
Net Pass Yards,285,146
Total Yards,382,222
Fumbles-Lost,1-0,0-0
Turnovers,0,1
Penalties-Yards,7-104,8-86
Third Down Conv.,5-13,6-12
Fourth Down Conv.,0-0,1-1
Time of Possession,32:32,27:28
