Quarter,Time,Down,ToGo,Location,SEA,CIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bengals won the coin toss and deferred, Seahawks to receive the opening kickoff.",,
1,15:00,,,CIN 35,0,0,"Evan McPherson kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,SEA 25,0,0,Geno Smith pass complete short right to Tyler Lockett for 10 yards (tackle by DJ Turner),0.610,1.270
1,14:29,1,10,SEA 35,0,0,Kenneth Walker right tackle for 9 yards (tackle by DJ Turner),1.270,1.940
1,13:50,2,1,SEA 44,0,0,Zach Charbonnet right tackle for 3 yards (tackle by Nick Scott and B.J. Hill),1.940,2.060
1,13:10,1,10,SEA 47,0,0,Geno Smith pass complete short right to Kenneth Walker for 15 yards (tackle by Cam Taylor-Britt),2.060,3.050
1,12:35,1,10,CIN 38,0,0,Kenneth Walker left end for -3 yards (tackle by Trey Hendrickson),3.050,2.100
1,11:55,2,13,CIN 41,0,0,Geno Smith pass complete short left to Noah Fant for 9 yards (tackle by DJ Turner),2.100,2.610
1,11:16,3,4,CIN 32,0,0,Geno Smith pass complete short left to Jaxon Smith-Njigba for 12 yards (tackle by Germaine Pratt),2.610,4.240
1,10:34,1,10,CIN 20,0,0,Geno Smith pass complete short right to Tyler Lockett for 5 yards (tackle by Cam Taylor-Britt),4.240,4.450
1,9:54,2,5,CIN 15,0,0,Kenneth Walker right guard for 6 yards (tackle by Cam Taylor-Britt),4.450,5.140
1,9:11,1,9,CIN 9,0,0,Kenneth Walker left tackle for 6 yards (tackle by Zachary Carter and Daxton Hill),5.140,5.530
1,8:43,2,3,CIN 3,0,0,"Geno Smith pass incomplete short middle intended for Tyler Lockett. Penalty on Nick Scott: Defensive Pass Interference, 2 yards (accepted) (no play)",5.530,6.970
1,8:40,1,1,CIN 1,6,0,"Kenneth Walker up the middle for 1 yard, touchdown",6.970,7.000
1,8:38,,,CIN 15,7,0,Jason Myers kicks extra point good,0.000,0.000
1,8:38,,,SEA 35,7,0,"Jason Myers kicks off 61 yards, returned by Trayveon Williams for 27 yards (tackle by Julian Love)",0.000,1.000
1,8:32,1,10,CIN 31,7,0,Joe Mixon left guard for 4 yards (tackle by Jamal Adams),1.000,1.000
1,7:58,2,6,CIN 35,7,0,Joe Burrow pass incomplete short right intended for Ja'Marr Chase (defended by Devon Witherspoon),1.000,0.300
1,7:55,3,6,CIN 35,7,0,Joe Burrow pass complete short right to Joe Mixon for 11 yards (tackle by Tre Brown),0.300,1.990
1,7:23,1,10,CIN 46,7,0,Joe Mixon right end for 3 yards (tackle by Dre'Mont Jones and Jarran Reed),1.990,1.860
1,6:53,2,7,CIN 49,7,0,Joe Burrow pass complete short middle to Irv Smith for 5 yards (tackle by Jordyn Brooks and Bobby Wagner),1.860,1.820
1,6:15,3,2,SEA 46,7,0,Joe Burrow pass incomplete short right intended for Joe Mixon,1.820,0.200
1,6:12,4,2,SEA 46,7,0,"Penalty on Jarran Reed: Neutral Zone Infraction, 4 yards (accepted) (no play)",0.200,2.790
1,6:12,1,10,SEA 42,7,0,Joe Burrow pass complete short middle to Tyler Boyd for 9 yards (tackle by Jordyn Brooks),2.790,3.460
1,5:38,2,1,SEA 33,7,0,Joe Burrow pass complete short left to Ja'Marr Chase for 3 yards (tackle by Devon Witherspoon),3.460,3.580
1,5:01,1,10,SEA 30,7,0,Joe Burrow pass complete short middle to Trayveon Williams for 5 yards (tackle by Jamal Adams),3.580,3.710
1,4:21,2,5,SEA 25,7,0,Joe Burrow pass complete short left to Tyler Boyd for 5 yards (tackle by Jamal Adams),3.710,4.240
1,3:35,1,10,SEA 20,7,0,Joe Burrow pass complete short right to Tee Higgins for 9 yards (tackle by Quandre Diggs),4.240,5.260
1,3:00,2,1,SEA 11,7,0,Joe Burrow pass complete short left to Ja'Marr Chase for 3 yards (tackle by Quandre Diggs),5.260,5.370
1,2:25,1,8,SEA 8,7,6,"Joe Burrow pass complete short left to Tyler Boyd for 8 yards, touchdown",5.370,7.000
1,2:22,,,SEA 15,7,7,Evan McPherson kicks extra point good,0.000,0.000
1,2:22,,,CIN 35,7,7,"Evan McPherson kicks off 65 yards, touchback.",0.000,0.610
1,2:22,1,10,SEA 25,7,7,Geno Smith pass incomplete deep left intended for D.K. Metcalf (defended by Cam Taylor-Britt),0.610,0.060
1,2:15,2,10,SEA 25,7,7,Kenneth Walker left tackle for 7 yards (tackle by Logan Wilson),0.060,0.300
1,1:35,3,3,SEA 32,7,7,Geno Smith pass complete short middle to DeeJay Dallas for -1 yards (tackle by Logan Wilson),0.300,-1.310
1,0:50,4,4,SEA 31,7,7,"Michael Dickson punts 43 yards, returned by Trenton Irwin for 1 yard (tackle by Jon Rhattigan and DeeJay Dallas)",-1.310,-0.740
1,0:42,1,10,CIN 27,7,7,Joe Mixon left guard for 4 yards (tackle by Mario Edwards and Darrell Taylor),0.740,0.740
1,0:06,2,6,CIN 31,7,7,"Joe Burrow pass complete deep left to Ja'Marr Chase for 31 yards (tackle by Julian Love). Penalty on Mario Edwards: Defensive Offside, 5 yards (declined)",0.740,3.050
Quarter,Time,Down,ToGo,Location,SEA,CIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,SEA 38,7,7,Joe Burrow pass complete short middle to Ja'Marr Chase for 23 yards (tackle by Quandre Diggs and Julian Love),3.050,4.580
2,14:16,1,10,SEA 15,7,7,Joe Mixon up the middle for no gain (tackle by Dre'Mont Jones),4.580,3.950
2,13:38,2,10,SEA 15,7,7,Joe Burrow pass complete short left to Chase Brown for 8 yards (tackle by Bobby Wagner),3.950,4.680
2,13:05,3,2,SEA 7,7,7,Joe Mixon left guard for 4 yards (tackle by Quandre Diggs),4.680,6.510
2,12:27,1,3,SEA 3,7,13,"Joe Burrow pass complete short left to Andrei Iosivas for 3 yards, touchdown. Penalty on Jamal Adams: Defensive Holding, 5 yards (declined)",6.510,7.000
2,12:20,,,SEA 15,7,14,Evan McPherson kicks extra point good,0.000,0.000
2,12:20,,,CIN 35,7,14,"Evan McPherson kicks off 63 yards, returned by DeeJay Dallas for 21 yards (tackle by Tycen Anderson)",0.000,0.480
2,12:14,1,10,SEA 23,7,14,Zach Charbonnet right end for 2 yards (tackle by B.J. Hill),0.480,0.200
2,11:29,2,8,SEA 25,7,14,"Penalty on Phil Haynes: False Start, 5 yards (accepted) (no play)",0.200,-0.470
2,11:11,2,13,SEA 20,7,14,Geno Smith pass complete short middle to Tyler Lockett for 6 yards (tackle by Germaine Pratt),-0.470,-0.360
2,10:27,3,7,SEA 26,7,14,Geno Smith pass complete short middle to Zach Charbonnet for 10 yards (tackle by Logan Wilson),-0.360,1.330
2,9:47,1,10,SEA 36,7,14,Geno Smith pass complete short left to Zach Charbonnet for 4 yards (tackle by Nick Scott and Trey Hendrickson),1.330,1.330
2,9:35,2,6,SEA 40,7,14,"Penalty on D.K. Metcalf: Unnecessary Roughness / Offense, 15 yards (accepted) (no play)",1.330,-0.700
2,9:17,2,21,SEA 25,7,14,Geno Smith pass complete deep right to Tyler Lockett for 32 yards (tackle by Daxton Hill),-0.700,2.720
2,8:40,1,10,CIN 43,7,14,Geno Smith pass incomplete short left,2.720,2.180
2,8:34,2,10,CIN 43,7,14,Kenneth Walker left tackle for -1 yards (tackle by Mike Hilton and Logan Wilson),2.180,1.360
2,7:50,3,11,CIN 44,7,14,Geno Smith sacked by and Logan Wilson for no gain and B.J. Hill for no gain,1.360,0.330
2,7:03,4,11,CIN 44,7,14,Michael Dickson punts 31 yards downed by Will Dissly,0.330,0.320
2,6:52,1,10,CIN 13,7,14,Joe Burrow pass complete short left to Ja'Marr Chase for 7 yards (tackle by Riq Woolen),-0.320,0.220
2,6:22,2,3,CIN 20,7,14,Joe Mixon left guard for 4 yards (tackle by Mario Edwards),0.220,0.540
2,5:38,1,10,CIN 24,7,14,Joe Burrow pass complete short left to Tyler Boyd for 5 yards (tackle by Riq Woolen),0.540,0.670
2,4:58,2,5,CIN 29,7,14,Joe Burrow pass complete short right to Tyler Boyd for 1 yard (tackle by Quandre Diggs),0.670,0.100
2,4:20,3,4,CIN 30,7,14,Joe Burrow pass complete short right to Tyler Boyd for 3 yards (tackle by Quandre Diggs),0.100,-1.180
2,3:40,4,1,CIN 33,7,14,Brad Robbins punts 46 yards downed by Mitchell Wilcox,-1.180,-0.340
2,3:28,1,10,SEA 21,7,14,Geno Smith pass complete short left to Will Dissly for 4 yards (tackle by Germaine Pratt),0.340,0.340
2,2:48,2,6,SEA 25,7,14,Kenneth Walker right guard for 21 yards (tackle by Daxton Hill and Joseph Ossai),0.340,1.990
2,2:14,1,10,SEA 46,7,14,Geno Smith pass complete short left to Jaxon Smith-Njigba for 5 yards (tackle by Cam Taylor-Britt),1.990,2.130
2,2:00,2,5,CIN 49,7,14,Kenneth Walker right guard for 1 yard (tackle by Sam Hubbard and Jordan Battle),2.130,1.550
2,1:30,3,4,CIN 48,7,14,Geno Smith pass complete short middle to D.K. Metcalf for 12 yards (tackle by Jordan Battle),1.550,3.180
2,1:00,1,10,CIN 36,7,14,Geno Smith pass incomplete deep right intended for Tyler Lockett,3.180,2.640
2,0:57,2,10,CIN 36,7,14,Kenneth Walker left tackle for -1 yards (tackle by Trey Hendrickson),2.640,1.820
2,0:52,,,,,,Timeout #1 by Cincinnati Bengals,,
2,0:52,3,11,CIN 37,7,14,Geno Smith pass incomplete deep left intended for D.K. Metcalf (defended by Daxton Hill),1.820,0.790
2,0:48,4,11,CIN 37,10,14,Jason Myers 55 yard field goal good,0.790,3.000
2,0:43,,,SEA 35,10,14,"Jason Myers kicks off 65 yards, touchback.",0.000,0.610
2,0:43,1,10,CIN 25,10,14,Joe Burrow pass incomplete short middle intended for Ja'Marr Chase,0.610,0.060
2,0:40,2,10,CIN 25,10,14,Joe Burrow pass incomplete short left intended for Tee Higgins (defended by Riq Woolen),0.060,-0.620
2,0:37,3,10,CIN 25,10,14,Joe Burrow pass complete short right to Drew Sample for 4 yards (tackle by Devon Witherspoon),-0.620,-1.440
2,0:22,,,,,,Timeout #1 by Seattle Seahawks,,
2,0:22,4,6,CIN 29,10,14,"Brad Robbins punts 55 yards, returned by DeeJay Dallas for 8 yards (tackle by Tycen Anderson)",-1.440,-0.540
2,0:12,1,10,SEA 24,10,14,Geno Smith sacked by Cameron Sample for -9 yards,0.540,-1.350
Quarter,Time,Down,ToGo,Location,SEA,CIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SEA 35,10,14,"Jason Myers kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,CIN 25,10,14,"Joe Burrow pass incomplete short right intended for Tee Higgins. Penalty on Uchenna Nwosu: Defensive Offside, 5 yards (declined) . Penalty on Tre Brown: Defensive Pass Interference, 10 yards (accepted) (no play)",0.610,1.270
3,14:57,1,10,CIN 35,10,14,Joe Mixon up the middle for 5 yards (tackle by Bobby Wagner and Jordyn Brooks),1.270,1.400
3,14:19,2,5,CIN 40,10,14,Joe Burrow pass deep right intended for Ja'Marr Chase is intercepted by Tre Brown at SEA-31 and returned for no gain (tackle by Ja'Marr Chase),1.400,-1.000
3,14:13,1,10,SEA 31,10,14,Geno Smith pass complete short left to Tyler Lockett for 5 yards (tackle by Mike Hilton),1.000,1.140
3,13:38,2,5,SEA 36,10,14,Geno Smith pass complete short left to D.K. Metcalf for 18 yards (tackle by Daxton Hill),1.140,2.520
3,12:59,1,10,CIN 46,10,14,"Kenneth Walker for 2 yards (tackle by D.J. Reader). Penalty on B.J. Hill: Face Mask (15 Yards), 15 yards (accepted)",2.520,3.640
3,12:35,1,10,CIN 29,10,14,Geno Smith scrambles right end for 5 yards (tackle by B.J. Hill),3.640,3.780
3,11:53,2,5,CIN 24,10,14,Kenneth Walker right guard for 2 yards (tackle by D.J. Reader and Sam Hubbard),3.780,3.340
3,11:10,3,3,CIN 22,10,14,"Penalty on Charles Cross: False Start, 5 yards (accepted) (no play)",3.340,2.680
3,10:49,3,8,CIN 27,10,14,Geno Smith pass complete short middle to Jake Bobo for 23 yards (tackle by DJ Turner and Daxton Hill),2.680,6.280
3,10:05,1,4,CIN 4,10,14,Kenneth Walker up the middle for 1 yard (tackle by Logan Wilson),6.280,5.530
3,9:29,2,3,CIN 3,10,14,"Geno Smith pass incomplete short right intended for D.K. Metcalf (defended by Cam Taylor-Britt). Penalty on Kenneth Walker: Offensive Low Block, 15 yards (accepted) (no play)",5.530,3.150
3,9:24,2,18,CIN 18,10,14,Geno Smith pass short right intended for Jaxon Smith-Njigba is intercepted by Mike Hilton at CIN-3 and returned for no gain (tackle by Jaxon Smith-Njigba),3.150,0.380
3,9:19,1,10,CIN 3,10,14,Joe Burrow pass complete short left to Joe Mixon for 8 yards (tackle by Derick Hall),-0.380,-0.200
3,8:43,2,2,CIN 11,10,14,Joe Burrow pass incomplete short middle intended for Ja'Marr Chase (defended by Devon Witherspoon),-0.200,-0.480
3,8:39,3,2,CIN 11,10,14,Joe Burrow pass complete short left to Tee Higgins for 11 yards (tackle by Julian Love),-0.480,0.410
3,8:01,1,10,CIN 22,10,14,Joe Burrow sacked by Jarran Reed for -2 yards,0.410,-0.400
3,7:16,2,12,CIN 20,10,14,Chase Brown right guard for 4 yards (tackle by Quandre Diggs),-0.400,-0.560
3,6:32,3,8,CIN 24,10,14,Joe Burrow sacked by Dre'Mont Jones for -8 yards,-0.560,-2.390
3,5:55,4,16,CIN 16,10,14,"Brad Robbins punts 50 yards, returned by DeeJay Dallas for 23 yards (tackle by Trayveon Williams and Mitchell Wilcox)",-2.390,-2.720
3,5:42,,,,,,Timeout #1 by Seattle Seahawks,,
3,5:42,1,10,CIN 43,10,14,Geno Smith pass complete short left to Kenneth Walker for 8 yards (tackle by Germaine Pratt),2.720,3.260
3,5:09,2,2,CIN 35,10,14,Kenneth Walker up the middle for 4 yards (tackle by Germaine Pratt),3.260,3.510
3,4:22,1,10,CIN 31,10,14,Geno Smith pass incomplete deep right intended for D.K. Metcalf,3.510,2.970
3,4:16,,,,,,Timeout #1 by Cincinnati Bengals,,
3,4:16,2,10,CIN 31,10,14,"Geno Smith pass complete deep right to Jake Bobo for 20 yards (tackle by Daxton Hill). Penalty on Daxton Hill: Unnecessary Roughness / Defense, 6 yards (accepted)",2.970,6.060
