Unnamed: 0,SEA,CIN
First Downs,24,15
Rush-Yds-TDs,25-87-1,15-46-0
Cmp-Att-Yd-TD-INT,27-41-326-0-2,24-35-185-2-1
Sacked-Yards,4-29,3-17
Net Pass Yards,297,168
Total Yards,384,214
Fumbles-Lost,0-0,0-0
Turnovers,2,1
Penalties-Yards,7-64,5-43
Third Down Conv.,5-12,3-11
Fourth Down Conv.,0-2,0-0
Time of Possession,34:01,25:59
