Quarter,Time,Tm,Detail,SEA,CIN
1.0,8:38,Seahawks,Kenneth Walker III 1 yard rush (Jason Myers kick),7,0
,2:22,Bengals,Tyler Boyd 8 yard pass from Joe Burrow (Evan McPherson kick),7,7
2.0,12:20,Bengals,Andrei Iosivas 3 yard pass from Joe Burrow (Evan McPherson kick),7,14
,0:43,Seahawks,Jason Myers 55 yard field goal,10,14
3.0,2:24,Seahawks,Jason Myers 23 yard field goal,13,14
4.0,11:47,Bengals,Evan McPherson 52 yard field goal,13,17
