Unnamed: 0,SFO,ARI
First Downs,22,20
Rush-Yds-TDs,30-227-0,27-120-1
Cmp-Att-Yd-TD-INT,13-22-182-3-0,31-50-247-0-1
Sacked-Yards,3-11,3-17
Net Pass Yards,171,230
Total Yards,398,350
Fumbles-Lost,1-1,2-1
Turnovers,1,2
Penalties-Yards,4-27,4-20
Third Down Conv.,2-9,4-16
Fourth Down Conv.,0-0,4-6
Time of Possession,27:44,32:16
