Quarter,Time,Tm,Detail,SFO,ARI
1.0,10:10,Cardinals,Mike Nugent 27 yard field goal,0,3
,2:44,49ers,Jeff Wilson 21 yard pass from C.J. Beathard (Robbie Gould kick),7,3
2.0,0:35,Cardinals,Mike Nugent 43 yard field goal,7,6
3.0,5:13,49ers,Kyle Juszczyk 9 yard pass from C.J. Beathard (Robbie Gould kick),14,6
4.0,12:08,Cardinals,Kenyan Drake 1 yard rush (pass failed),14,12
,8:36,49ers,Kyle Juszczyk 1 yard pass from C.J. Beathard (Robbie Gould kick failed),20,12
