Quarter,Time,Down,ToGo,Location,BUF,NYJ,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jets won the coin toss, Jets to receive the opening kickoff.",,
1,15:00,,,BUF 30,0,0,"Rian Lindell kicks off 67 yards, returned by LaMont Jordan for 25 yards (tackle by Josh Stamer)",0.000,0.810
1,14:54,1,10,NYJ 28,0,0,Curtis Martin right tackle for 7 yards (tackle by Pierson Prioleau),0.810,1.210
1,13:46,2,3,NYJ 35,0,0,Curtis Martin left end for no gain (tackle by London Fletcher),1.210,0.500
1,13:29,3,3,NYJ 35,0,0,Chad Pennington pass complete to Justin McCareins for 15 yards (tackle by Terrence McGee),0.500,2.260
1,12:49,1,10,NYJ 50,0,0,Chad Pennington pass complete to Curtis Martin for 5 yards (tackle by Terrence McGee),2.260,2.390
1,12:14,2,5,BUF 45,0,0,Curtis Martin right tackle for 3 yards (tackle by Terrence McGee and London Fletcher),2.390,2.080
1,11:34,3,2,BUF 42,0,0,Santana Moss left end for 8 yards (tackle by London Fletcher),2.080,3.310
1,11:03,1,10,BUF 34,0,0,Chad Pennington sacked by Chris Kelsay for -6 yards,3.310,1.960
1,10:30,2,16,BUF 40,0,0,Chad Pennington pass complete to Curtis Martin for no gain,1.960,1.290
1,9:46,3,16,BUF 40,0,0,Chad Pennington pass complete to Santana Moss for 21 yards,1.290,4.310
1,9:12,1,10,BUF 19,0,0,Curtis Martin left end for 1 yard (tackle by London Fletcher and Jeff Posey),4.310,3.880
1,8:29,2,9,BUF 18,0,0,Chad Pennington pass complete to Anthony Becht for 9 yards (tackle by Nate Clements),3.880,5.140
1,7:55,1,9,BUF 9,0,0,Curtis Martin up the middle for -2 yards (tackle by Aaron Schobel),5.140,4.020
1,7:14,2,11,BUF 11,0,0,Chad Pennington pass incomplete intended for Justin McCareins (defended by Aaron Schobel),4.020,3.120
1,7:08,3,11,BUF 11,0,0,"Chad Pennington pass incomplete intended for Santana Moss. Penalty on Kevin Thomas: Defensive Pass Interference (Offsetting), Penalty on Curtis Martin: Offensive Holding (Offsetting) (no play)",3.120,3.120
1,7:02,3,11,BUF 11,0,0,Chad Pennington pass incomplete intended for Santana Moss,3.120,2.700
1,7:02,4,11,BUF 11,0,0,Doug Brien 29 yard field goal no good,2.700,-0.280
1,6:52,1,10,BUF 20,0,0,"Drew Bledsoe pass complete to Daimon Shelton for 3 yards (tackle by Donnie Abraham). Penalty on David Barrett: Illegal Use of Hands, 5 yards (no play)",0.280,0.610
1,6:32,1,10,BUF 25,0,0,Travis Henry right end for 2 yards (tackle by Eric Barton and Donnie Abraham),0.610,0.330
1,6:32,2,8,BUF 27,0,0,Drew Bledsoe pass incomplete intended for Eric Moulds,0.330,-0.360
1,5:41,3,8,BUF 27,0,0,"Penalty on Drew Bledsoe: Delay of Game, 5 yards (no play)",-0.360,-1.020
1,5:41,3,13,BUF 22,0,0,Drew Bledsoe pass complete to Bobby Shaw for 20 yards (tackle by Donnie Abraham),-1.020,1.730
1,4:59,1,10,BUF 42,0,0,"Travis Henry right end for no gain (tackle by John Abraham). Penalty on John Abraham: Defensive Offside, 5 yards (no play)",1.730,2.460
1,4:35,1,5,BUF 47,0,0,Travis Henry left end for 14 yards (tackle by Reggie Tongue and Victor Hobson),2.460,2.980
1,3:53,1,10,NYJ 39,0,0,Drew Bledsoe pass complete to Eric Moulds for no gain,2.980,2.440
1,3:26,2,10,NYJ 39,0,0,Drew Bledsoe pass incomplete intended for Eric Moulds (defended by Donnie Abraham),2.440,1.750
1,3:21,3,10,NYJ 39,0,0,Drew Bledsoe pass complete to Eric Moulds for 10 yards (tackle by David Barrett),1.750,3.640
1,2:34,1,10,NYJ 29,0,0,Travis Henry left tackle for 3 yards (tackle by Jason Ferguson and Jonathan Vilma),3.640,3.510
1,1:53,2,7,NYJ 26,0,0,Drew Bledsoe sacked by John Abraham for -8 yards,3.510,1.750
1,1:15,3,15,NYJ 34,0,0,"Drew Bledsoe pass complete to Willis McGahee for 2 yards (tackle by Shaun Ellis). Penalty on Ross Tucker: Tripping, 10 yards",1.750,0.700
1,0:54,3,23,NYJ 42,0,0,Drew Bledsoe left end for 5 yards (tackle by David Barrett),0.700,0.790
1,0:14,4,18,NYJ 37,0,0,Brian Moorman punts 24 yards,0.790,0.320
1,0:05,1,10,NYJ 13,0,0,Curtis Martin right tackle for 5 yards (tackle by Takeo Spikes and Ryan Denney),-0.320,-0.140
Quarter,Time,Down,ToGo,Location,BUF,NYJ,Detail,EPB,EPA
