Unnamed: 0,TAM,SFO
First Downs,20,11
Rush-Yds-TDs,42-162-1,18-71-0
Cmp-Att-Yd-TD-INT,14-22-143-2-0,16-31-148-0-1
Sacked-Yards,2-6,6-30
Net Pass Yards,137,118
Total Yards,299,189
Fumbles-Lost,0-0,1-1
Turnovers,0,2
Penalties-Yards,3-35,3-18
Third Down Conv.,7-14,3-12
Fourth Down Conv.,0-1,0-3
Time of Possession,36:24,23:36
