Quarter,Time,Tm,Detail,TAM,SFO
2,9:02,Buccaneers,Cadillac Williams 6 yard rush (Connor Barth kick),7,0
3,0:41,Buccaneers,Mike Williams 8 yard pass from Josh Freeman (Connor Barth kick),14,0
4,8:18,Buccaneers,Donald Penn 1 yard pass from Josh Freeman (Connor Barth kick),21,0
