Quarter,Time,Tm,Detail,ARI,WAS
1.0,8:28,Redskins,Clinton Portis 3 yard rush (Shaun Suisham kick),0,7
2.0,13:08,Redskins,Shaun Suisham 48 yard field goal,0,10
,2:43,Cardinals,Anquan Boldin 4 yard pass from Kurt Warner (Neil Rackers kick),7,10
3.0,9:20,Cardinals,Neil Rackers 26 yard field goal,10,10
,3:16,Redskins,Todd Yoder 2 yard pass from Jason Campbell (Shaun Suisham kick),10,17
,1:53,Cardinals,Larry Fitzgerald 62 yard pass from Kurt Warner (Neil Rackers kick),17,17
4.0,12:10,Redskins,Santana Moss 17 yard pass from Jason Campbell (Shaun Suisham kick),17,24
