Unnamed: 0,ARI,WAS
First Downs,19,21
Rush-Yds-TDs,23-116-0,31-136-1
Cmp-Att-Yd-TD-INT,17-31-210-2-1,23-31-204-2-0
Sacked-Yards,2-13,2-17
Net Pass Yards,197,187
Total Yards,313,323
Fumbles-Lost,1-1,0-0
Turnovers,2,0
Penalties-Yards,6-42,7-67
Third Down Conv.,5-11,5-11
Fourth Down Conv.,0-0,0-0
Time of Possession,26:55,33:05
