Unnamed: 0,DET,SEA
First Downs,13,24
Rush-Yds-TDs,15-49-0,38-177-1
Cmp-Att-Yd-TD-INT,18-32-205-0-0,23-30-224-2-0
Sacked-Yards,3-23,3-14
Net Pass Yards,182,210
Total Yards,231,387
Fumbles-Lost,1-0,0-0
Turnovers,0,0
Penalties-Yards,7-68,6-40
Third Down Conv.,2-11,9-16
Fourth Down Conv.,0-2,2-2
Time of Possession,23:21,36:39
