Quarter,Time,Tm,Detail,DET,SEA
2.0,7:07,Seahawks,Paul Richardson 2 yard pass from Russell Wilson (Stephen Hauschka kick),0,7
,1:55,Seahawks,Stephen Hauschka 43 yard field goal,0,10
,0:20,Lions,Matt Prater 51 yard field goal,3,10
3.0,4:03,Lions,Matt Prater 53 yard field goal,6,10
4.0,14:12,Seahawks,Stephen Hauschka 27 yard field goal,6,13
,8:49,Seahawks,Thomas Rawls 4 yard rush (Stephen Hauschka kick failed),6,19
,3:36,Seahawks,Doug Baldwin 13 yard pass from Russell Wilson (Stephen Hauschka kick),6,26
