Quarter,Time,Down,ToGo,Location,DAL,IND,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,
1,15:00,,,IND 30,0,0,"Pat McAfee kicks off 75 yards, touchback",0.000,0.280
1,15:00,1,10,DAL 20,0,0,Felix Jones left end for 6 yards (tackle by Aaron Francisco),0.280,0.540
1,14:25,2,4,DAL 26,0,0,Felix Jones middle for 4 yards (tackle by Fili Moala and Kavell Conner),0.540,0.940
1,13:46,1,10,DAL 30,0,0,Jon Kitna pass complete short right to Felix Jones for 6 yards (tackle by Kavell Conner and Gary Brackett),0.940,1.200
1,13:11,2,4,DAL 36,0,0,Tashard Choice left guard for 8 yards (tackle by Antoine Bethea and Aaron Francisco),1.200,1.860
1,12:40,1,10,DAL 44,0,0,Jon Kitna pass complete short left to Dez Bryant for 14 yards,1.860,2.790
1,12:13,1,10,IND 42,0,0,Jon Kitna pass complete short right to Roy Williams for 10 yards (tackle by Jacob Lacey),2.790,3.450
1,11:28,1,10,IND 32,0,0,Felix Jones for 1 yard (tackle by Antoine Bethea),3.450,3.040
1,11:00,2,9,IND 31,0,0,Jon Kitna pass complete short left to Martellus Bennett for 11 yards (tackle by Pat Angerer and Antoine Bethea),3.040,4.240
1,10:23,1,10,IND 20,6,0,"Tashard Choice left end for 20 yards, touchdown",4.240,7.000
1,,,,IND 2,7,0,David Buehler kicks extra point good,0.000,0.000
1,,,,DAL 30,7,0,"David Buehler kicks off 75 yards, returned by Justin Tryon for 30 yards (tackle by David Buehler)",0.000,0.610
1,10:08,1,10,IND 25,7,0,Peyton Manning pass incomplete short left intended for Jacob Tamme,0.610,0.060
1,10:05,2,10,IND 25,7,0,Peyton Manning pass complete short right to Jacob Tamme for 8 yards (tackle by Bradie James),0.060,0.430
1,9:33,3,2,IND 33,7,0,Peyton Manning pass complete short right to Pierre Garcon for 8 yards (tackle by Terence Newman),0.430,1.660
1,8:57,1,10,IND 41,7,0,Donald Brown right tackle for 2 yards (tackle by Igor Olshansky and Anthony Spencer),1.660,1.390
1,8:28,2,8,IND 43,7,0,Peyton Manning pass incomplete deep left intended for Reggie Wayne is intercepted by Alan Ball at DAL-16,1.390,0.140
1,8:18,1,10,DAL 16,7,0,Felix Jones middle for 11 yards (tackle by Antoine Bethea),-0.140,0.740
1,7:50,1,10,DAL 27,7,0,Felix Jones middle for 2 yards (tackle by Fili Moala and Tyjuan Hagler),0.740,0.470
1,7:16,2,8,DAL 29,7,0,Jon Kitna pass complete short middle to Miles Austin for 22 yards (tackle by Antoine Bethea and Tyjuan Hagler),0.470,2.320
1,6:42,1,10,IND 49,7,0,Miles Austin left end for 6 yards (tackle by Keyunta Dawson),2.320,2.590
1,6:13,2,4,IND 43,7,0,Felix Jones middle for 6 yards (tackle by Tyjuan Hagler and Antonio Johnson),2.590,3.120
1,5:33,1,10,IND 37,7,0,Tashard Choice left guard for 4 yards (tackle by Jerraud Powers),3.120,3.110
1,4:55,2,6,IND 33,7,0,"Jon Kitna for 1 yard. Jon Kitna fumbles, recovered by Jon Kitna at IND-34",3.110,2.540
1,4:14,3,5,IND 32,7,0,Tashard Choice left guard for 11 yards (tackle by Antoine Bethea),2.540,4.170
1,3:35,1,10,IND 21,7,0,Jon Kitna pass complete short right to Jason Witten for 4 yards (tackle by Jacob Lacey),4.170,4.200
1,3:00,2,6,IND 17,7,0,Felix Jones middle for 4 yards (tackle by Antoine Bethea),4.200,4.240
1,2:24,,,,7,0,Timeout #1 by Indianapolis Colts,0.000,4.240
1,2:24,3,2,IND 13,7,0,Tashard Choice middle for 1 yard (tackle by Gary Brackett),4.240,2.780
1,1:44,4,1,IND 12,10,0,David Buehler 30 yard field goal good,2.780,3.000
1,,,,DAL 30,10,0,"David Buehler kicks off 67 yards, returned by Justin Tryon for 11 yards (tackle by Danny McCray)",0.000,-0.280
1,1:32,1,10,IND 14,10,0,Donald Brown left guard for 2 yards (tackle by Gerald Sensabaugh and Mike Jenkins),-0.280,-0.510
1,1:04,2,8,IND 16,10,0,Peyton Manning pass complete short left to Reggie Wayne for 14 yards (tackle by Mike Jenkins),-0.510,0.940
1,0:35,1,10,IND 30,10,0,Peyton Manning pass complete short right to Pierre Garcon for 5 yards (tackle by Terence Newman and DeMarcus Ware),0.940,1.070
Quarter,Time,Down,ToGo,Location,DAL,IND,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,5,IND 35,10,0,Donald Brown middle for -3 yards (tackle by DeMarcus Ware),1.070,-0.030
2,14:22,3,8,IND 32,16,0,"Peyton Manning pass incomplete short left intended for Blair White is intercepted by Orlando Scandrick at IND-40 and returned for 40 yards, touchdown",-0.030,-7.000
2,,,,IND 2,17,0,David Buehler kicks extra point good,0.000,0.000
2,,,,DAL 30,17,0,"David Buehler kicks off 74 yards, returned by Justin Tryon for 18 yards (tackle by Victor Butler)",0.000,-0.280
2,14:06,1,10,IND 14,17,0,Mike Hart right tackle for 2 yards (tackle by Gerald Sensabaugh),-0.280,-0.510
2,13:26,2,8,IND 16,17,0,Mike Hart left guard for 4 yards (tackle by DeMarcus Ware),-0.510,-0.680
2,12:47,3,4,IND 20,17,0,Peyton Manning pass complete short left to Pierre Garcon for 10 yards (tackle by Terence Newman),-0.680,0.940
2,12:12,1,10,IND 30,17,0,Peyton Manning pass complete short right to Blair White for 6 yards (tackle by Orlando Scandrick and Gerald Sensabaugh),0.940,1.200
2,11:53,2,4,IND 36,17,0,Peyton Manning pass complete short left to Reggie Wayne for 2 yards (tackle by Anthony Spencer),1.200,0.760
2,11:16,3,2,IND 38,17,0,Peyton Manning pass complete short right to Pierre Garcon for 6 yards (tackle by Terence Newman),0.760,1.860
2,10:43,1,10,IND 44,17,0,Peyton Manning pass complete short middle to Mike Hart for 1 yard (tackle by Sean Lee and DeMarcus Ware),1.860,1.450
2,10:14,2,9,IND 45,17,0,Peyton Manning pass complete short middle to Blair White for 9 yards (tackle by Gerald Sensabaugh),1.450,2.520
2,9:43,1,10,DAL 46,17,0,Mike Hart right end for 1 yard (tackle by Sean Lee),2.520,2.110
2,9:13,2,9,DAL 45,17,0,Peyton Manning pass complete short middle to Mike Hart for no gain,2.110,1.420
2,8:58,3,9,DAL 45,17,0,"Mike Hart right end for 5 yards (tackle by Jason Hatcher and Terence Newman). Penalty on DAL: Defensive 12 On-field, 5 yards (no play)",1.420,2.080
2,8:29,3,4,DAL 40,17,0,Peyton Manning pass complete short left to Pierre Garcon for 5 yards (tackle by Mike Jenkins),2.080,3.250
2,7:52,1,10,DAL 35,17,0,Pierre Garcon left end for 11 yards (tackle by Bryan McCann),3.250,3.970
2,7:03,1,10,DAL 24,17,0,Peyton Manning pass complete short middle to Pierre Garcon for 8 yards (tackle by Bradie James),3.970,4.650
2,6:35,2,2,DAL 16,17,0,Donald Brown middle for 3 yards (tackle by Keith Brooking),4.650,4.710
