Quarter,Time,Tm,Detail,DAL,IND
1,10:15,Cowboys,Tashard Choice 20 yard rush (David Buehler kick),7,0
,1:38,Cowboys,David Buehler 30 yard field goal,10,0
2,14:12,Cowboys,Orlando Scandrick 40 yard interception return (David Buehler kick),17,0
,5:57,Colts,Pierre Garcon 13 yard pass from Peyton Manning (Adam Vinatieri kick),17,7
3,13:53,Colts,Reggie Wayne 34 yard pass from Peyton Manning (Adam Vinatieri kick),17,14
,5:47,Cowboys,David Buehler 46 yard field goal,20,14
,4:53,Cowboys,Sean Lee 31 yard interception return (David Buehler kick),27,14
4,14:56,Colts,Javarris James 1 yard rush (Adam Vinatieri kick),27,21
,12:56,Colts,Taj Smith 2 yard blocked punt return (Adam Vinatieri kick),27,28
,2:38,Cowboys,Jason Witten 2 yard pass from Jon Kitna (Roy Williams pass from Jon Kitna),35,28
,0:29,Colts,Javarris James 2 yard rush (Adam Vinatieri kick),35,35
OT,7:55,Cowboys,David Buehler 38 yard field goal,38,35
