Unnamed: 0,DAL,IND
First Downs,24,24
Rush-Yds-TDs,46-217-1,17-40-2
Cmp-Att-Yd-TD-INT,18-26-167-1-0,36-48-365-2-4
Sacked-Yards,2-16,0-0
Net Pass Yards,151,365
Total Yards,368,405
Fumbles-Lost,2-0,0-0
Turnovers,0,4
Penalties-Yards,5-35,3-28
Third Down Conv.,8-15,6-11
Fourth Down Conv.,0-0,0-0
Time of Possession,40:00,27:05
