Unnamed: 0,CIN,ATL
First Downs,30,25
Rush-Yds-TDs,23-99-2,24-92-1
Cmp-Att-Yd-TD-INT,29-41-337-3-1,29-39-419-3-0
Sacked-Yards,3-29,3-16
Net Pass Yards,308,403
Total Yards,407,495
Fumbles-Lost,0-0,0-0
Turnovers,1,0
Penalties-Yards,6-55,10-95
Third Down Conv.,7-12,11-15
Fourth Down Conv.,2-2,0-1
Time of Possession,30:38,29:22
