Quarter,Time,Tm,Detail,CIN,ATL
1.0,10:27,Falcons,Ito Smith 7 yard rush (Matt Bryant kick),0,7
,7:23,Bengals,Tyler Eifert 15 yard pass from Andy Dalton (Randy Bullock kick),7,7
,0:12,Bengals,Giovani Bernard 10 yard rush (Randy Bullock kick),14,7
2.0,11:03,Falcons,Logan Paulsen 17 yard pass from Matt Ryan (Matt Bryant kick),14,14
,8:11,Bengals,John Ross 39 yard pass from Andy Dalton (Randy Bullock kick),21,14
,2:55,Falcons,Calvin Ridley 11 yard pass from Matt Ryan (Matt Bryant kick),21,21
,0:44,Bengals,Giovani Bernard 1 yard rush (Randy Bullock kick),28,21
,0:00,Falcons,Matt Bryant 55 yard field goal,28,24
3.0,11:22,Falcons,Matt Bryant 28 yard field goal,28,27
4.0,14:25,Falcons,Calvin Ridley 30 yard pass from Matt Ryan (pass failed),28,33
,8:19,Bengals,Randy Bullock 36 yard field goal,31,33
,4:15,Falcons,Matt Bryant 32 yard field goal,31,36
,0:07,Bengals,A.J. Green 13 yard pass from Andy Dalton (pass failed),37,36
