Unnamed: 0,DAL,CAR
First Downs,17,20
Rush-Yds-TDs,22-94-1,32-147-2
Cmp-Att-Yd-TD-INT,19-29-170-0-0,17-26-161-0-0
Sacked-Yards,6-32,3-15
Net Pass Yards,138,146
Total Yards,232,293
Fumbles-Lost,1-1,2-1
Turnovers,1,1
Penalties-Yards,10-85,9-80
Third Down Conv.,2-11,4-12
Fourth Down Conv.,0-1,0-0
Time of Possession,29:24,30:36
