Quarter,Time,Down,ToGo,Location,DAL,CAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Panthers won the coin toss and deferred, Cowboys to receive the opening kickoff.",,
1,15:00,,,CAR 35,0,0,"Graham Gano kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,DAL 25,0,0,Ezekiel Elliott right guard for -1 yards (tackle by Mario Addison and David Mayo),0.610,-0.070
1,14:26,2,11,DAL 24,0,0,"Dak Prescott pass complete short left to Tavon Austin for 9 yards (tackle by Mario Addison). Penalty on Tyron Smith: Illegal Block Above the Waist, 10 yards (no play)",-0.070,-1.540
1,14:01,2,21,DAL 14,0,0,Ezekiel Elliott right end for no gain (tackle by Mike Adams and Luke Kuechly),-1.540,-2.550
1,13:19,3,21,DAL 14,0,0,"Penalty on DAL: Delay of Game, 5 yards (no play)",-2.550,-3.290
1,13:02,3,26,DAL 9,0,0,Ezekiel Elliott right tackle for 4 yards (tackle by Luke Kuechly),-3.290,-2.490
1,12:26,4,22,DAL 13,0,0,"Chris Jones punts 55 yards, fair catch by Damiere Byrd at CAR-32",-2.490,-1.070
1,12:20,1,10,CAR 32,0,0,Cam Newton pass complete short right to Christian McCaffrey for no gain (tackle by Antwaun Woods),1.070,0.530
1,11:44,2,10,CAR 32,0,0,Cam Newton up the middle for no gain (tackle by Demarcus Lawrence),0.530,-0.160
1,11:03,3,10,CAR 32,0,0,"Cam Newton pass incomplete short right intended for Devin Funchess. Penalty on Demarcus Lawrence: Roughing the Passer, 15 yards (no play)",-0.160,2.060
1,10:58,1,10,CAR 47,0,0,"Cam Newton pass incomplete deep left intended for Devin Funchess. Penalty on Taylor Moton: Offensive Holding, 10 yards (no play)",2.060,1.400
1,10:52,1,20,CAR 37,0,0,D.J. Moore left end for 3 yards (tackle by Anthony Brown),1.400,0.570
1,10:18,2,17,CAR 40,0,0,Cam Newton up the middle for 16 yards (tackle by Kavon Frazier),0.570,2.020
1,9:35,3,1,DAL 44,0,0,Cam Newton up the middle for 2 yards (tackle by Dorance Armstrong and Antwaun Woods),2.020,2.790
1,8:56,1,10,DAL 42,0,0,Cam Newton left end for 29 yards (tackle by Jeff Heath),2.790,4.710
1,8:06,1,10,DAL 13,0,0,C.J. Anderson right guard for 1 yard (tackle by Daniel Ross and Kavon Frazier),4.710,4.220
1,7:22,2,9,DAL 12,0,0,Cam Newton pass complete short left to Ian Thomas for 7 yards (tackle by Chidobe Awuzie),4.220,4.780
1,6:42,3,2,DAL 5,0,0,"Christian McCaffrey up the middle for no gain (tackle by Daniel Ross). Christian McCaffrey fumbles (forced by Daniel Ross), recovered by Demarcus Lawrence at DAL-5 and returned for 5 yards (tackle by D.J. Moore)",4.780,0.380
1,6:36,1,10,DAL 10,0,0,Dak Prescott pass incomplete short right intended for Terrance Williams,-0.380,-0.780
1,6:29,2,10,DAL 10,0,0,Dak Prescott pass complete short middle to Cole Beasley for 11 yards (tackle by Luke Kuechly),-0.780,0.340
1,5:50,1,10,DAL 21,0,0,"Dak Prescott pass incomplete short middle intended for Michael Gallup. Penalty on Captain Munnerlyn: Defensive Holding, 5 yards (no play)",0.340,0.670
1,5:46,1,10,DAL 26,0,0,Ezekiel Elliott left tackle for 2 yards (tackle by Donte Jackson),0.670,0.400
1,5:14,2,8,DAL 28,0,0,Dak Prescott pass complete short left to Geoff Swaim for 11 yards (tackle by Luke Kuechly),0.400,1.530
1,4:33,1,10,DAL 39,0,0,Ezekiel Elliott up the middle for 3 yards (tackle by Bryan Cox and Vernon Butler),1.530,1.390
1,3:48,2,7,DAL 42,0,0,"Dak Prescott pass incomplete short left intended for Ezekiel Elliott. Penalty on Tyron Smith: Offensive Holding, 10 yards (no play)",1.390,0.040
1,3:42,2,17,DAL 32,0,0,Rod Smith right tackle for 5 yards (tackle by Luke Kuechly),0.040,0.040
1,3:01,3,12,DAL 37,0,0,Dak Prescott pass complete short left to Cole Beasley for 8 yards (tackle by Luke Kuechly),0.040,-0.390
1,2:24,4,4,DAL 45,0,0,"Chris Jones punts 51 yards, returned by Damiere Byrd for 14 yards (tackle by Joe Thomas)",-0.390,-0.040
1,2:12,1,10,CAR 18,0,0,Cam Newton pass complete short middle to Greg Olsen for 14 yards (tackle by Sean Lee),0.040,1.070
1,1:33,1,10,CAR 32,0,0,"Cam Newton pass complete deep right to Devin Funchess for 27 yards (tackle by Chidobe Awuzie and Jaylon Smith). Penalty on Trai Turner: Offensive Holding, 10 yards (no play)",1.070,0.410
1,0:59,1,20,CAR 22,0,0,Cam Newton pass incomplete short left intended for Devin Funchess (defended by Taco Charlton),0.410,-0.820
1,0:55,2,20,CAR 22,0,0,Cam Newton pass complete deep right to Greg Olsen for 19 yards (tackle by Kavon Frazier),-0.820,1.030
1,0:10,3,1,CAR 41,0,0,Cam Newton right end for 12 yards (tackle by Chidobe Awuzie),1.030,2.460
Quarter,Time,Down,ToGo,Location,DAL,CAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,DAL 47,0,0,Christian McCaffrey right end for no gain (tackle by Sean Lee and Demarcus Lawrence),2.460,1.910
2,14:19,2,10,DAL 47,0,0,Cam Newton pass incomplete short right intended for Christian McCaffrey (defended by Kavon Frazier),1.910,1.220
2,14:13,3,10,DAL 47,0,0,Cam Newton pass incomplete short right intended for Jarius Wright (defended by Anthony Brown),1.220,0.130
2,14:08,,,,,,Timeout #1 by Dallas Cowboys,,
2,14:08,4,10,DAL 47,0,0,"Michael Palardy punts 33 yards, fair catch by Cole Beasley at DAL-14",0.130,0.280
2,14:01,1,10,DAL 14,0,0,Dak Prescott sacked by Shaq Thompson for -7 yards,-0.280,-1.290
2,13:20,2,17,DAL 7,0,0,Ezekiel Elliott left guard for 7 yards (tackle by Bryan Cox and Shaq Thompson),-1.290,-1.400
2,12:38,3,10,DAL 14,0,0,Dak Prescott pass incomplete short right intended for Rod Smith,-1.400,-2.470
2,12:33,4,10,DAL 14,0,0,"Chris Jones punts 51 yards, returned by Damiere Byrd for 30 yards (tackle by Rod Smith)",-2.470,-3.250
2,12:18,1,10,DAL 35,0,0,Christian McCaffrey right guard for 5 yards (tackle by Sean Lee and Joe Thomas),3.250,3.380
2,11:36,2,5,DAL 30,0,0,Christian McCaffrey left guard for 3 yards (tackle by Tyrone Crawford and Taco Charlton),3.380,3.070
2,10:52,,,,,,Timeout #1 by Carolina Panthers,,
2,10:52,3,2,DAL 27,0,0,Cam Newton pass complete short right to Jarius Wright for 5 yards (tackle by Anthony Brown),3.070,4.110
2,10:16,1,10,DAL 22,0,0,Cam Newton pass incomplete short middle intended for Torrey Smith (defended by Sean Lee),4.110,3.560
2,10:11,2,10,DAL 22,0,0,Christian McCaffrey up the middle for 13 yards (tackle by Demarcus Lawrence and Anthony Brown),3.560,5.140
2,9:26,1,9,DAL 9,0,0,Christian McCaffrey up the middle for 5 yards (tackle by Demarcus Lawrence),5.140,5.340
2,8:54,2,4,DAL 4,0,6,"Cam Newton right tackle for 4 yards, touchdown",5.340,7.000
2,8:50,,,DAL 15,0,7,Graham Gano kicks extra point good,0.000,0.000
2,8:50,,,CAR 35,0,7,"Graham Gano kicks off 65 yards, touchback.",0.000,0.610
2,8:50,1,10,DAL 25,0,7,Tavon Austin right end for 1 yard (tackle by Donte Jackson and Mike Adams),0.610,0.200
2,8:09,2,9,DAL 26,0,7,Dak Prescott sacked by Kawann Short for -2 yards,0.200,-0.760
2,7:25,3,11,DAL 24,0,7,Dak Prescott pass incomplete deep right intended for Allen Hurns,-0.760,-1.770
2,7:20,4,11,DAL 24,0,7,"Chris Jones punts 49 yards, returned by Damiere Byrd for 3 yards (tackle by Joe Thomas and L.P. Ladouceur)",-1.770,-0.940
2,7:07,1,10,CAR 30,0,7,"Penalty on Chris Manhertz: False Start, 5 yards (no play)",0.940,0.610
