Unnamed: 0,PIT,KAN
First Downs,20,25
Rush-Yds-TDs,25-130-0,35-127-1
Cmp-Att-Yd-TD-INT,28-43-194-1-1,23-30-258-3-0
Sacked-Yards,2-21,2-4
Net Pass Yards,173,254
Total Yards,303,381
Fumbles-Lost,2-2,3-0
Turnovers,3,0
Penalties-Yards,5-40,5-41
Third Down Conv.,5-13,4-11
Fourth Down Conv.,2-3,1-1
Time of Possession,25:18,34:42
