Unnamed: 0,DAL,NYG
First Downs,18,14
Rush-Yds-TDs,30-122-3,28-108-0
Cmp-Att-Yd-TD-INT,13-25-143-0-0,17-30-110-0-2
Sacked-Yards,0-0,7-47
Net Pass Yards,143,63
Total Yards,265,171
Fumbles-Lost,1-0,5-1
Turnovers,0,3
Penalties-Yards,5-35,6-72
Third Down Conv.,6-13,5-16
Fourth Down Conv.,1-2,3-5
Time of Possession,26:32,33:28
