Unnamed: 0,PIT,TEN
First Downs,29,14
Rush-Yds-TDs,36-206-1,15-49-1
Cmp-Att-Yd-TD-INT,21-32-207-1-1,15-24-263-2-1
Sacked-Yards,5-27,0-0
Net Pass Yards,180,263
Total Yards,386,312
Fumbles-Lost,0-0,0-0
Turnovers,1,1
Penalties-Yards,4-39,1-10
Third Down Conv.,7-13,3-8
Fourth Down Conv.,0-0,0-0
Time of Possession,39:49,20:11
